
5 Mot inconnu : OSCam => ====== OSCam ====== | oscam

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  OSCam permet de se connecter à une (ou plusieurs) cartes d'abonnement afin de décrypter certaines chaines pour les diffuser sur un (ou plusieurs) écrans.  |   => suggestions : ['']
9 Mot inconnu : OSCam =>  OSCam permet de se connecter à une (ou plusieurs) cartes d'abonnement afin de décrypter certaines chaines pour les diffuser sur un (ou plusieurs) écrans.  | oscam
9 Espace(s) en fin de ligne à supprimer. =>  OSCam permet de se connecter à une (ou plusieurs) cartes d'abonnement afin de décrypter certaines chaines pour les diffuser sur un (ou plusieurs) écrans.  |   => suggestions : ['']

11 Forme interrogative ? Mettez un trait d’union. => Le recours à un tel logiciel est prohibé par certains opérateurs qui imposent l'utilisation d'un matériel spécifique. Avant d'utiliser ce logiciel renseignez vous sur la législation en vigueur dans votre pays.  | renseignez vous => suggestions : ['renseignez-vous']
11 Espace(s) en fin de ligne à supprimer. => Le recours à un tel logiciel est prohibé par certains opérateurs qui imposent l'utilisation d'un matériel spécifique. Avant d'utiliser ce logiciel renseignez vous sur la législation en vigueur dans votre pays.  |   => suggestions : ['']

17 Mot inconnu : OSCam => **OSCam** est l'acronyme de Open Source Conditional Access Modul et le fruit d'une collaboration non lucrative de développeurs de différents pays. Le développement est public. Les modifications et progrès basés sur les changements proposés ainsi que les "tickets"peuvent être consultés sur http://streamboard.de.vu:8001/timeline  | oscam
17 Mot inconnu : Conditional => **OSCam** est l'acronyme de Open Source Conditional Access Modul et le fruit d'une collaboration non lucrative de développeurs de différents pays. Le développement est public. Les modifications et progrès basés sur les changements proposés ainsi que les "tickets"peuvent être consultés sur http://streamboard.de.vu:8001/timeline  | conditional
17 Mot inconnu : Access => **OSCam** est l'acronyme de Open Source Conditional Access Modul et le fruit d'une collaboration non lucrative de développeurs de différents pays. Le développement est public. Les modifications et progrès basés sur les changements proposés ainsi que les "tickets"peuvent être consultés sur http://streamboard.de.vu:8001/timeline  | access
17 Mot inconnu : Modul => **OSCam** est l'acronyme de Open Source Conditional Access Modul et le fruit d'une collaboration non lucrative de développeurs de différents pays. Le développement est public. Les modifications et progrès basés sur les changements proposés ainsi que les "tickets"peuvent être consultés sur http://streamboard.de.vu:8001/timeline  | modul
17 Guillemets typographiques ouvrants. => **OSCam** est l'acronyme de Open Source Conditional Access Modul et le fruit d'une collaboration non lucrative de développeurs de différents pays. Le développement est public. Les modifications et progrès basés sur les changements proposés ainsi que les "tickets"peuvent être consultés sur http://streamboard.de.vu:8001/timeline  | " => suggestions : ['«\xa0', '“']
17 Mot inconnu : timeline => **OSCam** est l'acronyme de Open Source Conditional Access Modul et le fruit d'une collaboration non lucrative de développeurs de différents pays. Le développement est public. Les modifications et progrès basés sur les changements proposés ainsi que les "tickets"peuvent être consultés sur http://streamboard.de.vu:8001/timeline  | timeline
17 Espace(s) en fin de ligne à supprimer. => **OSCam** est l'acronyme de Open Source Conditional Access Modul et le fruit d'une collaboration non lucrative de développeurs de différents pays. Le développement est public. Les modifications et progrès basés sur les changements proposés ainsi que les "tickets"peuvent être consultés sur http://streamboard.de.vu:8001/timeline  |   => suggestions : ['']

20 Mot inconnu : OSCam => OSCam fut développé initialement afin de créer un **cardserver**, c'est-à-dire un serveur où sont connectées différentes cartes d'abonnement à des bouquets TV. OSCam est désormais capable de fonctionner en tant que **client**, c'est-à-dire d'effectuer le décryptage et l'affichage des chaines.  | oscam
20 Mot inconnu : cardserver => OSCam fut développé initialement afin de créer un **cardserver**, c'est-à-dire un serveur où sont connectées différentes cartes d'abonnement à des bouquets TV. OSCam est désormais capable de fonctionner en tant que **client**, c'est-à-dire d'effectuer le décryptage et l'affichage des chaines.  | cardserver
20 Mot inconnu : OSCam => OSCam fut développé initialement afin de créer un **cardserver**, c'est-à-dire un serveur où sont connectées différentes cartes d'abonnement à des bouquets TV. OSCam est désormais capable de fonctionner en tant que **client**, c'est-à-dire d'effectuer le décryptage et l'affichage des chaines.  | oscam
20 Espace(s) en fin de ligne à supprimer. => OSCam fut développé initialement afin de créer un **cardserver**, c'est-à-dire un serveur où sont connectées différentes cartes d'abonnement à des bouquets TV. OSCam est désormais capable de fonctionner en tant que **client**, c'est-à-dire d'effectuer le décryptage et l'affichage des chaines.  |   => suggestions : ['']

22 Mot inconnu : OSCam => À utiliser exclusivement dans le cadre familial, OSCam vous permettra donc de passer une soirée cinéma avec votre conjoint-e tout en permettant à vos enfants de regarder leur chaine favorite dans leur chambre (service appelé **multi-écrans** par certains prestataires). | oscam
22 Écriture épicène. Utilisez un point médian. => À utiliser exclusivement dans le cadre familial, OSCam vous permettra donc de passer une soirée cinéma avec votre conjoint-e tout en permettant à vos enfants de regarder leur chaine favorite dans leur chambre (service appelé **multi-écrans** par certains prestataires). | conjoint-e => suggestions : ['conjoint·e']

24 Mot inconnu : OSCam => En outre, et c'est l'aspect qui nous intéressera ici, OSCam apportera à votre PC de salon, équipé d'Ubuntu et de votre [[media_center|MediaCenter]] préféré, la capacité de diffuser les chaines auxquelles vous êtes abonnés. Fini l'interface austère de votre décodeur ! | oscam
24 Mot inconnu : media_center => En outre, et c'est l'aspect qui nous intéressera ici, OSCam apportera à votre PC de salon, équipé d'Ubuntu et de votre [[media_center|MediaCenter]] préféré, la capacité de diffuser les chaines auxquelles vous êtes abonnés. Fini l'interface austère de votre décodeur ! | media_center

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Posséder un (ou plusieurs) lecteur de carte de type **smargo** ou [[http://www.infinityusb.com/default.asp?show=productsdetail&productID=12|Infinity Usb]]. |    => suggestions : ['']
30 Mot inconnu : smargo =>   * Posséder un (ou plusieurs) lecteur de carte de type **smargo** ou [[http://www.infinityusb.com/default.asp?show=productsdetail&productID=12|Infinity Usb]]. | smargo
30 Mot inconnu : Infinity =>   * Posséder un (ou plusieurs) lecteur de carte de type **smargo** ou [[http://www.infinityusb.com/default.asp?show=productsdetail&productID=12|Infinity Usb]]. | infinity
30 Mot inconnu : Usb =>   * Posséder un (ou plusieurs) lecteur de carte de type **smargo** ou [[http://www.infinityusb.com/default.asp?show=productsdetail&productID=12|Infinity Usb]]. | usb
36 Mot inconnu : DVBAPI => Pour installer ce logiciel, nous aurons le choix entre la dernière version stable 1.1 et la version en cours de développement 1.2 que nous allons compiler à partir des sources [[subversion|SVN]]. Dans chacun des cas, nous effectuons la compilation avec l'option **DVBAPI** qui sera nécessaire dans le cas de l'utilisation de [[vdr|VDR]]. | dvbapi
36 Mot inconnu : vdr => Pour installer ce logiciel, nous aurons le choix entre la dernière version stable 1.1 et la version en cours de développement 1.2 que nous allons compiler à partir des sources [[subversion|SVN]]. Dans chacun des cas, nous effectuons la compilation avec l'option **DVBAPI** qui sera nécessaire dans le cas de l'utilisation de [[vdr|VDR]]. | vdr

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Commencer par télécharger les sources : |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Les patcher pour qu'OSCam puisse communiquer avec [[VDR]] : |    => suggestions : ['']
41 Mot inconnu : OSCam =>   * Les patcher pour qu'OSCam puisse communiquer avec [[VDR]] : | oscam
41 Mot inconnu : VDR =>   * Les patcher pour qu'OSCam puisse communiquer avec [[VDR]] : | vdr

