
5 Mot inconnu : MultiSystem => ====== MultiSystem : Créez votre LiveUSB MultiBoot simplement====== | multisystem
5 Mot inconnu : LiveUSB => ====== MultiSystem : Créez votre LiveUSB MultiBoot simplement====== | liveusb
5 Mot inconnu : MultiBoot => ====== MultiSystem : Créez votre LiveUSB MultiBoot simplement====== | multiboot

8 Mot inconnu : MultiSystem => Vous trouverez la liste des distributions supportées par MultiSystem sur [[http://liveusb.info/dotclear/index.php?pages/os|cette page]] du site officiel. | multisystem

12 Mot inconnu : MultiSystem => je suis François Fabre @frafa sur le forum, le créateur de MultiSystem. | multisystem

14 Mot inconnu : MultiSystem => Je n'ai plus le temps pour maintenir à jour MultiSystem, ni d'être présent sur le forum pour aide et suggestions. | multisystem

15 Mot inconnu : MultiSystem => MultiSystem nécessite des mise à jour fréquentes pour supporter toute nouvelle version d'une distribution. | multisystem
15 Accord de nombre erroné : « mise » devrait être au pluriel. => MultiSystem nécessite des mise à jour fréquentes pour supporter toute nouvelle version d'une distribution. | mise => suggestions : ['mises']

16 Mot inconnu : MultiSystem => Sans ces mises à jour semestrielles à minima MultiSystem n'a pas vraiment d’intérêt d'où ce message pour vous prévenir.\\ | multisystem

18 Erreur d’accord probable avec “les”. => Après plusieurs années pour le maintenir, je remercie toute les personnes qui ont participé à son développement, toute les personnes qui ont été présentes sur le forum pour aider et conseiller, MERCI  à vous !\\ | toute => suggestions : ['toutes']
18 Erreur d’accord probable avec “les”. => Après plusieurs années pour le maintenir, je remercie toute les personnes qui ont participé à son développement, toute les personnes qui ont été présentes sur le forum pour aider et conseiller, MERCI  à vous !\\ | toute => suggestions : ['toutes']
18 Espace(s) surnuméraire(s) à supprimer. => Après plusieurs années pour le maintenir, je remercie toute les personnes qui ont participé à son développement, toute les personnes qui ont été présentes sur le forum pour aider et conseiller, MERCI  à vous !\\ |    => suggestions : [' ']

20 Mot inconnu : MultiSystem => Si je devais vous conseiller un remplaçant à MultiSystem, je vous conseillerais d'utiliser Ventoy (je ne connais pas l'équipe de développement)\\ | multisystem
20 Mot inconnu : Ventoy => Si je devais vous conseiller un remplaçant à MultiSystem, je vous conseillerais d'utiliser Ventoy (je ne connais pas l'équipe de développement)\\ | ventoy

22 Mot inconnu : MultiSystem => Pour l'avoir testé, je trouve qu'a ce jour c'est la meilleure solution pour remplacer MultiSystem.\\ | multisystem

26 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note warning>Les .iso de plus de 4 Go ne fonctionnent pas car MultiSystem fonctionne avec une partition en FAT32. Or la FAT32 ne supporte pas de fichier de plus de 4 Go</note> |  . => suggestions : ['. ', '.']
26 Mot inconnu : iso => <note warning>Les .iso de plus de 4 Go ne fonctionnent pas car MultiSystem fonctionne avec une partition en FAT32. Or la FAT32 ne supporte pas de fichier de plus de 4 Go</note> | iso
26 Mot inconnu : MultiSystem => <note warning>Les .iso de plus de 4 Go ne fonctionnent pas car MultiSystem fonctionne avec une partition en FAT32. Or la FAT32 ne supporte pas de fichier de plus de 4 Go</note> | multisystem
26 Mot inconnu : FAT32 => <note warning>Les .iso de plus de 4 Go ne fonctionnent pas car MultiSystem fonctionne avec une partition en FAT32. Or la FAT32 ne supporte pas de fichier de plus de 4 Go</note> | fat32
26 Mot inconnu : FAT32 => <note warning>Les .iso de plus de 4 Go ne fonctionnent pas car MultiSystem fonctionne avec une partition en FAT32. Or la FAT32 ne supporte pas de fichier de plus de 4 Go</note> | fat32

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion Internet pour l'installation du logiciel. |    => suggestions : ['']

33 Mot inconnu : UEFI => Sur des précédentes versions (plus de problème depuis mars 2019 ou avant), il y a eu des problèmes de compatibilité entre les installations UEFI (BIOS sécurisé) ou LEGACY (ancien BIOS, antérieur à 2007). \\ | uefi
33 Mot inconnu : LEGACY => Sur des précédentes versions (plus de problème depuis mars 2019 ou avant), il y a eu des problèmes de compatibilité entre les installations UEFI (BIOS sécurisé) ou LEGACY (ancien BIOS, antérieur à 2007). \\ | legacy

35 Mot inconnu : Multisystem => Depuis les mises à jour de Multisystem, il semblerait que cela fonctionne correctement.  | multisystem
35 Espace(s) en fin de ligne à supprimer. => Depuis les mises à jour de Multisystem, il semblerait que cela fonctionne correctement.  |   => suggestions : ['']

36 Mot inconnu : GRUB => Si vous rencontrez des difficultés, il sera nécessaire de réinstaller GRUB et de vérifier la désactivation du "secure boot".  | grub
36 Guillemets typographiques ouvrants. => Si vous rencontrez des difficultés, il sera nécessaire de réinstaller GRUB et de vérifier la désactivation du "secure boot".  | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : secure => Si vous rencontrez des difficultés, il sera nécessaire de réinstaller GRUB et de vérifier la désactivation du "secure boot".  | secure
36 Mot inconnu : boot => Si vous rencontrez des difficultés, il sera nécessaire de réinstaller GRUB et de vérifier la désactivation du "secure boot".  | boot
36 Guillemets typographiques fermants. => Si vous rencontrez des difficultés, il sera nécessaire de réinstaller GRUB et de vérifier la désactivation du "secure boot".  | " => suggestions : ['\xa0»', '”']
36 Espace(s) en fin de ligne à supprimer. => Si vous rencontrez des difficultés, il sera nécessaire de réinstaller GRUB et de vérifier la désactivation du "secure boot".  |   => suggestions : ['']
38 Espace(s) en fin de ligne à supprimer. => Voir :  |   => suggestions : ['']
39 Mot inconnu : Multisystem => [[https://forum.ubuntu-fr.org/viewtopic.php?id=1953591|discussion sur le forum « Impossible de démarrer Ubuntu après avoir utilisé Multisystem »]] ; auteur: ArnaudGuyane ; date: 2 décembre 2015. et \\  | multisystem
39 Mot inconnu : ArnaudGuyane => [[https://forum.ubuntu-fr.org/viewtopic.php?id=1953591|discussion sur le forum « Impossible de démarrer Ubuntu après avoir utilisé Multisystem »]] ; auteur: ArnaudGuyane ; date: 2 décembre 2015. et \\  | arnaudguyane
39 Espace(s) en fin de ligne à supprimer. => [[https://forum.ubuntu-fr.org/viewtopic.php?id=1953591|discussion sur le forum « Impossible de démarrer Ubuntu après avoir utilisé Multisystem »]] ; auteur: ArnaudGuyane ; date: 2 décembre 2015. et \\  |   => suggestions : ['']
40 Mot inconnu : Multiboot => [[https://forum.ubuntu-fr.org/viewtopic.php?pid=21561425#p21561425|discussion sur le forum « Créez votre Live USB Multiboot simp5lement »]] ; date: 2016; | multiboot
40 Mot inconnu : simp5lement => [[https://forum.ubuntu-fr.org/viewtopic.php?pid=21561425#p21561425|discussion sur le forum « Créez votre Live USB Multiboot simp5lement »]] ; date: 2016; | simp5lement

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Télécharger le script : [[http://liveusb.info/multisystem/install-depot-multisystem.sh.tar.bz2|install-depot-multisystem.sh]] |    => suggestions : ['']
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Télécharger le script : [[http://liveusb.info/multisystem/install-depot-multisystem.sh.tar.bz2|install-depot-multisystem.sh]] |  -  => suggestions : [' – ', ' — ', ' − ']
46 Mot inconnu : install-depot-multisystem =>   - Télécharger le script : [[http://liveusb.info/multisystem/install-depot-multisystem.sh.tar.bz2|install-depot-multisystem.sh]] | install-depot-multisystem
46 Mot inconnu : sh =>   - Télécharger le script : [[http://liveusb.info/multisystem/install-depot-multisystem.sh.tar.bz2|install-depot-multisystem.sh]] | sh

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-add-repository 'deb http://liveusb.info/multisystem/depot all main' |    => suggestions : ['']
52 Mot inconnu : sudo =>   sudo apt-add-repository 'deb http://liveusb.info/multisystem/depot all main' | sudo
52 Mot inconnu : apt-add-repository =>   sudo apt-add-repository 'deb http://liveusb.info/multisystem/depot all main' | apt-add-repository
52 Guillemets typographiques ouvrants. =>   sudo apt-add-repository 'deb http://liveusb.info/multisystem/depot all main' | ' => suggestions : ['“', '‘', '‹']
52 Mot inconnu : deb =>   sudo apt-add-repository 'deb http://liveusb.info/multisystem/depot all main' | deb
52 Mot inconnu : all =>   sudo apt-add-repository 'deb http://liveusb.info/multisystem/depot all main' | all
52 Guillemets typographiques fermants. =>   sudo apt-add-repository 'deb http://liveusb.info/multisystem/depot all main' | ' => suggestions : ['”', '’', '›']

56 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>        |        => suggestions : ['']

62 Accord de nombre erroné : « bios » devrait être au singulier. => === Utilisateurs Ubuntu disposant d'un bios LEGACY et non EFI === | bios => suggestions : ['bio']
62 Mot inconnu : LEGACY => === Utilisateurs Ubuntu disposant d'un bios LEGACY et non EFI === | legacy
62 Mot inconnu : EFI => === Utilisateurs Ubuntu disposant d'un bios LEGACY et non EFI === | efi

63 Mot inconnu : X86_64 => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. | x86_64
63 Mot inconnu : efi => Le package actuel utilisé est le package X86_64.efi.       Certains ordinateurs  qui vont utiliser cette clé fabriquée pour des EFI, ne le sont pas. Il ne pourront pas booter. | efi
