
6 Mot inconnu : PPPOE => ====== Configurer un modem ADSL ancienne génération (PPPOE) ====== | pppoe

10 Mot inconnu : pppoe => ===== Comment me connecter à internet avec mon modem câble/ADSL pppoe ? ===== | pppoe

12 Mot inconnu : PPPOE => L'outil de configuration réseau ne propose pas PPPOE comme type de connexion ,  | pppoe
12 Pas d’espace avant une virgule. => L'outil de configuration réseau ne propose pas PPPOE comme type de connexion ,  |  , => suggestions : [',']
12 Espace(s) en fin de ligne à supprimer. => L'outil de configuration réseau ne propose pas PPPOE comme type de connexion ,  |   => suggestions : ['']

19 Espace(s) en fin de ligne à supprimer. => Le script doit détecter sur quelle interface se trouve le modem et vous posera les questions d'usage  |   => suggestions : ['']

20 Typographie : points de suspension. Utilisez le caractère dédié. => (identifiant de connexion, mot de passe...). | ... => suggestions : ['…']

28 Confusion probable. => Et bien... Nous allons tout faire à la main ! | et bien => suggestions : ['Eh bien', 'Hé bien']
28 Typographie : points de suspension. Utilisez le caractère dédié. => Et bien... Nous allons tout faire à la main ! | ... => suggestions : ['…']

30 Mot inconnu : eth0 => Premièrement, on désactive l'interface eth0 : | eth0

38 Guillemets typographiques ouvrants. => Et on ajoute les lignes (indiquez bien sûr votre propre identifiant de connexion à "user") : | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => Et on ajoute les lignes (indiquez bien sûr votre propre identifiant de connexion à "user") : | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/ppp/pppoe_on_boot |    => suggestions : ['']
55 Mot inconnu : sudo =>   sudo /etc/ppp/pppoe_on_boot | sudo

65 Mot inconnu : pppoe => ===== Pour utiliser un modem pppoe avec network manager (interface graphique) : ===== | pppoe
65 Mot inconnu : network => ===== Pour utiliser un modem pppoe avec network manager (interface graphique) : ===== | network

67 Mot inconnu : eng => https://server7.kproxy.com/servlet/redirect.srv/sruj/shhzdcy/s7iwolzo/p2/servlet/redirect.srv/stluq/swlfgowa/sopq/p1/2009/11/08/solved-dsl-pppoe-not-able-to-connect-in-ubuntu-9-10-karmic-koala/(eng) | eng
