
5 Mot inconnu : Bee => ====== Bee (lightweight desktop environment) ====== | bee
5 Mot inconnu : lightweight => ====== Bee (lightweight desktop environment) ====== | lightweight
5 Mot inconnu : desktop => ====== Bee (lightweight desktop environment) ====== | desktop
5 Mot inconnu : environment => ====== Bee (lightweight desktop environment) ====== | environment

7 Mot inconnu : Bee => **Bee** est un script qui permet de composer facilement un environnement de bureau léger avec le gestionnaire de fenêtres [[Openbox]]. Il propose le choix du panel, du gestionnaire de connexion réseaux et de la procédure de login (automatique ou avec un display manager). Ensuite on peut choisir les applications à installer dans une liste. Ce script a été conçu pour les PC x86 dont la configuration n'est plus toute jeune. Il existe en plusieurs versions pour Ubuntu et pour Debian. | bee
7 Mot inconnu : Openbox => **Bee** est un script qui permet de composer facilement un environnement de bureau léger avec le gestionnaire de fenêtres [[Openbox]]. Il propose le choix du panel, du gestionnaire de connexion réseaux et de la procédure de login (automatique ou avec un display manager). Ensuite on peut choisir les applications à installer dans une liste. Ce script a été conçu pour les PC x86 dont la configuration n'est plus toute jeune. Il existe en plusieurs versions pour Ubuntu et pour Debian. | openbox
7 Mot inconnu : display => **Bee** est un script qui permet de composer facilement un environnement de bureau léger avec le gestionnaire de fenêtres [[Openbox]]. Il propose le choix du panel, du gestionnaire de connexion réseaux et de la procédure de login (automatique ou avec un display manager). Ensuite on peut choisir les applications à installer dans une liste. Ce script a été conçu pour les PC x86 dont la configuration n'est plus toute jeune. Il existe en plusieurs versions pour Ubuntu et pour Debian. | display
7 Mot inconnu : x86 => **Bee** est un script qui permet de composer facilement un environnement de bureau léger avec le gestionnaire de fenêtres [[Openbox]]. Il propose le choix du panel, du gestionnaire de connexion réseaux et de la procédure de login (automatique ou avec un display manager). Ensuite on peut choisir les applications à installer dans une liste. Ce script a été conçu pour les PC x86 dont la configuration n'est plus toute jeune. Il existe en plusieurs versions pour Ubuntu et pour Debian. | x86

9 Mot inconnu : General => Ce script est distribué sous licence GNU General Public License v3. | general
9 Mot inconnu : License => Ce script est distribué sous licence GNU General Public License v3. | license
9 Mot inconnu : v3 => Ce script est distribué sous licence GNU General Public License v3. | v3

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Openbox** pour le window manager |    => suggestions : ['']
16 Mot inconnu : Openbox =>   * **Openbox** pour le window manager | openbox
16 Mot inconnu : window =>   * **Openbox** pour le window manager | window

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Nitrogen** pour choisir son papier peint |    => suggestions : ['']
17 Mot inconnu : Nitrogen =>   * **Nitrogen** pour choisir son papier peint | nitrogen

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Synaptic** pour gérer ses paquets |    => suggestions : ['']
18 Mot inconnu : Synaptic =>   * **Synaptic** pour gérer ses paquets | synaptic

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Gmrun** comme lanceur d'applications |    => suggestions : ['']
19 Mot inconnu : Gmrun =>   * **Gmrun** comme lanceur d'applications | gmrun

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Galternatives** gestionnaire d'alternatives |    => suggestions : ['']
20 Mot inconnu : Galternatives =>   * **Galternatives** gestionnaire d'alternatives | galternatives

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Xarchiver** gestionnaire d'archives |    => suggestions : ['']
21 Mot inconnu : Xarchiver =>   * **Xarchiver** gestionnaire d'archives | xarchiver

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Xterm** pour bidouiller LOL |    => suggestions : ['']
22 Mot inconnu : Xterm =>   * **Xterm** pour bidouiller LOL | xterm

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Thunar** ou **PCMan FM** pour naviguer dans ses fichiers |    => suggestions : ['']
27 Mot inconnu : Thunar =>   * **Thunar** ou **PCMan FM** pour naviguer dans ses fichiers | thunar
27 Mot inconnu : PCMan =>   * **Thunar** ou **PCMan FM** pour naviguer dans ses fichiers | pcman

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Firefox**, **Chromium** et **Midori** pour surfer |    => suggestions : ['']
28 Mot inconnu : Chromium =>   * **Firefox**, **Chromium** et **Midori** pour surfer | chromium
28 Mot inconnu : Midori =>   * **Firefox**, **Chromium** et **Midori** pour surfer | midori

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Gpicview** pour regarder ses photos |    => suggestions : ['']
29 Mot inconnu : Gpicview =>   * **Gpicview** pour regarder ses photos | gpicview

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Audacious** pour écouter de la musique |    => suggestions : ['']
30 Mot inconnu : Audacious =>   * **Audacious** pour écouter de la musique | audacious

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **GNOME MPlayer** et **VLC** pour regarder des vidéos |    => suggestions : ['']
31 Mot inconnu : MPlayer =>   * **GNOME MPlayer** et **VLC** pour regarder des vidéos | mplayer
31 Mot inconnu : VLC =>   * **GNOME MPlayer** et **VLC** pour regarder des vidéos | vlc

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Pidgin**, **Skype** et **Emesene** pour chat et VoIP |    => suggestions : ['']
32 Mot inconnu : Skype =>   * **Pidgin**, **Skype** et **Emesene** pour chat et VoIP | skype
32 Mot inconnu : Emesene =>   * **Pidgin**, **Skype** et **Emesene** pour chat et VoIP | emesene
32 Mot inconnu : VoIP =>   * **Pidgin**, **Skype** et **Emesene** pour chat et VoIP | voip

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Leafpad** pour le bloc notes |    => suggestions : ['']
33 Mot inconnu : Leafpad =>   * **Leafpad** pour le bloc notes | leafpad

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Geany** comme IDE rapide et léger |    => suggestions : ['']
34 Mot inconnu : Geany =>   * **Geany** comme IDE rapide et léger | geany

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **The GIMP** pour la retouche de photos |    => suggestions : ['']
35 Mot inconnu : The =>   * **The GIMP** pour la retouche de photos | the

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Transmission** comme client BitTorrent |    => suggestions : ['']
36 Mot inconnu : BitTorrent =>   * **Transmission** comme client BitTorrent | bittorrent

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Java 6 + plugin** |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Java 7 + plugin** |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Flash plugin** |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Divers **utilitaires** qui rende la vie plus facile (via liste de choix) |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Divers **codecs** pour le multimedia |    => suggestions : ['']
41 Mot inconnu : multimedia =>   * Divers **codecs** pour le multimedia | multimedia

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ... |    => suggestions : ['']
42 Typographie : points de suspension. Utilisez le caractère dédié. =>   * ... | ... => suggestions : ['…']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec **Login Manager** |    => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sans LM via le **TTY1** et un **autostartx** |    => suggestions : ['']
46 Mot inconnu : TTY1 =>   * Sans LM via le **TTY1** et un **autostartx** | tty1
46 Mot inconnu : autostartx =>   * Sans LM via le **TTY1** et un **autostartx** | autostartx

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sans LM avec l'**autologin**, la session se connecte toute seule sans demander de mot de passe |    => suggestions : ['']
47 Mot inconnu : autologin =>   * Sans LM avec l'**autologin**, la session se connecte toute seule sans demander de mot de passe | autologin

50 Mot inconnu : GTK2 => ===== Choix du thème GTK2 ===== | gtk2

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Suite de thèmes **Ubuntu** (moteur de thème Murrine) |    => suggestions : ['']
52 Mot inconnu : Murrine =>   * Suite de thèmes **Ubuntu** (moteur de thème Murrine) | murrine

