
4 Mot inconnu : Gtkhash => ====== Vérifier l'intégrité d'un fichier avec Gtkhash====== | gtkhash

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionner le fichier à vérifier dans l'explorateur de fichiers; |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionner le fichier à vérifier dans l'explorateur de fichiers; |  -  => suggestions : [' – ', ' — ', ' − ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Clic-droit sur ce fichier -> "Propriétés", puis onglet "Résumés"; |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Clic-droit sur ce fichier -> "Propriétés", puis onglet "Résumés"; |  -  => suggestions : [' – ', ' — ', ' − ']
23 Guillemets typographiques ouvrants. =>   - Clic-droit sur ce fichier -> "Propriétés", puis onglet "Résumés"; | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   - Clic-droit sur ce fichier -> "Propriétés", puis onglet "Résumés"; | " => suggestions : ['\xa0»', '”']
23 Guillemets typographiques ouvrants. =>   - Clic-droit sur ce fichier -> "Propriétés", puis onglet "Résumés"; | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   - Clic-droit sur ce fichier -> "Propriétés", puis onglet "Résumés"; | " => suggestions : ['\xa0»', '”']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cocher la fonction de hachage désirée et décocher éventuellement les autres; |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cocher la fonction de hachage désirée et décocher éventuellement les autres; |  -  => suggestions : [' – ', ' — ', ' − ']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquer sur le bouton **Hachage**: l'empreinte du fichier apparaîtra devant la fonction de hachage sélectionnée; |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cliquer sur le bouton **Hachage**: l'empreinte du fichier apparaîtra devant la fonction de hachage sélectionnée; |  -  => suggestions : [' – ', ' — ', ' − ']

