
4 Mot inconnu : SmillaEnlarger => ====== SmillaEnlarger ====== | smillaenlarger

6 Mot inconnu : SmillaEnlarger => **SmillaEnlarger** est un outil doté d'une interface graphique (élaborée sous Qt) destiné à redimensionner des photos et des images. Il est particulièrement efficace pour l'agrandissement d'images bitmaps. SmillaEnlarger, également référencé sous le nom ImageEnlarger, utilise un algorithme spécialement mis au point par son concepteur. | smillaenlarger
6 Mot inconnu : SmillaEnlarger => **SmillaEnlarger** est un outil doté d'une interface graphique (élaborée sous Qt) destiné à redimensionner des photos et des images. Il est particulièrement efficace pour l'agrandissement d'images bitmaps. SmillaEnlarger, également référencé sous le nom ImageEnlarger, utilise un algorithme spécialement mis au point par son concepteur. | smillaenlarger
6 Mot inconnu : ImageEnlarger => **SmillaEnlarger** est un outil doté d'une interface graphique (élaborée sous Qt) destiné à redimensionner des photos et des images. Il est particulièrement efficace pour l'agrandissement d'images bitmaps. SmillaEnlarger, également référencé sous le nom ImageEnlarger, utilise un algorithme spécialement mis au point par son concepteur. | imageenlarger

8 Mot inconnu : SmillaEnlarger => SmillaEnlarger permet d'augmenter la résolution des images redimensionnées et, ainsi, d'éviter le phénomène de pixelisation lors de l'agrandissement ou de l'impression d'images en faible résolution. SmillaEnlarger est notamment destiné à l'amélioration du grossissement des détails des photographies. | smillaenlarger
8 Mot inconnu : pixelisation => SmillaEnlarger permet d'augmenter la résolution des images redimensionnées et, ainsi, d'éviter le phénomène de pixelisation lors de l'agrandissement ou de l'impression d'images en faible résolution. SmillaEnlarger est notamment destiné à l'amélioration du grossissement des détails des photographies. | pixelisation
8 Mot inconnu : SmillaEnlarger => SmillaEnlarger permet d'augmenter la résolution des images redimensionnées et, ainsi, d'éviter le phénomène de pixelisation lors de l'agrandissement ou de l'impression d'images en faible résolution. SmillaEnlarger est notamment destiné à l'amélioration du grossissement des détails des photographies. | smillaenlarger

10 Mot inconnu : SmilaEnlarger => SmilaEnlarger est distribué sous licence libre (GPL v3). | smilaenlarger
10 Mot inconnu : v3 => SmilaEnlarger est distribué sous licence libre (GPL v3). | v3

12 Mot inconnu : SmillaEnlarger => SmillaEnlarger n'est disponible qu'en langue anglaise mais compte tenu de la facilité d'utilisation ce n'est vraiment pas un problème. | smillaenlarger

23 Mot inconnu : SmillaEnlarger => SmillaEnlarger ne présente pas de version disponible au delà de Bionic/18.04 à travers ce PPA. | smillaenlarger
23 Il manque un trait d’union. => SmillaEnlarger ne présente pas de version disponible au delà de Bionic/18.04 à travers ce PPA. | au delà => suggestions : ['au-delà']

29 Mot inconnu : SmillaEnlarger => L'utilisation de SmillaEnlarger est assez intuitive.  | smillaenlarger
29 Espace(s) en fin de ligne à supprimer. => L'utilisation de SmillaEnlarger est assez intuitive.  |   => suggestions : ['']

31 Espace(s) surnuméraire(s) à supprimer. => Au lancement de  SmillaEnlarger il est possible de choisir une image par glisser-déposer, copie à partir du presse papier ou par //File -> Open//. |    => suggestions : [' ']
31 Mot inconnu : SmillaEnlarger => Au lancement de  SmillaEnlarger il est possible de choisir une image par glisser-déposer, copie à partir du presse papier ou par //File -> Open//. | smillaenlarger
31 Il manque probablement un trait d’union. => Au lancement de  SmillaEnlarger il est possible de choisir une image par glisser-déposer, copie à partir du presse papier ou par //File -> Open//. | presse papier => suggestions : ['presse-papier']

35 Mot inconnu : Save => Le traitement est appliqué en cliquant sur //Zoom & Save//. | save

37 Mot inconnu : specify => La taille du résultat est affiché sous la vignette de prévisualisation. Pour la modifier, en haut à gauche de la fenêtre principale (par défaut //specify zoom factor//), il est possible de choisir les modalités de paramétrage de la taille de sortie : facteur de zoom, hauteur finale, largeur finale, taille maximale en pixels (taille finale ajustée automatiquement dans ces limites, selon le ratio hauteur / largeur), taille en pixel (image étirée si nécessaire), recadrage dans les limites du ratio hauteur / largeur fixé, ajout de bandes noires sur les cotés si nécessaire en fonction des dimensions finales fixées par l'utilisateur. | specify
37 Mot inconnu : factor => La taille du résultat est affiché sous la vignette de prévisualisation. Pour la modifier, en haut à gauche de la fenêtre principale (par défaut //specify zoom factor//), il est possible de choisir les modalités de paramétrage de la taille de sortie : facteur de zoom, hauteur finale, largeur finale, taille maximale en pixels (taille finale ajustée automatiquement dans ces limites, selon le ratio hauteur / largeur), taille en pixel (image étirée si nécessaire), recadrage dans les limites du ratio hauteur / largeur fixé, ajout de bandes noires sur les cotés si nécessaire en fonction des dimensions finales fixées par l'utilisateur. | factor
