

5 Mot inconnu : Agfa [[33:37]] => ====== Installation d'un scanner Agfa ====== <|> agfa
5 Mot inconnu : Agfa [[33:37]] => ====== Installation d'un scanner Agfa ====== <|> agfa


7 Mot inconnu : Agfa [[56:60]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|> agfa
7 Mot inconnu : Agfa [[56:60]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|> agfa
7 Espace(s) en fin de ligne à supprimer. [[80:81]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|>   => suggestions : ['']
7 Espace(s) en fin de ligne à supprimer. [[80:81]] => Cette documentation décrit comment installer un scanner Agfa **USB** sur Ubuntu.  <|>   => suggestions : ['']


8 Mot inconnu : Agfa [[31:35]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> agfa
8 Mot inconnu : Agfa [[31:35]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> agfa
8 Accord avec la forme verbale “soit” : “supportés” devrait être au singulier. [[92:101]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> supportés => suggestions : ['supporté']
8 Accord avec la forme verbale “soit” : “supportés” devrait être au singulier. [[92:101]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|> supportés => suggestions : ['supporté']
8 Espace(s) en fin de ligne à supprimer. [[146:147]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|>   => suggestions : ['']
8 Espace(s) en fin de ligne à supprimer. [[146:147]] => Il semblerait que les scanners Agfa qui se branchent sur port parallèle ne soit pas du tout supportés, ils sont cependant très rares de nos jours.  <|>   => suggestions : ['']


9 Mot inconnu : agfa [[17:21]] => Les scanners USB agfa semblent avoir du mal à être reconnus lorsqu'ils sont branchés via un HUB USB, sur Ubuntu. **Il est fortement conseillé de** les **brancher directement sur la prise USB de l'ordinateur, et de ne pas passer par un HUB**. <|> agfa
9 Mot inconnu : agfa [[17:21]] => Les scanners USB agfa semblent avoir du mal à être reconnus lorsqu'ils sont branchés via un HUB USB, sur Ubuntu. **Il est fortement conseillé de** les **brancher directement sur la prise USB de l'ordinateur, et de ne pas passer par un HUB**. <|> agfa


11 Mot inconnu : Agfa [[32:36]] => <note>Pour installer un scanner Agfa en 1 clic, un script est disponible [[https://forum.ubuntu-fr.org/viewtopic.php?pid=7424041|ici]].</note> <|> agfa
11 Mot inconnu : Agfa [[32:36]] => <note>Pour installer un scanner Agfa en 1 clic, un script est disponible [[https://forum.ubuntu-fr.org/viewtopic.php?pid=7424041|ici]].</note> <|> agfa


13 Mot inconnu : Agfa [[27:31]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> agfa
13 Mot inconnu : Agfa [[27:31]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> agfa
13 Guillemets typographiques ouvrants. [[213:214]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. [[238:239]] => L'utilisation d'un scanner Agfa requiert généralement un firmware (un micro logiciel que le PC doit envoyer au périphérique pour que celui-ci fonctionne). Ces firmwares ne sont pas inclus avec Ubuntu, ni avec les "Pilotes de Périphériques". Nous allons donc détailler l'installation de ceux-ci si cela est nécessaire. <|> " => suggestions : ['\xa0»', '”']
19 Espace(s) en fin de ligne à supprimer. [[117:118]] => Tout d'abord, il faut noter le modèle de son scanner, puis commencer par regarder s'il est présent dans cette liste :  <|>   => suggestions : ['']
19 Espace(s) en fin de ligne à supprimer. [[117:118]] => Tout d'abord, il faut noter le modèle de son scanner, puis commencer par regarder s'il est présent dans cette liste :  <|>   => suggestions : ['']


22 Mot inconnu : AgfaPhoto [[1:10]] => |AgfaPhoto AS1300 | 0x079b, 0x00ab |détermination en cours|En cours d'installation, merci de votre patience| <|> agfaphoto
28 Mot inconnu : x2097 [[35:40]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|> x2097
28 Mot inconnu : x2097 [[35:40]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|> x2097
28 Mot inconnu : snape26 [[43:50]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|> snape26
28 Mot inconnu : snape26 [[43:50]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|> snape26
28 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|> bin
28 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|> bin
28 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|>  	 => suggestions : [' ', '\t']
28 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|>  	 => suggestions : [' ', '\t']
28 Espace(s) en fin de ligne à supprimer. [[107:108]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|>   => suggestions : ['']
28 Espace(s) en fin de ligne à supprimer. [[107:108]] => |Agfa SnapScan e26      | 0x06bd, 0x2097 | snape26.bin 	  | Certains modèles n'ont pas besoin de firmware |  <|>   => suggestions : ['']


29 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> agfa
29 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> agfa
29 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> snapscan
29 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> snapscan
29 Mot inconnu : e40 [[15:18]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> e40
29 Mot inconnu : e40 [[15:18]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> e40
29 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|>        => suggestions : [' ']
29 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|>        => suggestions : [' ']
29 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> x06bd
29 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> x06bd
29 Mot inconnu : x208d [[35:40]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> x208d
29 Mot inconnu : x208d [[35:40]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> x208d
29 Mot inconnu : snape40 [[43:50]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> snape40
29 Mot inconnu : snape40 [[43:50]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> snape40
29 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> bin
29 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|> bin
29 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|>  	 => suggestions : [' ', '\t']
29 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e40      | 0x06bd, 0x208d | snape40.bin 	  | | <|>  	 => suggestions : [' ', '\t']


30 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> agfa
30 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> agfa
30 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snapscan
30 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snapscan
30 Mot inconnu : e42 [[15:18]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> e42
30 Mot inconnu : e42 [[15:18]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> e42
30 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>        => suggestions : [' ']
30 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>        => suggestions : [' ']
30 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x06bd
30 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x06bd
30 Mot inconnu : x20ff [[35:40]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x20ff
30 Mot inconnu : x20ff [[35:40]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x20ff
30 Mot inconnu : snape42 [[43:50]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snape42
30 Mot inconnu : snape42 [[43:50]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snape42
30 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> bin
30 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> bin
30 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>  	 => suggestions : [' ', '\t']
30 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e42      | 0x06bd, 0x20ff | snape42.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>  	 => suggestions : [' ', '\t']


31 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> agfa
31 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> agfa
31 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> snapscan
31 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> snapscan
31 Mot inconnu : e50 [[15:18]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> e50
31 Mot inconnu : e50 [[15:18]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> e50
31 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|>        => suggestions : [' ']
31 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|>        => suggestions : [' ']
31 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> x06bd
31 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> x06bd
31 Mot inconnu : x208f [[35:40]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> x208f
31 Mot inconnu : x208f [[35:40]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> x208f
31 Mot inconnu : snape50 [[43:50]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> snape50
31 Mot inconnu : snape50 [[43:50]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> snape50
31 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> bin
31 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> bin
31 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|>  	 => suggestions : [' ', '\t']
31 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|>  	 => suggestions : [' ', '\t']
31 Mot inconnu : Snape [[69:74]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> snape
31 Mot inconnu : Snape [[69:74]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> snape
31 Mot inconnu : bin [[75:78]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> bin
31 Mot inconnu : bin [[75:78]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> bin
31 Mot inconnu : saned [[132:137]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> saned
31 Mot inconnu : saned [[132:137]] => |Agfa SnapScan e50      | 0x06bd, 0x208f | snape50.bin 	  | firmware Snape.bin nécessaire, ajouter le nom d'utilisateur au groupe //saned// (14.04)| <|> saned


32 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> agfa
32 Mot inconnu : Agfa [[1:5]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> agfa
32 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snapscan
32 Mot inconnu : SnapScan [[6:14]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snapscan
32 Mot inconnu : e52 [[15:18]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> e52
32 Mot inconnu : e52 [[15:18]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> e52
32 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>        => suggestions : [' ']
32 Espace(s) surnuméraire(s) à supprimer. [[18:24]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>        => suggestions : [' ']
32 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x06bd
32 Mot inconnu : x06bd [[27:32]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x06bd
32 Mot inconnu : x20fd [[35:40]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x20fd
32 Mot inconnu : x20fd [[35:40]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> x20fd
32 Mot inconnu : snape52 [[43:50]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snape52
32 Mot inconnu : snape52 [[43:50]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> snape52
32 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> bin
32 Mot inconnu : bin [[51:54]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|> bin
32 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>  	 => suggestions : [' ', '\t']
32 Incohérence : espace et tabulation. [[54:56]] => |Agfa SnapScan e52      | 0x06bd, 0x20fd | snape52.bin 	  | La calibration de qualité ne fonctionne pas comme indiqué | <|>  	 => suggestions : [' ', '\t']


35 Mot inconnu : __Notez__ [[0:9]] => __Notez__ le nom contenu dans la colonne Firmware, il vous servira pour la suite. <|> __notez__
35 Mot inconnu : __Notez__ [[0:9]] => __Notez__ le nom contenu dans la colonne Firmware, il vous servira pour la suite. <|> __notez__


49 Mot inconnu : ubuntuusers [[110:121]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> ubuntuusers
49 Mot inconnu : ubuntuusers [[110:121]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> ubuntuusers
49 Il manque un espace. [[122:124]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> de => suggestions : [' de']
49 Il manque un espace. [[122:124]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> de => suggestions : [' de']
49 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[172:174]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|>  . => suggestions : ['. ', '.']
49 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[172:174]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|>  . => suggestions : ['. ', '.']
49 Mot inconnu : bin [[174:177]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> bin
49 Mot inconnu : bin [[174:177]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> bin
49 Accord de nombre erroné avec « page ». [[182:187]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> leurs => suggestions : ['leur']
49 Accord de nombre erroné avec « page ». [[182:187]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> leurs => suggestions : ['leur']
49 Accord de nombre erroné avec « leurs » : « page » devrait être au pluriel. [[188:192]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> page => suggestions : ['pages']
49 Accord de nombre erroné avec « leurs » : « page » devrait être au pluriel. [[188:192]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> page => suggestions : ['pages']
49 Pas d’espace après ce signe. [[278:280]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> [  => suggestions : ['[']
49 Pas d’espace après ce signe. [[278:280]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> [  => suggestions : ['[']
49 Mot inconnu : ich [[280:283]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> ich
49 Mot inconnu : ich [[280:283]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> ich
49 Mot inconnu : danke [[284:289]] => La façon la plus simple consiste à aller récupérer le firmware directement sur [[https://wiki.ubuntuusers.de/|ubuntuusers.de]] qui propose un certains nombres de drivers en .bin sur leurs page de [[https://wiki.ubuntuusers.de/Scanner/Agfa_SnapScan/|documentation]], merci à eux [ ich danke ihnen :-) ] <|> danke
