
3 Mot inconnu : Ledger => ====== Ledger - Wallet hardware pour cryptomonnaie ====== | ledger
3 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ====== Ledger - Wallet hardware pour cryptomonnaie ====== |  -  => suggestions : [' – ', ' — ', ' − ']
3 Mot inconnu : Wallet => ====== Ledger - Wallet hardware pour cryptomonnaie ====== | wallet

5 Mot inconnu : Ledger => Cette page a pour objectif d'apporter des pistes de résolution de problèmes de communication entre votre Ledger et Ubuntu. Rappel : ne conservez pas votre seed phrase sur un ordinateur. | ledger
5 Mot inconnu : seed => Cette page a pour objectif d'apporter des pistes de résolution de problèmes de communication entre votre Ledger et Ubuntu. Rappel : ne conservez pas votre seed phrase sur un ordinateur. | seed

7 Mot inconnu : Ledger => ===== Détection du Ledger ===== | ledger

8 Mot inconnu : Ledger => Vérifiez qu'Ubuntu détecte votre Ledger. Connectez votre Ledger, déverrouillez-le et tapez la commande dans un terminal : | ledger
8 Mot inconnu : Ledger => Vérifiez qu'Ubuntu détecte votre Ledger. Connectez votre Ledger, déverrouillez-le et tapez la commande dans un terminal : | ledger

10 Mot inconnu : Ledger => Si le Ledger est détecté à Ubuntu, alors on doit avoir un retour qui ressemble à ceci, suivant votre modèle : | ledger

16 Mot inconnu : Ledger => Le Ledger n'est pas détecté par Ubuntu tant que le code pin n'est pas correct. | ledger

18 Mot inconnu : Ledger => En cas d'absence de détection du Ledger connecté et déverrouillé, le fabricant recommande d'exécuter ces commandes : | ledger

22 Mot inconnu : Metamask => ===== Firefox + Metamask ===== | metamask

24 Mot inconnu : Ledger => Pour associer votre Ledger à Metamask dans Firefox, votre Ledger doit-être déverrouillé et affiché sur le menu racine (ne pas ouvrir l'application Ethereum). Lors de l'ajout du Ledger à Metamask, rester sur le menu racine du Ledger. En revanche, pour utiliser Ledger avec Metamask, après l'ajout du compte Ledger, faut avoir l'application Ethereum installé et son paramètre Blind signing doit être sur Enabled.\\ | ledger
