
5 Mot inconnu : LyX => ====== Édition de document avec LyX ====== <|> lyx
18 Il manque un espace. => stable : ppa:lyx-devel/release  (recommandé) <|> lyx-devel => suggestions : [' lyx-devel']
18 Mot inconnu : lyx-devel => stable : ppa:lyx-devel/release  (recommandé) <|> lyx-devel
18 Mot inconnu : release => stable : ppa:lyx-devel/release  (recommandé) <|> release
18 Espace(s) surnuméraire(s) à supprimer. => stable : ppa:lyx-devel/release  (recommandé) <|>    => suggestions : [' ']
25 Il manque un espace. => daily : ppa:lyx-devel/daily <|> lyx-devel => suggestions : [' lyx-devel']
25 Mot inconnu : lyx-devel => daily : ppa:lyx-devel/daily <|> lyx-devel

34 Mot inconnu : BibTeX => En latex les fichiers bibliographiques sont au format BibTeX (//.bib//). Pour générer ce type de fichier on peut utiliser des éditeurs tels [[JabRef]]. <|> bibtex
34 Mot inconnu : bib => En latex les fichiers bibliographiques sont au format BibTeX (//.bib//). Pour générer ce type de fichier on peut utiliser des éditeurs tels [[JabRef]]. <|> bib
34 Mot inconnu : JabRef => En latex les fichiers bibliographiques sont au format BibTeX (//.bib//). Pour générer ce type de fichier on peut utiliser des éditeurs tels [[JabRef]]. <|> jabref

37 Guillemets typographiques ouvrants. => Dans le menu "Insérer/Liste et TDM/Bibliographie BibTex", cliquez sur "ajouter" puis parcourez vos fichiers pour trouver votre fichier BibTeX. Le choix du style disponible à cette étape conditionne l'affichage lors de l'export de votre bibliographie.  <|> " => suggestions : ['«\xa0', '“']
37 Mot inconnu : TDM => Dans le menu "Insérer/Liste et TDM/Bibliographie BibTex", cliquez sur "ajouter" puis parcourez vos fichiers pour trouver votre fichier BibTeX. Le choix du style disponible à cette étape conditionne l'affichage lors de l'export de votre bibliographie.  <|> tdm
37 Mot inconnu : BibTex => Dans le menu "Insérer/Liste et TDM/Bibliographie BibTex", cliquez sur "ajouter" puis parcourez vos fichiers pour trouver votre fichier BibTeX. Le choix du style disponible à cette étape conditionne l'affichage lors de l'export de votre bibliographie.  <|> bibtex
37 Guillemets typographiques fermants. => Dans le menu "Insérer/Liste et TDM/Bibliographie BibTex", cliquez sur "ajouter" puis parcourez vos fichiers pour trouver votre fichier BibTeX. Le choix du style disponible à cette étape conditionne l'affichage lors de l'export de votre bibliographie.  <|> " => suggestions : ['\xa0»', '”']
37 Guillemets typographiques ouvrants. => Dans le menu "Insérer/Liste et TDM/Bibliographie BibTex", cliquez sur "ajouter" puis parcourez vos fichiers pour trouver votre fichier BibTeX. Le choix du style disponible à cette étape conditionne l'affichage lors de l'export de votre bibliographie.  <|> " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => Dans le menu "Insérer/Liste et TDM/Bibliographie BibTex", cliquez sur "ajouter" puis parcourez vos fichiers pour trouver votre fichier BibTeX. Le choix du style disponible à cette étape conditionne l'affichage lors de l'export de votre bibliographie.  <|> " => suggestions : ['\xa0»', '”']
37 Mot inconnu : BibTeX => Dans le menu "Insérer/Liste et TDM/Bibliographie BibTex", cliquez sur "ajouter" puis parcourez vos fichiers pour trouver votre fichier BibTeX. Le choix du style disponible à cette étape conditionne l'affichage lors de l'export de votre bibliographie.  <|> bibtex

38 Guillemets typographiques ouvrants. => <note tip>"Plain" est le style par défaut, cet affichage permet d'avoir les références sous forme [1] dans le texte. Pour avoir un affichage classique de type "(auteur, date)" , préférez "apalike". Lorsque vous aurez inséré vos citations vous pourrez cliquer dessus et choisir dans "citation style" celui que nous venons de décrire.</note> <|> " => suggestions : ['«\xa0', '“']
