
22 Mot inconnu : Snd-Bt-Sco [[15:25]] => ==== Le module Snd-Bt-Sco ==== <|> snd-bt-sco

26 Espace(s) en fin de ligne à supprimer. [[60:61]] => Ceci est valide et testé et vous pouvez toujours l'utiliser.  <|>  

28 Après un point, une majuscule est généralement requise. [[78:82]] => Il existe un outil graphique qui peut être utilisé pour configurer tout ceci. voir le site de Stéphane Grabber http://www.stgraber.org/category/gbtsco/. <|> voir => suggestions : Voir
28 Mot inconnu : Grabber [[103:110]] => Il existe un outil graphique qui peut être utilisé pour configurer tout ceci. voir le site de Stéphane Grabber http://www.stgraber.org/category/gbtsco/. <|> grabber

30 Mot inconnu : btsco [[20:25]] => Cependant, à priori btsco va devenir obsolète d'ici peu (car bluez-util doit prendre en charge ce protocole directement) , donc ça serait bien de s'intéresser de plus près aux évolutions de bluez-utils pour voir ce qu'on fait de cette page</note> <|> btsco
30 Mot inconnu : bluez-util [[61:71]] => Cependant, à priori btsco va devenir obsolète d'ici peu (car bluez-util doit prendre en charge ce protocole directement) , donc ça serait bien de s'intéresser de plus près aux évolutions de bluez-utils pour voir ce qu'on fait de cette page</note> <|> bluez-util
30 Pas d’espace avant une virgule. [[120:122]] => Cependant, à priori btsco va devenir obsolète d'ici peu (car bluez-util doit prendre en charge ce protocole directement) , donc ça serait bien de s'intéresser de plus près aux évolutions de bluez-utils pour voir ce qu'on fait de cette page</note> <|>  , => suggestions : ,
30 Mot inconnu : bluez-utils [[190:201]] => Cependant, à priori btsco va devenir obsolète d'ici peu (car bluez-util doit prendre en charge ce protocole directement) , donc ça serait bien de s'intéresser de plus près aux évolutions de bluez-utils pour voir ce qu'on fait de cette page</note> <|> bluez-utils
32 Espace(s) en fin de ligne à supprimer. [[102:103]] => <note tip>Sous pulseaudio, il semble être suffisant d'entrer cette commande dans le terminal : </note>  <|>  
37 Espace(s) en fin de ligne à supprimer. [[22:23]] =>   * Charger le module:  <|>  
49 Mot inconnu : péripherique [[20:32]] =>   * se connecter au péripherique : <|> péripherique

55 Mot inconnu : hcitool [[93:100]] => <note important>00:00:00:00:00 doit être remplacé par le résultat de la commande précédente (hcitool scan)</note>  <|> hcitool
55 Espace(s) en fin de ligne à supprimer. [[113:114]] => <note important>00:00:00:00:00 doit être remplacé par le résultat de la commande précédente (hcitool scan)</note>  <|>  

59 Mot inconnu : Plantronics [[105:116]] => <note>Un popup doit s'ouvrir en vous demandant le code de synchronisation (en général 0000 ou 1234, pour Plantronics c'est 0000). <|> plantronics

72 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... à la fin du fichier <|> ... => suggestions : …

77 Mot inconnu : asoundrc [[107:115]] => Une fois associé, si l'on veut que le son du système sorte par l'oreillette, il faut créer le fichier **~/.asoundrc** : <|> asoundrc

101 Espace(s) surnuméraire(s) à supprimer. [[65:67]] => <note important>Parfois quand ça semble fonctionner mais qu'aucun  son n'est  <|>    => suggestions :  
101 Espace(s) en fin de ligne à supprimer. [[76:77]] => <note important>Parfois quand ça semble fonctionner mais qu'aucun  son n'est  <|>  

102 Mot inconnu : redémarer [[99:108]] => produit, il faut rajouter la ligne suivante a la fin du fichier **/etc/modprobe.d/bluez** avant de redémarer l'ordinateur : <|> redémarer
114 Mot inconnu : SHB6110 [[20:27]] => ==== Casque Philips SHB6110 ==== <|> shb6110

116 Mot inconnu : Edit [[11:15]] => <note help>Edit 9 juin 2009 <|> edit
118 Mot inconnu : SHB6110 [[60:67]] => Personnellement, j'ai réussi à connecter mon casque Philips SHB6110 sur Ubuntu 9.04 - Jaunty uniquement à l'aide d'une manipulation. <|> shb6110
118 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) [[83:86]] => Personnellement, j'ai réussi à connecter mon casque Philips SHB6110 sur Ubuntu 9.04 - Jaunty uniquement à l'aide d'une manipulation. <|>  -  => suggestions :  –  —  − 

120 Mot inconnu : Loading [[73:80]] => J'avais toujours le même message d'erreur au moment de charger le module Loading Bluetooth ALSA sink. <|> loading
120 Mot inconnu : sink [[96:100]] => J'avais toujours le même message d'erreur au moment de charger le module Loading Bluetooth ALSA sink. <|> sink

123 Mot inconnu : Edit [[10:14]] => <note tip>Edit 13 novembre 2009\\ <|> edit

129 Mot inconnu : Plantronics [[21:32]] => ==== Casque sans fil Plantronics Audio 995 USB ==== <|> plantronics

133 Mot inconnu : Plantronics [[43:54]] => <note>Depuis le déploiement du noyau 3.19, Plantronics a développé puis intégré un module Linux de gestion des périphériques USB Bluetooth. </note> <|> plantronics
135 Espace(s) en fin de ligne à supprimer. [[80:81]] => Si le périphérique USB est bien reconnu et opérationnel, sous Xenial (noyau 4.X)  <|>  

137 Mot inconnu : __Il [[11:15]] => <note help>__Il manque une règle de gestion Udev__ de connexion/déconnexion du dongle USB ! </note> <|> __il
137 Mot inconnu : Udev__ [[44:50]] => <note help>__Il manque une règle de gestion Udev__ de connexion/déconnexion du dongle USB ! </note> <|> udev__
141 Mot inconnu : __Seule [[18:25]] => <note help> FIXME __Seule une restauration système avec Systemback permet de récupérer le son !__</note> <|> __seule
141 Mot inconnu : Systemback [[56:66]] => <note help> FIXME __Seule une restauration système avec Systemback permet de récupérer le son !__</note> <|> systemback
141 Il manque un espace. [[95:97]] => <note help> FIXME __Seule une restauration système avec Systemback permet de récupérer le son !__</note> <|> __ => suggestions :  __
141 Mot inconnu : __ [[95:97]] => <note help> FIXME __Seule une restauration système avec Systemback permet de récupérer le son !__</note> <|> __

145 Accord de genre erroné avec « Nom ». [[8:16]] => ^ Nom ^ Variante ^ Version ^ Fonctionnement ^ Commentaires ^ Auteur ^ <|> variante => suggestions : Variant
