1 Mot inconnu : Armed => ====== Armed Assault ====== | armed
1 Mot inconnu : Assault => ====== Armed Assault ====== | assault

3 Mot inconnu : Armed => <note warning>Ce guide ne permet pas encore de faire tourner Armed Assault (ArmA) sous Linux, mais au moins de l'installer. Sachant que certains ont des problèmes avec l'installation, le guide à été crée. Si vous avez quelque-chose à compléter, n'hésitez pas.</note> | armed
3 Mot inconnu : Assault => <note warning>Ce guide ne permet pas encore de faire tourner Armed Assault (ArmA) sous Linux, mais au moins de l'installer. Sachant que certains ont des problèmes avec l'installation, le guide à été crée. Si vous avez quelque-chose à compléter, n'hésitez pas.</note> | assault
3 Mot inconnu : ArmA => <note warning>Ce guide ne permet pas encore de faire tourner Armed Assault (ArmA) sous Linux, mais au moins de l'installer. Sachant que certains ont des problèmes avec l'installation, le guide à été crée. Si vous avez quelque-chose à compléter, n'hésitez pas.</note> | arma
3 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. => <note warning>Ce guide ne permet pas encore de faire tourner Armed Assault (ArmA) sous Linux, mais au moins de l'installer. Sachant que certains ont des problèmes avec l'installation, le guide à été crée. Si vous avez quelque-chose à compléter, n'hésitez pas.</note> | à => suggestions : ['a']

5 Mot inconnu : Cedega => Je n'ai jamais essayé de le faire marcher avec Cedega, si quelqu'un à une idée, j'ai rajouté les catégories. N'hésitez pas à éditer et à compléter.  | cedega
5 Espace(s) en fin de ligne à supprimer. => Je n'ai jamais essayé de le faire marcher avec Cedega, si quelqu'un à une idée, j'ai rajouté les catégories. N'hésitez pas à éditer et à compléter.  |   => suggestions : ['']

7 Mot inconnu : Wine => ===== Avec Wine ===== | wine

9 Mot inconnu : Wine => ==== Installer et configurer Wine ==== | wine

10 Mot inconnu : Wine => Avant toute chose, vous devez posséder Wine, c'est un programme qui permet de faire tourner certaines applications Windows sous Linux.  | wine
10 Espace(s) en fin de ligne à supprimer. => Avant toute chose, vous devez posséder Wine, c'est un programme qui permet de faire tourner certaines applications Windows sous Linux.  |   => suggestions : ['']

11 Mot inconnu : buggué => Il est assez buggué mais contrairement à Cedega (qui est un programme du même genre, optimisé pour les jeux), il est gratuit.\\ | buggué
11 Mot inconnu : Cedega => Il est assez buggué mais contrairement à Cedega (qui est un programme du même genre, optimisé pour les jeux), il est gratuit.\\ | cedega

14 Mot inconnu : Armed => ==== Installer Armed Assault (ArmA) grâce à Wine ==== | armed
14 Mot inconnu : Assault => ==== Installer Armed Assault (ArmA) grâce à Wine ==== | assault
14 Mot inconnu : ArmA => ==== Installer Armed Assault (ArmA) grâce à Wine ==== | arma
14 Mot inconnu : Wine => ==== Installer Armed Assault (ArmA) grâce à Wine ==== | wine

15 Mot inconnu : Wine => Vous aurez peut-être essayé, après avoir installé Wine, d'utiliser la méthode courante en tapant une ligne de commande dans la console. Malheureusement vous vous serez vite rendu compte qu'ArmA renvoi une croix rouge dans une fenêtre vide. En effet, c'est //normal// ou plutôt ça le fait à tout le monde.  | wine
15 Mot inconnu : ArmA => Vous aurez peut-être essayé, après avoir installé Wine, d'utiliser la méthode courante en tapant une ligne de commande dans la console. Malheureusement vous vous serez vite rendu compte qu'ArmA renvoi une croix rouge dans une fenêtre vide. En effet, c'est //normal// ou plutôt ça le fait à tout le monde.  | arma
15 Espace(s) en fin de ligne à supprimer. => Vous aurez peut-être essayé, après avoir installé Wine, d'utiliser la méthode courante en tapant une ligne de commande dans la console. Malheureusement vous vous serez vite rendu compte qu'ArmA renvoi une croix rouge dans une fenêtre vide. En effet, c'est //normal// ou plutôt ça le fait à tout le monde.  |   => suggestions : ['']

20 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  | a => suggestions : ['à']
20 Incohérence probable avec “a” : “naviguer” n’est pas un participe passé. => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  | naviguer => suggestions : ['navigué']
20 Mot inconnu : cdrom0 => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  | cdrom0
20 Guillemets typographiques ouvrants. => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  | " => suggestions : ['«\xa0', '“']
20 Mot inconnu : setup => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  | setup
20 Mot inconnu : exe => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  | exe
20 Guillemets typographiques fermants. => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  | " => suggestions : ['\xa0»', '”']
20 Espace(s) en fin de ligne à supprimer. => Il ne vous reste plus qu'a naviguer dans les fichiers (et, donc, de rejoindre votre lecteur CD, nommé //cdrom// ou //cdrom0//). Sélectionnez "setup.exe" et l'installateur se lance, normalement.\\  |   => suggestions : ['']

21 Mot inconnu : wine => Il est toute fois possible que celui-ci refuse de se lancer. Fermez wine et retentez l'opération du début, cette manipulation suffit souvent à corriger le problème. | wine

23 Guillemets typographiques ouvrants. => Sinon je vous conseille d'aller voir dans ''winecfg'' pour modifier un peu vos options (essayé en tâtonnant, je n'ai rien de précis à vous donner).\\ | '' => suggestions : ['«\xa0', '“']
23 Mot inconnu : winecfg => Sinon je vous conseille d'aller voir dans ''winecfg'' pour modifier un peu vos options (essayé en tâtonnant, je n'ai rien de précis à vous donner).\\ | winecfg
23 Guillemets typographiques fermants. => Sinon je vous conseille d'aller voir dans ''winecfg'' pour modifier un peu vos options (essayé en tâtonnant, je n'ai rien de précis à vous donner).\\ | '' => suggestions : ['\xa0»', '”']

24 Mot inconnu : FIXME => FIXME | fixme

27 Mot inconnu : FIXME => FIXME | fixme

29 Mot inconnu : Cedega => ===== Avec Cedega ===== | cedega

30 Mot inconnu : FIXME => FIXME | fixme
