2 Espace(s) en fin de ligne à supprimer. => ----  |   => suggestions : ['']

5 Mot inconnu : RetroARCH => ====== RetroARCH ====== | retroarch

6 Mot inconnu : RetroArch => RetroArch est un logiciel multi-émulation. Disponible sur une quantité impressionnante de machines et d’OS (Windows, OSX, Linux, Android, iOS, mais aussi PS3, PSP, Xbox 360 et 1, Gamecube, et bien d’autres encore). Il s’agit d’une interface unifiée qui peut charger différents « cœurs » d’émulation (les cores) pour exécuter les anciens jeux de quasiment toutes les plates-formes. | retroarch
6 Mot inconnu : OSX => RetroArch est un logiciel multi-émulation. Disponible sur une quantité impressionnante de machines et d’OS (Windows, OSX, Linux, Android, iOS, mais aussi PS3, PSP, Xbox 360 et 1, Gamecube, et bien d’autres encore). Il s’agit d’une interface unifiée qui peut charger différents « cœurs » d’émulation (les cores) pour exécuter les anciens jeux de quasiment toutes les plates-formes. | osx
6 Mot inconnu : iOS => RetroArch est un logiciel multi-émulation. Disponible sur une quantité impressionnante de machines et d’OS (Windows, OSX, Linux, Android, iOS, mais aussi PS3, PSP, Xbox 360 et 1, Gamecube, et bien d’autres encore). Il s’agit d’une interface unifiée qui peut charger différents « cœurs » d’émulation (les cores) pour exécuter les anciens jeux de quasiment toutes les plates-formes. | ios
6 Mot inconnu : PS3 => RetroArch est un logiciel multi-émulation. Disponible sur une quantité impressionnante de machines et d’OS (Windows, OSX, Linux, Android, iOS, mais aussi PS3, PSP, Xbox 360 et 1, Gamecube, et bien d’autres encore). Il s’agit d’une interface unifiée qui peut charger différents « cœurs » d’émulation (les cores) pour exécuter les anciens jeux de quasiment toutes les plates-formes. | ps3
6 Mot inconnu : PSP => RetroArch est un logiciel multi-émulation. Disponible sur une quantité impressionnante de machines et d’OS (Windows, OSX, Linux, Android, iOS, mais aussi PS3, PSP, Xbox 360 et 1, Gamecube, et bien d’autres encore). Il s’agit d’une interface unifiée qui peut charger différents « cœurs » d’émulation (les cores) pour exécuter les anciens jeux de quasiment toutes les plates-formes. | psp
6 Mot inconnu : Xbox => RetroArch est un logiciel multi-émulation. Disponible sur une quantité impressionnante de machines et d’OS (Windows, OSX, Linux, Android, iOS, mais aussi PS3, PSP, Xbox 360 et 1, Gamecube, et bien d’autres encore). Il s’agit d’une interface unifiée qui peut charger différents « cœurs » d’émulation (les cores) pour exécuter les anciens jeux de quasiment toutes les plates-formes. | xbox
6 Mot inconnu : cores => RetroArch est un logiciel multi-émulation. Disponible sur une quantité impressionnante de machines et d’OS (Windows, OSX, Linux, Android, iOS, mais aussi PS3, PSP, Xbox 360 et 1, Gamecube, et bien d’autres encore). Il s’agit d’une interface unifiée qui peut charger différents « cœurs » d’émulation (les cores) pour exécuter les anciens jeux de quasiment toutes les plates-formes. | cores

9 Mot inconnu : Retroarch => Retroarch est présent dans les dépôts officiels **[[apt>retroarch]]** depuis Xenial (18.04). Cependant, la version dans les dépôts est **très** ancienne et ne permet pas de bénéficier des dernières améliorations et fonctionnalités de Retroarch, dont le développement avance très vite. | retroarch
9 Mot inconnu : retroarch => Retroarch est présent dans les dépôts officiels **[[apt>retroarch]]** depuis Xenial (18.04). Cependant, la version dans les dépôts est **très** ancienne et ne permet pas de bénéficier des dernières améliorations et fonctionnalités de Retroarch, dont le développement avance très vite. | retroarch
9 Mot inconnu : Retroarch => Retroarch est présent dans les dépôts officiels **[[apt>retroarch]]** depuis Xenial (18.04). Cependant, la version dans les dépôts est **très** ancienne et ne permet pas de bénéficier des dernières améliorations et fonctionnalités de Retroarch, dont le développement avance très vite. | retroarch

11 Mot inconnu : Flatpak => Il est donc recommandé d'utiliser les méthodes ci-dessous (Flatpak, Snap, PPA ou la compilation). | flatpak

