
4 Mot inconnu : Cligraphcrm => ====== Cligraphcrm : Gestion commerciale de l'entreprise ====== | cligraphcrm

6 Mot inconnu : Cligraphcrm => Cligraphcrm est un logiciel open source de gestion de la relation client CRM. C'est un outil indispensable pour effectuer efficacement le suivi de son portefeuille client, le suivi d'affaires ainsi que toutes les actions liées à la gestion commerciale de l'entreprise. | cligraphcrm
6 Mot inconnu : CRM => Cligraphcrm est un logiciel open source de gestion de la relation client CRM. C'est un outil indispensable pour effectuer efficacement le suivi de son portefeuille client, le suivi d'affaires ainsi que toutes les actions liées à la gestion commerciale de l'entreprise. | crm

8 S’il s’agit d’un adjectif, ne mettez pas de majuscule. => Développé par une équipe Française, Cligraphcrm propose de nombreuses et puissantes fonctionnalités : | française => suggestions : ['française']
8 Mot inconnu : Cligraphcrm => Développé par une équipe Française, Cligraphcrm propose de nombreuses et puissantes fonctionnalités : | cligraphcrm

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Gestion comptes (prospects, clients, partenaires....) et contacts |     => suggestions : ['']
10 Typographie : points de suspension. Utilisez le caractère dédié. =>    * Gestion comptes (prospects, clients, partenaires....) et contacts | .... => suggestions : ['…']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * agenda graphique et plannings partagés |     => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * Edition devis/factures/avoirs, bons de commande |     => suggestions : ['']
12 Mot inconnu : Edition =>    * Edition devis/factures/avoirs, bons de commande | edition

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    * suivi d'affaires, événements avec rappels |     => suggestions : ['']

