
3 Mot inconnu : OpenCL => ====== OpenCL ====== | opencl

5 Mot inconnu : OpenCL => OpenCL (Open Computing Language) est une API  proposant de tirer parti de la puissance des GPU, en d'autres termes, OpenCL permet au programme d'utiliser la carte graphique pour faire des calculs, parallèlement ou séparément des calculs faits par le processeur. | opencl
5 Mot inconnu : Computing => OpenCL (Open Computing Language) est une API  proposant de tirer parti de la puissance des GPU, en d'autres termes, OpenCL permet au programme d'utiliser la carte graphique pour faire des calculs, parallèlement ou séparément des calculs faits par le processeur. | computing
5 Mot inconnu : Language => OpenCL (Open Computing Language) est une API  proposant de tirer parti de la puissance des GPU, en d'autres termes, OpenCL permet au programme d'utiliser la carte graphique pour faire des calculs, parallèlement ou séparément des calculs faits par le processeur. | language
5 Espace(s) surnuméraire(s) à supprimer. => OpenCL (Open Computing Language) est une API  proposant de tirer parti de la puissance des GPU, en d'autres termes, OpenCL permet au programme d'utiliser la carte graphique pour faire des calculs, parallèlement ou séparément des calculs faits par le processeur. |    => suggestions : [' ']
5 Mot inconnu : GPU => OpenCL (Open Computing Language) est une API  proposant de tirer parti de la puissance des GPU, en d'autres termes, OpenCL permet au programme d'utiliser la carte graphique pour faire des calculs, parallèlement ou séparément des calculs faits par le processeur. | gpu
5 Mot inconnu : OpenCL => OpenCL (Open Computing Language) est une API  proposant de tirer parti de la puissance des GPU, en d'autres termes, OpenCL permet au programme d'utiliser la carte graphique pour faire des calculs, parallèlement ou séparément des calculs faits par le processeur. | opencl

9 Mot inconnu : headers => Il faut installer les headers, qui servent à compiler un programme pour OpenCL, avec gcc/g++. | headers
9 Mot inconnu : OpenCL => Il faut installer les headers, qui servent à compiler un programme pour OpenCL, avec gcc/g++. | opencl
9 Mot inconnu : gcc => Il faut installer les headers, qui servent à compiler un programme pour OpenCL, avec gcc/g++. | gcc

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   apt-get install opencl-headers |    => suggestions : ['']
11 Mot inconnu : apt-get =>   apt-get install opencl-headers | apt-get
11 Mot inconnu : install =>   apt-get install opencl-headers | install
11 Mot inconnu : opencl-headers =>   apt-get install opencl-headers | opencl-headers

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ===== Installation - Ubuntu 14.04LTS ===== |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : LTS => ===== Installation - Ubuntu 14.04LTS ===== | lts
20 Mot inconnu : cannot => <note tip>Si vous avez l'erreur /usr/bin/ld: cannot find -lOpenCL, vous devez faire un lien sur la lib. | cannot
20 Mot inconnu : find => <note tip>Si vous avez l'erreur /usr/bin/ld: cannot find -lOpenCL, vous devez faire un lien sur la lib. | find
20 Il manque un espace à côté du tiret. => <note tip>Si vous avez l'erreur /usr/bin/ld: cannot find -lOpenCL, vous devez faire un lien sur la lib. |  - => suggestions : [' – ', ' — ']
