
22 Mot inconnu : KDE => ==== Sous KDE (Kubuntu) ==== | kde

24 Mot inconnu : Kde => Kde propose des services assez gourmands en ressources qui peuvent être facilement désactivés, voir ici: [[tutoriel:accelerer_kde|Optimiser KDE pour les ordinateurs portables]]. | kde
24 Il manque un espace. => Kde propose des services assez gourmands en ressources qui peuvent être facilement désactivés, voir ici: [[tutoriel:accelerer_kde|Optimiser KDE pour les ordinateurs portables]]. | accelerer_kde => suggestions : [' accelerer_kde']
24 Mot inconnu : accelerer_kde => Kde propose des services assez gourmands en ressources qui peuvent être facilement désactivés, voir ici: [[tutoriel:accelerer_kde|Optimiser KDE pour les ordinateurs portables]]. | accelerer_kde
24 Mot inconnu : KDE => Kde propose des services assez gourmands en ressources qui peuvent être facilement désactivés, voir ici: [[tutoriel:accelerer_kde|Optimiser KDE pour les ordinateurs portables]]. | kde

26 Mot inconnu : KDE => === Corriger certains bugs concernant l'indicateur de batterie (Testé sous KDE et Ubuntu 13.04) === | kde

37 Mot inconnu : reclipser => Assurez-vous ainsi de positionner l'ordinateur de telle façon que l'on puisse reclipser la batterie sans avoir à bouger excessivement l'ordinateur et en le maintenant toujours droit à l'aide d'une surface plane. | reclipser

44 Guillemets typographiques ouvrants. => Similaire à l'état de veille, l'hibernation (appelée aussi "Veille prolongée") économise encore plus d'énergie en éteignant complètement votre ordinateur, tout en conservant telle-quelle la session de l'utilisateur. \\  | " => suggestions : ['«\xa0', '“']
44 Guillemets typographiques fermants. => Similaire à l'état de veille, l'hibernation (appelée aussi "Veille prolongée") économise encore plus d'énergie en éteignant complètement votre ordinateur, tout en conservant telle-quelle la session de l'utilisateur. \\  | " => suggestions : ['\xa0»', '”']
44 Espace(s) en fin de ligne à supprimer. => Similaire à l'état de veille, l'hibernation (appelée aussi "Veille prolongée") économise encore plus d'énergie en éteignant complètement votre ordinateur, tout en conservant telle-quelle la session de l'utilisateur. \\  |   => suggestions : ['']

47 Espace(s) surnuméraire(s) à supprimer. => ====Supprimer la  boîte de dialogue de confirmation==== |    => suggestions : [' ']

48 Typographie : points de suspension. Utilisez le caractère dédié. => Par défaut Ubuntu propose une boite de dialogue de confirmation lorsque l'on choisit //Éteindre...// dans le menu. | ... => suggestions : ['…']
49 Mot inconnu : dconf-editor => Pour la supprimer, installer **[[apt>dconf-editor]]** puis lancer //dconf-editor//.\\ | dconf-editor
49 Mot inconnu : dconf-editor => Pour la supprimer, installer **[[apt>dconf-editor]]** puis lancer //dconf-editor//.\\ | dconf-editor

52 Accord de nombre erroné : « version » devrait être au pluriel. => Pour les version récentes d'ubuntu (18.04), il semble que d'autres paramètres de Dconf puissent gérer cela :\\ | version => suggestions : ['versions']
52 Mot inconnu : Dconf => Pour les version récentes d'ubuntu (18.04), il semble que d'autres paramètres de Dconf puissent gérer cela :\\ | dconf
53 Mot inconnu : dconf-editor => Une fois **[[apt>dconf-editor]]** installé, on lance "//dconf-editor//" :\\ | dconf-editor
53 Mot inconnu : dconf-editor => Une fois **[[apt>dconf-editor]]** installé, on lance "//dconf-editor//" :\\ | dconf-editor

57 Mot inconnu : power => ====Forcer l'extinction par appui du bouton power==== | power
116 Mot inconnu : FIXME => On peut ajouter l'applet au tableau de bord en effectuant un clic droit sur le tableau de bord, puis : FIXME pour Unity | fixme
116 Mot inconnu : Unity => On peut ajouter l'applet au tableau de bord en effectuant un clic droit sur le tableau de bord, puis : FIXME pour Unity | unity
135 Mot inconnu : undervolting => L'[[wp>undervolting]] fait l'inverse. Pour permettre de faire chauffer moins son processeur, gagner en discrétion et en autonomie il est possible de baisser la tension du processeur. \\ | undervolting

136 Mot inconnu : FIXME => FIXME Ajouter un outil capable de faire régler l'undevolting | fixme
136 Mot inconnu : undevolting => FIXME Ajouter un outil capable de faire régler l'undevolting | undevolting
141 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Utilisez la préposition “à”. => <note important>**En réduisant la vitesse du ventilateur, vous favorisez la surchauffe du micro-processeur, ce qui risque fortement de le détruire!! Vous utilisez ce logiciel a vos risques et périls!**</note> | a => suggestions : ['à']

148 Mot inconnu : Atheros => <note>Ne fonctionne pas avec toutes les cartes Wi-Fi. Pour les cartes Atheros (ainsi que toutes les autres en principe) il faut désactiver le module qui gère la carte (ath_pci pourra être remplacé par un autre module):  | atheros
148 Mot inconnu : ath_pci => <note>Ne fonctionne pas avec toutes les cartes Wi-Fi. Pour les cartes Atheros (ainsi que toutes les autres en principe) il faut désactiver le module qui gère la carte (ath_pci pourra être remplacé par un autre module):  | ath_pci
148 Espace(s) en fin de ligne à supprimer. => <note>Ne fonctionne pas avec toutes les cartes Wi-Fi. Pour les cartes Atheros (ainsi que toutes les autres en principe) il faut désactiver le module qui gère la carte (ath_pci pourra être remplacé par un autre module):  |   => suggestions : ['']

155 Mot inconnu : iwconfig => Vérifiez à l'aide de la commande iwconfig eth1 (ou wlan0) => 'Power management' doit être à 'on'. | iwconfig
155 Mot inconnu : eth1 => Vérifiez à l'aide de la commande iwconfig eth1 (ou wlan0) => 'Power management' doit être à 'on'. | eth1
155 Mot inconnu : wlan0 => Vérifiez à l'aide de la commande iwconfig eth1 (ou wlan0) => 'Power management' doit être à 'on'. | wlan0
155 Guillemets typographiques ouvrants. => Vérifiez à l'aide de la commande iwconfig eth1 (ou wlan0) => 'Power management' doit être à 'on'. | ' => suggestions : ['“', '‘', '‹']
155 Mot inconnu : Power => Vérifiez à l'aide de la commande iwconfig eth1 (ou wlan0) => 'Power management' doit être à 'on'. | power
155 Guillemets typographiques fermants. => Vérifiez à l'aide de la commande iwconfig eth1 (ou wlan0) => 'Power management' doit être à 'on'. | ' => suggestions : ['”', '’', '›']
155 Guillemets typographiques ouvrants. => Vérifiez à l'aide de la commande iwconfig eth1 (ou wlan0) => 'Power management' doit être à 'on'. | ' => suggestions : ['“', '‘', '‹']

158 Espace(s) surnuméraire(s) à supprimer. => (ou  "sudo iwconfig wlan0 power on") |    => suggestions : [' ']
158 Guillemets typographiques ouvrants. => (ou  "sudo iwconfig wlan0 power on") | " => suggestions : ['«\xa0', '“']
158 Mot inconnu : sudo => (ou  "sudo iwconfig wlan0 power on") | sudo
158 Mot inconnu : iwconfig => (ou  "sudo iwconfig wlan0 power on") | iwconfig
158 Mot inconnu : wlan0 => (ou  "sudo iwconfig wlan0 power on") | wlan0
158 Mot inconnu : power => (ou  "sudo iwconfig wlan0 power on") | power
158 Guillemets typographiques fermants. => (ou  "sudo iwconfig wlan0 power on") | " => suggestions : ['\xa0»', '”']

163 Il manque un espace. => Pour que Firefox place son cache dans le répertoire /tmp (mémoire vive). Taper about:config dans Firefox et créer une nouvelle chaîne de caractères que vous nommerez browser.cache.disk.parent_directory et entrez dans la case /tmp.  | config => suggestions : [' config']
