
3 Mot inconnu : Kontact => ====== Synchroniser Kontact avec un Palm Pilot sous Kubuntu ====== | kontact
3 Mot inconnu : Palm => ====== Synchroniser Kontact avec un Palm Pilot sous Kubuntu ====== | palm

5 Mot inconnu : KDE_4 => KDE_4 PalmOS_5.4.9 | kde_4
5 Mot inconnu : PalmOS_5 => KDE_4 PalmOS_5.4.9 | palmos_5

9 Mot inconnu : Kontact => Ce tutoriel a pour but de détailler toute la procédure pour la synchronisation de l'agenda électronique Kontact et d'un PDA Palm Z22 sous Kubuntu. | kontact
9 Mot inconnu : PDA => Ce tutoriel a pour but de détailler toute la procédure pour la synchronisation de l'agenda électronique Kontact et d'un PDA Palm Z22 sous Kubuntu. | pda
9 Mot inconnu : Palm => Ce tutoriel a pour but de détailler toute la procédure pour la synchronisation de l'agenda électronique Kontact et d'un PDA Palm Z22 sous Kubuntu. | palm
9 Mot inconnu : Z22 => Ce tutoriel a pour but de détailler toute la procédure pour la synchronisation de l'agenda électronique Kontact et d'un PDA Palm Z22 sous Kubuntu. | z22
11 Mot inconnu : KDE => Cette solution est testée et fonctionnelle en août 2009 pour Kubuntu 9.04, KDE 4.2.2, Kontact 1.4.2, PalmOS 5.4.9 avec un Palm Z22 ! | kde
11 Mot inconnu : Kontact => Cette solution est testée et fonctionnelle en août 2009 pour Kubuntu 9.04, KDE 4.2.2, Kontact 1.4.2, PalmOS 5.4.9 avec un Palm Z22 ! | kontact
11 Mot inconnu : PalmOS => Cette solution est testée et fonctionnelle en août 2009 pour Kubuntu 9.04, KDE 4.2.2, Kontact 1.4.2, PalmOS 5.4.9 avec un Palm Z22 ! | palmos
11 Mot inconnu : Palm => Cette solution est testée et fonctionnelle en août 2009 pour Kubuntu 9.04, KDE 4.2.2, Kontact 1.4.2, PalmOS 5.4.9 avec un Palm Z22 ! | palm
11 Mot inconnu : Z22 => Cette solution est testée et fonctionnelle en août 2009 pour Kubuntu 9.04, KDE 4.2.2, Kontact 1.4.2, PalmOS 5.4.9 avec un Palm Z22 ! | z22

14 Mot inconnu : Kubunt => Cette procédure n'est pas pour Kubunt 8.04 ou antérieure, mais pour tout système qui utilise un environnement KDE version 4 et plus ! | kubunt
14 Mot inconnu : KDE => Cette procédure n'est pas pour Kubunt 8.04 ou antérieure, mais pour tout système qui utilise un environnement KDE version 4 et plus ! | kde

17 Mot inconnu : Kontact => Après avoir lu tous les fils de discussion francophone sur le sujet (12 août 2009), j'avais la tête en surchauffe et comme un petit groupe d'irréductible utilisateur de Kontact et Palm Pilot finit par trouver une solution qui fonctionna pour moi, je souhaiterais vous éviter la galère avec ce tutoriel. | kontact
17 Mot inconnu : Palm => Après avoir lu tous les fils de discussion francophone sur le sujet (12 août 2009), j'avais la tête en surchauffe et comme un petit groupe d'irréductible utilisateur de Kontact et Palm Pilot finit par trouver une solution qui fonctionna pour moi, je souhaiterais vous éviter la galère avec ce tutoriel. | palm

19 Mot inconnu : Kontact => En présument que l'installation ce fait pour un Kontact rempli de donnes Contacts et Calandrier avec un Palm neuf ou remis à zéro, vous procèderez à l'installation et à la configuration de tout ce qu'il faut pour la synchronisation entre Kontact le Palm, incluant la sauvegarde des fichiers de Kontact, en cas des problèmes de synchronisation et de perte de données surviendraient. | kontact
19 Mot inconnu : Calandrier => En présument que l'installation ce fait pour un Kontact rempli de donnes Contacts et Calandrier avec un Palm neuf ou remis à zéro, vous procèderez à l'installation et à la configuration de tout ce qu'il faut pour la synchronisation entre Kontact le Palm, incluant la sauvegarde des fichiers de Kontact, en cas des problèmes de synchronisation et de perte de données surviendraient. | calandrier
19 Mot inconnu : Palm => En présument que l'installation ce fait pour un Kontact rempli de donnes Contacts et Calandrier avec un Palm neuf ou remis à zéro, vous procèderez à l'installation et à la configuration de tout ce qu'il faut pour la synchronisation entre Kontact le Palm, incluant la sauvegarde des fichiers de Kontact, en cas des problèmes de synchronisation et de perte de données surviendraient. | palm
19 Mot inconnu : Kontact => En présument que l'installation ce fait pour un Kontact rempli de donnes Contacts et Calandrier avec un Palm neuf ou remis à zéro, vous procèderez à l'installation et à la configuration de tout ce qu'il faut pour la synchronisation entre Kontact le Palm, incluant la sauvegarde des fichiers de Kontact, en cas des problèmes de synchronisation et de perte de données surviendraient. | kontact
19 Mot inconnu : Palm => En présument que l'installation ce fait pour un Kontact rempli de donnes Contacts et Calandrier avec un Palm neuf ou remis à zéro, vous procèderez à l'installation et à la configuration de tout ce qu'il faut pour la synchronisation entre Kontact le Palm, incluant la sauvegarde des fichiers de Kontact, en cas des problèmes de synchronisation et de perte de données surviendraient. | palm
19 Mot inconnu : Kontact => En présument que l'installation ce fait pour un Kontact rempli de donnes Contacts et Calandrier avec un Palm neuf ou remis à zéro, vous procèderez à l'installation et à la configuration de tout ce qu'il faut pour la synchronisation entre Kontact le Palm, incluant la sauvegarde des fichiers de Kontact, en cas des problèmes de synchronisation et de perte de données surviendraient. | kontact

21 Mot inconnu : Palm => ===== Réinitialisation du Palm ===== | palm

23 Mot inconnu : Palm => Comme nous partons du principe que votre Palm est neuf, si vous avez déjà des données dans votre Palm, il faut le réinitialiser, car ces données pourraient empêcher la synchronisation. | palm
23 Mot inconnu : Palm => Comme nous partons du principe que votre Palm est neuf, si vous avez déjà des données dans votre Palm, il faut le réinitialiser, car ces données pourraient empêcher la synchronisation. | palm

25 Mot inconnu : Palm => De préférence vous devriez utiliser la procédure de réinitialisation fournie avec votre Palm, plutôt que celle-ci ! | palm

29 Mot inconnu : Palm => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | palm
29 Guillemets typographiques ouvrants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['«\xa0', '“']
29 Mot inconnu : reset => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | reset
29 Guillemets typographiques fermants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['\xa0»', '”']
29 Mot inconnu : Palm => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | palm
29 Guillemets typographiques ouvrants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['\xa0»', '”']
29 Mot inconnu : Palm => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | palm
29 Guillemets typographiques ouvrants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['«\xa0', '“']
29 Mot inconnu : reset => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | reset
29 Guillemets typographiques fermants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['\xa0»', '”']
29 Guillemets typographiques ouvrants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. => Avec le stylet du Palm, appuyer sur le bouton "reset" au dos du Palm et simultanément sur le bouton de "marche/arrêt" du devant du Palm, puis relâchez dans l’ordre le bouton "reset" avec le stylet et après 6 secondes le bouton "marche/arrêt". | " => suggestions : ['\xa0»', '”']

31 Mot inconnu : Palm => L'écran de démarrage du Palm apparaît, puis un écran demande la confirmation de la procédure de réinitialisation que vous confirmez selon les instructions du Palm. | palm
