
3 Mot inconnu : Builder => ====== GNOME Builder ====== | builder

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Mot inconnu : Flatpak => ==== Par Flatpak ==== | flatpak

22 Mot inconnu : Builder => L'installation de **GNOME Builder** par Flatpak est recommandée((recommandée par gnome.org dans le cadre des contributions au code des logiciels GNOME)), afin que vous disposiez de la dernière version à jour quelle que soit votre version d'Ubuntu. | builder
22 Mot inconnu : Flatpak => L'installation de **GNOME Builder** par Flatpak est recommandée((recommandée par gnome.org dans le cadre des contributions au code des logiciels GNOME)), afin que vous disposiez de la dernière version à jour quelle que soit votre version d'Ubuntu. | flatpak
22 Il manque un espace avant la parenthèse. => L'installation de **GNOME Builder** par Flatpak est recommandée((recommandée par gnome.org dans le cadre des contributions au code des logiciels GNOME)), afin que vous disposiez de la dernière version à jour quelle que soit votre version d'Ubuntu. | ( => suggestions : [' (']

28 Mot inconnu : Builder => <note important>Étant donné son rôle central, GNOME Builder est très activement développé, et ses fonctionnalités s'enrichissent régulièrement. L'interface du logiciel subit aussi des changements notables. | builder

30 Mot inconnu : Builder => La présentation ci-dessous est valable uniquement pour **GNOME Builder 3.26.2** (décembre 2017).</note> | builder

36 Mot inconnu : Builder => À l'ouverture de Builder, une liste de vos projets vous accueille (si vous êtes en train de lire ceci, elle est sans doute encore vide). | builder

38 Mot inconnu : Builder => Une fenêtre //Builder// ne peut ouvrir qu'un seul projet à la fois : pour en ouvrir un 2ème en parallèle, il faudra utiliser le menu de l'application (//présent dans la barre supérieure de GNOME Shell, ou bien sous la forme de l'icône de Builder dans la barre d'en-tête de la fenêtre de Builder//), et choisissez "Ouvrir un projet". Une nouvelle fenêtre //Builder// sera ouverte, avec la liste des projets. | builder
38 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Une fenêtre //Builder// ne peut ouvrir qu'un seul projet à la fois : pour en ouvrir un 2ème en parallèle, il faudra utiliser le menu de l'application (//présent dans la barre supérieure de GNOME Shell, ou bien sous la forme de l'icône de Builder dans la barre d'en-tête de la fenêtre de Builder//), et choisissez "Ouvrir un projet". Une nouvelle fenêtre //Builder// sera ouverte, avec la liste des projets. | 2ème => suggestions : ['2ᵉ']
38 Mot inconnu : Builder => Une fenêtre //Builder// ne peut ouvrir qu'un seul projet à la fois : pour en ouvrir un 2ème en parallèle, il faudra utiliser le menu de l'application (//présent dans la barre supérieure de GNOME Shell, ou bien sous la forme de l'icône de Builder dans la barre d'en-tête de la fenêtre de Builder//), et choisissez "Ouvrir un projet". Une nouvelle fenêtre //Builder// sera ouverte, avec la liste des projets. | builder
38 Mot inconnu : Builder => Une fenêtre //Builder// ne peut ouvrir qu'un seul projet à la fois : pour en ouvrir un 2ème en parallèle, il faudra utiliser le menu de l'application (//présent dans la barre supérieure de GNOME Shell, ou bien sous la forme de l'icône de Builder dans la barre d'en-tête de la fenêtre de Builder//), et choisissez "Ouvrir un projet". Une nouvelle fenêtre //Builder// sera ouverte, avec la liste des projets. | builder
38 Guillemets typographiques ouvrants. => Une fenêtre //Builder// ne peut ouvrir qu'un seul projet à la fois : pour en ouvrir un 2ème en parallèle, il faudra utiliser le menu de l'application (//présent dans la barre supérieure de GNOME Shell, ou bien sous la forme de l'icône de Builder dans la barre d'en-tête de la fenêtre de Builder//), et choisissez "Ouvrir un projet". Une nouvelle fenêtre //Builder// sera ouverte, avec la liste des projets. | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. => Une fenêtre //Builder// ne peut ouvrir qu'un seul projet à la fois : pour en ouvrir un 2ème en parallèle, il faudra utiliser le menu de l'application (//présent dans la barre supérieure de GNOME Shell, ou bien sous la forme de l'icône de Builder dans la barre d'en-tête de la fenêtre de Builder//), et choisissez "Ouvrir un projet". Une nouvelle fenêtre //Builder// sera ouverte, avec la liste des projets. | " => suggestions : ['\xa0»', '”']
38 Mot inconnu : Builder => Une fenêtre //Builder// ne peut ouvrir qu'un seul projet à la fois : pour en ouvrir un 2ème en parallèle, il faudra utiliser le menu de l'application (//présent dans la barre supérieure de GNOME Shell, ou bien sous la forme de l'icône de Builder dans la barre d'en-tête de la fenêtre de Builder//), et choisissez "Ouvrir un projet". Une nouvelle fenêtre //Builder// sera ouverte, avec la liste des projets. | builder

40 Guillemets typographiques ouvrants. => Le bouton "✅" vous permettra de passer en mode "sélection", vous pourrez alors cocher dans la liste les projets que vous souhaitez retirer de cette liste. | " => suggestions : ['«\xa0', '“']
40 Guillemets typographiques fermants. => Le bouton "✅" vous permettra de passer en mode "sélection", vous pourrez alors cocher dans la liste les projets que vous souhaitez retirer de cette liste. | " => suggestions : ['\xa0»', '”']

46 Guillemets typographiques ouvrants. => Le bouton "**Nouveau**" permet de créer un projet "vide". | " => suggestions : ['«\xa0', '“']
