
5 Mot inconnu : Pyvnc2swf => ====== Pyvnc2swf ====== | pyvnc2swf

6 Mot inconnu : Pyvnc2swf => Pyvnc2swf va vous permettre d'enregistrer une session VNC et de générer un fichier flash ainsi que le fichier HTML correspondant que vous pourrez diffuser sur internet. | pyvnc2swf
6 Mot inconnu : VNC => Pyvnc2swf va vous permettre d'enregistrer une session VNC et de générer un fichier flash ainsi que le fichier HTML correspondant que vous pourrez diffuser sur internet. | vnc

9 Mot inconnu : Pyvnc2swf => Pyvnc2swf dispose des trois outils suivants: | pyvnc2swf

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * vnc2swf: pour enregistrer votre session |    => suggestions : ['']
10 Mot inconnu : vnc2swf =>   * vnc2swf: pour enregistrer votre session | vnc2swf

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * vnc2swf-edit: pour modifier votre animation |    => suggestions : ['']
11 Mot inconnu : vnc2swf-edit =>   * vnc2swf-edit: pour modifier votre animation | vnc2swf-edit

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * play.py: pour visualiser |    => suggestions : ['']
12 Mot inconnu : play =>   * play.py: pour visualiser | play
12 Mot inconnu : py =>   * play.py: pour visualiser | py

14 Mot inconnu : Pyvnc2swf => Pyvnc2swf dispose d'une interface graphique pour l'enregistrement. Par contre l'édition se fera en ligne de commande. | pyvnc2swf

16 Mot inconnu : Pyvnc2swf => Pyvnc2swf est distribué sous licence GNU/GPL. | pyvnc2swf

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir un serveur VNC installé. Ce qui est le cas par défaut sous Ubuntu. |    => suggestions : ['']
21 Mot inconnu : VNC =>   * Avoir un serveur VNC installé. Ce qui est le cas par défaut sous Ubuntu. | vnc

