
5 Mot inconnu : Mkusb [[7:12]] => ====== Mkusb interface graphique pour dd ====== <|> mkusb
5 Mot inconnu : dd [[38:40]] => ====== Mkusb interface graphique pour dd ====== <|> dd

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

8 Mot inconnu : eSATA [[108:113]] => La création de médias de démarrage n'est pas limité à l'USB, mais s'étend aux disques internes, aux disques eSATA, etc. <|> esata
12 Espace(s) surnuméraire(s) à supprimer. [[46:48]] => Dupliquer le fichier de boot: C'est une action  rapide. <|>    => suggestions : None
16 Espace(s) surnuméraire(s) à supprimer. [[130:132]] => Créer une clé persistante: C'est une action plus longue permettant à l'utilisateur de disposer d'une partition NTFS pour y stocker  des données personnelles  et de conserver les logiciels  qui seront ultérieurement ajoutés. <|>    => suggestions : None
16 Espace(s) surnuméraire(s) à supprimer. [[156:158]] => Créer une clé persistante: C'est une action plus longue permettant à l'utilisateur de disposer d'une partition NTFS pour y stocker  des données personnelles  et de conserver les logiciels  qui seront ultérieurement ajoutés. <|>    => suggestions : None
16 Espace(s) surnuméraire(s) à supprimer. [[187:189]] => Créer une clé persistante: C'est une action plus longue permettant à l'utilisateur de disposer d'une partition NTFS pour y stocker  des données personnelles  et de conserver les logiciels  qui seront ultérieurement ajoutés. <|>    => suggestions : None

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None
33 Mot inconnu : Séléctionnez [[4:16]] =>   * Séléctionnez //Select source -iso, img...// pour choisir l'image ISO à installer sur la clé, <|> séléctionnez
33 Il manque un espace à côté du tiret. [[32:34]] =>   * Séléctionnez //Select source -iso, img...// pour choisir l'image ISO à installer sur la clé, <|>  - => suggestions : None
33 Mot inconnu : iso [[34:37]] =>   * Séléctionnez //Select source -iso, img...// pour choisir l'image ISO à installer sur la clé, <|> iso
33 Mot inconnu : img [[39:42]] =>   * Séléctionnez //Select source -iso, img...// pour choisir l'image ISO à installer sur la clé, <|> img
33 Typographie : points de suspension. Utilisez le caractère dédié. [[42:45]] =>   * Séléctionnez //Select source -iso, img...// pour choisir l'image ISO à installer sur la clé, <|> ... => suggestions : None
