
10 Mot inconnu : lspci [[5:10]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lspci
10 Mot inconnu : lsusb [[62:67]] => //(**lspci** recherche les cartes reliées à un port PCI, et **lsusb** celles reliées à un port usb)// <|> lsusb

13 Accord de nombre erroné : « compatibles » devrait être au singulier. [[17:28]] => ===== Cartes son compatibles ===== <|> compatibles => suggestions : ['compatible']

15 Guillemets typographiques ouvrants. [[58:59]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['«\xa0', '“']
15 Mot inconnu : of [[63:65]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> of
15 Mot inconnu : the [[66:69]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> the
15 Guillemets typographiques fermants. [[73:74]] => <note help>Les cartes son de cette section fonctionnent **"out of the box"**.</note> <|> " => suggestions : ['\xa0»', '”']

18 Mot inconnu : ALi [[2:5]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> ali
18 Mot inconnu : M5451 [[33:38]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> m5451
18 Mot inconnu : ali5451 [[51:58]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> ali5451
18 Guillemets typographiques ouvrants. [[124:125]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> " => suggestions : ['«\xa0', '“']
18 Mot inconnu : Sense [[130:135]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> sense
18 Guillemets typographiques fermants. [[135:136]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> " => suggestions : ['\xa0»', '”']
18 Mot inconnu : External [[140:148]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> external
18 Mot inconnu : alsamixer [[164:173]] => | ALi                          | M5451           | ali5451                   | Oui                | Oui    | Muter tous les "Jack Sense" et External Amplifier dans alsamixer | <|> alsamixer

20 Mot inconnu : Creative [[2:10]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> creative
20 Mot inconnu : Labs [[11:15]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> labs
20 Mot inconnu : Sound [[18:23]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> sound
20 Mot inconnu : emu10k1 [[48:55]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> emu10k1
20 Mot inconnu : icone [[110:115]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> icone
20 Mot inconnu : controleur [[154:164]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> controleur
20 Mot inconnu : Edition [[178:185]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> edition
20 Guillemets typographiques ouvrants. [[211:212]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> " => suggestions : ['«\xa0', '“']
20 Mot inconnu : Audigy [[212:218]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> audigy
20 Mot inconnu : Analog [[219:225]] => | Creative Labs | Sound Blaster Live! 1024/5.1| emu10k1 | Oui | Oui |Pour avoir le son 5.1 : Clic droit sur l'icone du son, en haut a droite -> Ouvrir le controleur de volume -> Edition -> Préférences -> Cocher "Audigy Analog/Digital Output Jack"-> Clic sur "Fermer" -> Onglet "Paramètres" -> Decocher "Audigy Analog/Digital Output Jack" | <|> analog
