
5 Mot inconnu : Midnight [[7:15]] => ====== Midnight Commander (mc) ====== <|> midnight
5 Mot inconnu : mc [[27:29]] => ====== Midnight Commander (mc) ====== <|> mc

29 Guillemets typographiques ouvrants. [[72:73]] => mais dans les propriétés du lanceur, dans **Type**, il faudra choisir **"Application dans un terminal"** au lieu de "Application". <|> " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. [[101:102]] => mais dans les propriétés du lanceur, dans **Type**, il faudra choisir **"Application dans un terminal"** au lieu de "Application". <|> " => suggestions : ['\xa0»', '”']
29 Guillemets typographiques ouvrants. [[116:117]] => mais dans les propriétés du lanceur, dans **Type**, il faudra choisir **"Application dans un terminal"** au lieu de "Application". <|> " => suggestions : ['«\xa0', '“']
29 Guillemets typographiques fermants. [[128:129]] => mais dans les propriétés du lanceur, dans **Type**, il faudra choisir **"Application dans un terminal"** au lieu de "Application". <|> " => suggestions : ['\xa0»', '”']

41 Mot inconnu : mc [[5:7]] => Sous mc, le raccourci **Ctrl+o** vous permet de masquer temporairement les panneaux et de taper vos commandes dans une fenêtre de terminal "grande taille". <|> mc
41 Guillemets typographiques ouvrants. [[139:140]] => Sous mc, le raccourci **Ctrl+o** vous permet de masquer temporairement les panneaux et de taper vos commandes dans une fenêtre de terminal "grande taille". <|> " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. [[153:154]] => Sous mc, le raccourci **Ctrl+o** vous permet de masquer temporairement les panneaux et de taper vos commandes dans une fenêtre de terminal "grande taille". <|> " => suggestions : ['\xa0»', '”']

46 Mot inconnu : mc [[12:14]] => === Quitter mc en conservant le répertoire courant === <|> mc

91 Mot inconnu : mc [[75:77]] => Une fois cet alias défini, vous pourrez naviguer dans vos répertoires avec mc et deux options s'offriront à vous pour la sortie : <|> mc
