
5 Mot inconnu : Conky => ====== Conky : Scripts Divers ====== | conky

8 Mot inconnu : conky => Compléments à la documentation [[/conky|Conky]]\\ | conky

9 Il manque un trait d’union. => Les codes donnés ci dessous sont à placer __après__ la section **TEXT** de votre //conkyrc//\\ | ci dessous => suggestions : ['ci-dessous']
9 Mot inconnu : __après__ => Les codes donnés ci dessous sont à placer __après__ la section **TEXT** de votre //conkyrc//\\ | __après__
9 Mot inconnu : TEXT => Les codes donnés ci dessous sont à placer __après__ la section **TEXT** de votre //conkyrc//\\ | text
9 Mot inconnu : conkyrc => Les codes donnés ci dessous sont à placer __après__ la section **TEXT** de votre //conkyrc//\\ | conkyrc

13 Élision de l’article devant un mot commençant par une voyelle. => ===== Progression des téléchargements de aMule ===== | de  => suggestions : ['d’']
13 Mot inconnu : aMule => ===== Progression des téléchargements de aMule ===== | amule

14 Mot inconnu : Conky => Si vous désirez voir sur votre Conky, les progressions des téléchargements de aMule, voici la marche à suivre. | conky
14 Élision de l’article devant un mot commençant par une voyelle. => Si vous désirez voir sur votre Conky, les progressions des téléchargements de aMule, voici la marche à suivre. | de  => suggestions : ['d’']
14 Mot inconnu : aMule => Si vous désirez voir sur votre Conky, les progressions des téléchargements de aMule, voici la marche à suivre. | amule

21 Mot inconnu : aMule => === Contrôler aMule à distance === | amule

22 Mot inconnu : amule => Depuis amule, allez dans les Préférences → Contrôle à distance → Paramètre externes | amule

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cochez "Accepter les connexions externes" |    => suggestions : ['']
23 Guillemets typographiques ouvrants. =>   * Cochez "Accepter les connexions externes" | " => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   * Cochez "Accepter les connexions externes" | " => suggestions : ['\xa0»', '”']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Entrez un mot de passe |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Choisissez un port TCP |    => suggestions : ['']
25 Mot inconnu : TCP =>   * Choisissez un port TCP | tcp

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Redémarrez aMule |    => suggestions : ['']
26 Mot inconnu : aMule =>   * Redémarrez aMule | amule

27 Mot inconnu : amulecmd => === Configurer amulecmd === | amulecmd

30 Mot inconnu : hostname => hostname = 127.0.0.1 si le amule est sur votre pc. (si non il faut entrer l'ip du pc sur lequel amuled est exécuté) | hostname
30 Élision de l’article devant un mot commençant par une voyelle. => hostname = 127.0.0.1 si le amule est sur votre pc. (si non il faut entrer l'ip du pc sur lequel amuled est exécuté) | le  => suggestions : ['l’']
30 Mot inconnu : amule => hostname = 127.0.0.1 si le amule est sur votre pc. (si non il faut entrer l'ip du pc sur lequel amuled est exécuté) | amule
30 Mot inconnu : ip => hostname = 127.0.0.1 si le amule est sur votre pc. (si non il faut entrer l'ip du pc sur lequel amuled est exécuté) | ip
30 Mot inconnu : amuled => hostname = 127.0.0.1 si le amule est sur votre pc. (si non il faut entrer l'ip du pc sur lequel amuled est exécuté) | amuled

32 Mot inconnu : ECport => ECport = port que vous avez entre à l'étape ci-dessus | ecport

34 Mot inconnu : ECpassword => ECpassword = port que vous avez entré à l'étape ci-dessus | ecpassword

35 Mot inconnu : aMuled => === aMuled (pour ceux qui ont choisi d'installer les paquets facultatifs) === | amuled

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Redémarrer l'ordinateur. |    => suggestions : ['']
37 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Redémarrer l'ordinateur. |  -  => suggestions : [' – ', ' — ', ' − ']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Pour accéder à l'interface graphique de aMule, lancer : Application → Internet → aMuleGUI |    => suggestions : ['']
38 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Pour accéder à l'interface graphique de aMule, lancer : Application → Internet → aMuleGUI |  -  => suggestions : [' – ', ' — ', ' − ']
38 Élision de l’article devant un mot commençant par une voyelle. =>   - Pour accéder à l'interface graphique de aMule, lancer : Application → Internet → aMuleGUI | de  => suggestions : ['d’']
38 Mot inconnu : aMule =>   - Pour accéder à l'interface graphique de aMule, lancer : Application → Internet → aMuleGUI | amule
38 Mot inconnu : aMuleGUI =>   - Pour accéder à l'interface graphique de aMule, lancer : Application → Internet → aMuleGUI | amulegui

39 Mot inconnu : conky => === Script conky === | conky

41 Mot inconnu : amulecmd => [code]amulecmd -c "show dl"[/code] | amulecmd
41 Il manque un espace à côté du tiret. => [code]amulecmd -c "show dl"[/code] |  - => suggestions : [' – ', ' — ']
41 Guillemets typographiques ouvrants. => [code]amulecmd -c "show dl"[/code] | " => suggestions : ['«\xa0', '“']
41 Guillemets typographiques fermants. => [code]amulecmd -c "show dl"[/code] | " => suggestions : ['\xa0»', '”']

42 Mot inconnu : amule => Un résultat devrait s'afficher, si ce n'est pas le cas, c'est soit que vous avez oublié de lancer amule (ou pas redémarré votre ordinateur pour les personnes qui on choisi d'installer aMuled) soit qu'il y a un point que vous avez mal effectué... | amule
42 Confusion probable. Exemples : « on y va », « ils ont faim ». => Un résultat devrait s'afficher, si ce n'est pas le cas, c'est soit que vous avez oublié de lancer amule (ou pas redémarré votre ordinateur pour les personnes qui on choisi d'installer aMuled) soit qu'il y a un point que vous avez mal effectué... | on => suggestions : ['ont']
42 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. => Un résultat devrait s'afficher, si ce n'est pas le cas, c'est soit que vous avez oublié de lancer amule (ou pas redémarré votre ordinateur pour les personnes qui on choisi d'installer aMuled) soit qu'il y a un point que vous avez mal effectué... | choisi => suggestions : ['choisissait', 'choisit']
42 Mot inconnu : aMuled => Un résultat devrait s'afficher, si ce n'est pas le cas, c'est soit que vous avez oublié de lancer amule (ou pas redémarré votre ordinateur pour les personnes qui on choisi d'installer aMuled) soit qu'il y a un point que vous avez mal effectué... | amuled
42 Typographie : points de suspension. Utilisez le caractère dédié. => Un résultat devrait s'afficher, si ce n'est pas le cas, c'est soit que vous avez oublié de lancer amule (ou pas redémarré votre ordinateur pour les personnes qui on choisi d'installer aMuled) soit qu'il y a un point que vous avez mal effectué... | ... => suggestions : ['…']

45 Mot inconnu : conky => ~/conky/filtre.awk : | conky
45 Mot inconnu : awk => ~/conky/filtre.awk : | awk

73 Mot inconnu : conky => ~/conky/amulecmd_perso.sh : | conky
73 Mot inconnu : amulecmd_perso => ~/conky/amulecmd_perso.sh : | amulecmd_perso
73 Mot inconnu : sh => ~/conky/amulecmd_perso.sh : | sh

81 Mot inconnu : conky => Dans conky (si vous n'utiliser pas amuled, remplacer le {if_running amuled} par {if_running amule}) : | conky
81 Mot inconnu : amuled => Dans conky (si vous n'utiliser pas amuled, remplacer le {if_running amuled} par {if_running amule}) : | amuled
81 Mot inconnu : if_running => Dans conky (si vous n'utiliser pas amuled, remplacer le {if_running amuled} par {if_running amule}) : | if_running
81 Mot inconnu : amuled => Dans conky (si vous n'utiliser pas amuled, remplacer le {if_running amuled} par {if_running amule}) : | amuled
81 Mot inconnu : if_running => Dans conky (si vous n'utiliser pas amuled, remplacer le {if_running amuled} par {if_running amule}) : | if_running
81 Mot inconnu : amule => Dans conky (si vous n'utiliser pas amuled, remplacer le {if_running amuled} par {if_running amule}) : | amule

107 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => ===== Programme de sortie des séries TV (Mise a jour automatique) ===== | a => suggestions : ['à']

108 Mot inconnu : Conky => Si vous désirez voir sur votre Conky, un guide des programmes de sortie des séries TV, voici la marche à suivre. | conky

113 Mot inconnu : awk => === Script awk === | awk

128 Mot inconnu : conky => === Script conky === | conky

144 Forme interrogative ? Mettez un trait d’union. => <note>Le site affiche l'heure anglaise pour palier a ce problème créez vous un compte sur [[https://www.pogdesign.co.uk/cat/]] et dans les préférence choisir le bon fuseau horaire (ça prend 5 min)</note> | créez vous => suggestions : ['créez-vous']
144 Accord de nombre erroné : « préférence » devrait être au pluriel. => <note>Le site affiche l'heure anglaise pour palier a ce problème créez vous un compte sur [[https://www.pogdesign.co.uk/cat/]] et dans les préférence choisir le bon fuseau horaire (ça prend 5 min)</note> | préférence => suggestions : ['préférences']
144 Avec une unité de mesure, mettez un espace insécable. => <note>Le site affiche l'heure anglaise pour palier a ce problème créez vous un compte sur [[https://www.pogdesign.co.uk/cat/]] et dans les préférence choisir le bon fuseau horaire (ça prend 5 min)</note> | 5 min => suggestions : ['5\xa0min']

146 Mot inconnu : Dropbox => ===== Pourcentage d'utilisation de Dropbox ===== | dropbox

148 Mot inconnu : dropbox => Ce script affiche le pourcentage d'utilisation du dossier dropbox, vous pouvez aussi l'utiliser pour Ubuntuone mais dans ce cas il vous faudra l'adapter. | dropbox
148 Mot inconnu : Ubuntuone => Ce script affiche le pourcentage d'utilisation du dossier dropbox, vous pouvez aussi l'utiliser pour Ubuntuone mais dans ce cas il vous faudra l'adapter. | ubuntuone

150 Mot inconnu : conky => === Script conky === | conky

