
5 Mot inconnu : ZSH => ====== ZSH ====== | zsh

7 Mot inconnu : Zsh => **Zsh** est un interpréteur de commandes ([[shell]]), tout comme [[bash]]. | zsh
7 Mot inconnu : bash => **Zsh** est un interpréteur de commandes ([[shell]]), tout comme [[bash]]. | bash

9 Mot inconnu : bash => Le shell par défaut dans Ubuntu est [[bash]], c'est un shell qui a bien des avantages (notamment pour les scripts), mais il est assez limité dans certaines fonctionnalités comme l'autocomplétion. | bash

10 Mot inconnu : Zsh => Zsh est plutôt orienté pour l'interactivité avec l'utilisateur. | zsh
17 Espace(s) en fin de ligne à supprimer. => Vous pouvez le lancer comme ceci :  |   => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   zsh |    => suggestions : ['']
18 Mot inconnu : zsh =>   zsh | zsh

20 Mot inconnu : zsh => Pour définir zsh comme shell par défaut (lorsque vous vous connectez dans un [[terminal]] (ou un émulateur de terminal), on peut utiliser l'utilitaire chsh : | zsh
20 Mot inconnu : chsh => Pour définir zsh comme shell par défaut (lorsque vous vous connectez dans un [[terminal]] (ou un émulateur de terminal), on peut utiliser l'utilitaire chsh : | chsh

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chsh |    => suggestions : ['']
21 Mot inconnu : chsh =>   chsh | chsh

25 Forme interrogative ? Mettez un trait d’union. => Puis déconnectez vous et reconnectez vous. Et voilà, vous êtes sur zsh ! | déconnectez vous => suggestions : ['déconnectez-vous']
25 Forme interrogative ? Mettez un trait d’union. => Puis déconnectez vous et reconnectez vous. Et voilà, vous êtes sur zsh ! | reconnectez vous => suggestions : ['reconnectez-vous']
25 Mot inconnu : zsh => Puis déconnectez vous et reconnectez vous. Et voilà, vous êtes sur zsh ! | zsh

27 Mot inconnu : bashrc => Si vous ne possédez pas les droits d'administration sur l'ordinateur que vous utilisez, il vous suffit d'inscrire ceci dans votre fichier **~/.bashrc** | bashrc

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   exec zsh |    => suggestions : ['']
29 Mot inconnu : exec =>   exec zsh | exec
29 Mot inconnu : zsh =>   exec zsh | zsh

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

32 Mot inconnu : zsh => Si gnome-terminal ne se lance pas avec zsh et continue de fonctionner avec bash alors il faut aller dans les préférences du profil dans le menu "Édition". | zsh
32 Mot inconnu : bash => Si gnome-terminal ne se lance pas avec zsh et continue de fonctionner avec bash alors il faut aller dans les préférences du profil dans le menu "Édition". | bash
32 Guillemets typographiques ouvrants. => Si gnome-terminal ne se lance pas avec zsh et continue de fonctionner avec bash alors il faut aller dans les préférences du profil dans le menu "Édition". | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Si gnome-terminal ne se lance pas avec zsh et continue de fonctionner avec bash alors il faut aller dans les préférences du profil dans le menu "Édition". | " => suggestions : ['\xa0»', '”']

