
5 Mot inconnu : KolourPaint => ====== KolourPaint ====== | kolourpaint

7 Mot inconnu : KolourPaint => KolourPaint est un éditeur simple d'images sous license BSD. C'est le logiciel qui se rapproche le plus sur Linux de Microsoft Paint. | kolourpaint
7 Mot inconnu : license => KolourPaint est un éditeur simple d'images sous license BSD. C'est le logiciel qui se rapproche le plus sur Linux de Microsoft Paint. | license
7 Mot inconnu : Paint => KolourPaint est un éditeur simple d'images sous license BSD. C'est le logiciel qui se rapproche le plus sur Linux de Microsoft Paint. | paint

16 Mot inconnu : Kolourpaint => Son utilisation se veut très simple. Kolourpaint comprend tous les outils de Microsoft Paint (Sélection libre, Sélection, Gomme/Gomme couleur, Remplissage, Prélèvement d'une couleur, Zoom/Loupe, Pinceau, Brosse, Aérographe, Texte, Ligne, Courbe, Rectangle, Polygone, Ellipse, et Rectangle arrondi) ce qui le rend très pratique pour faire des dessins basiques ou de petites modifications. | kolourpaint
16 Mot inconnu : Paint => Son utilisation se veut très simple. Kolourpaint comprend tous les outils de Microsoft Paint (Sélection libre, Sélection, Gomme/Gomme couleur, Remplissage, Prélèvement d'une couleur, Zoom/Loupe, Pinceau, Brosse, Aérographe, Texte, Ligne, Courbe, Rectangle, Polygone, Ellipse, et Rectangle arrondi) ce qui le rend très pratique pour faire des dessins basiques ou de petites modifications. | paint

17 Mot inconnu : Kolourpaint => Kolourpaint possède cependant quelques fonctionnalités en plus, parmi elles : | kolourpaint

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La transparence |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La similitude des couleurs (appelée aussi Baguette magique dans d'autres logiciels de dessin) |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Rogner automatiquement |    => suggestions : ['']

22 Mot inconnu : Paint => Tout comme sous Paint, il est possible de retourner/faire pivoter, étirer/Incliner, inverser les couleurs, modifier les attributs d'une image, dessiner opaque, modifier la teinte/saturation/luminosité. | paint

24 Mot inconnu : icones => =====Si les icones des outils à gauche de l'image à modifier ont disparu===== | icones

