
5 Mot inconnu : SoundKonverter => ======SoundKonverter : convertisseur audio====== | soundkonverter

8 Mot inconnu : SoundKonverter => SoundKonverter est un utilitaire basé sur les bibliothèques Qt, permettant : | soundkonverter

17 Mot inconnu : SoundKonverter => Comme vous le voyez, SoundKonverter est extrêmement complet et facile à utiliser. | soundkonverter

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

29 Mot inconnu : SoundKonverter => SoundKonverter seul n'est pas très utile. Pour pouvoir convertir des fichiers, il lui faut les codeurs/décodeurs pour chaque format. La plupart sont heureusement disponibles dans les dépôts Ubuntu. | soundkonverter

37 Accord avec “sont”. => Pour les codecs **universels**, il ne sont pas des codecs, mais des logiciels permettant de décoder et encoder divers formats (essentiellement non-libres) : | il => suggestions : ['ils']
37 Conjugaison erronée. Accord avec “il”. Le verbe devrait être à la 3ᵉ personne du singulier. => Pour les codecs **universels**, il ne sont pas des codecs, mais des logiciels permettant de décoder et encoder divers formats (essentiellement non-libres) : | sont => suggestions : ['est']
43 Mot inconnu : SoundKonverter => Sous Kubuntu, SoundKonverter peut être lancé depuis le //menuK -> Multimedia//. Sous Unity utilisez le tableau de bord. | soundkonverter
43 Mot inconnu : menuK => Sous Kubuntu, SoundKonverter peut être lancé depuis le //menuK -> Multimedia//. Sous Unity utilisez le tableau de bord. | menuk
43 Mot inconnu : Multimedia => Sous Kubuntu, SoundKonverter peut être lancé depuis le //menuK -> Multimedia//. Sous Unity utilisez le tableau de bord. | multimedia
43 Mot inconnu : Unity => Sous Kubuntu, SoundKonverter peut être lancé depuis le //menuK -> Multimedia//. Sous Unity utilisez le tableau de bord. | unity

52 Mot inconnu : SoundKonverter => Si vous choisissez //Ajouter des pistes de CD//, une nouvelle fenêtre s'ouvrira, et SoundKonverter ira chercher les informations sur le CD-audio. | soundkonverter

55 Typographie : points de suspension. Utilisez le caractère dédié. => Il ne vous reste plus qu'à presser **Démarrer** et patienter quelques minutes ... | ... => suggestions : ['…']

60 Mot inconnu : SoundKonverter => À noter que, à l'installation, SoundKonverter installe également : | soundkonverter

66 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
