
4 Mot inconnu : Nagios => ====== Nagios : moniteur de supervision ====== | nagios

6 Mot inconnu : nagios3 => //**Remarque :**  Cet article a été mis à jour pour nagios3, disponible pour Ubuntu 8.10// | nagios3

14 Mot inconnu : Nagios => Le moniteur de supervision que nous allons décrire est **Nagios** qui est l'un des plus connus et des plus utilisés. | nagios
18 Espace(s) en fin de ligne à supprimer. => Pour la suite des opérations, des pré-requis sont nécessaires :  |   => suggestions : ['']

28 Mot inconnu : Nagios => Nagios est, avant toute chose, un moteur gérant l'ordonnancement des vérifications, ainsi que les actions à prendre sur incidents (alertes, escalades, prise d'action corrective). | nagios

32 Mot inconnu : Nagios => Les greffons de Nagios (ou sondes ou plugins) sont des petits scripts ou programmes qui sont la base des vérifications. | nagios

49 Mot inconnu : Nagios => Pour configurer le serveur Apache de telle manière que Nagios soit accessible, le paquet Nagios fait un lien symbolique « /etc/apache2/conf.d/nagios.conf » vers « /etc/nagios3/apache.conf ». | nagios
49 Mot inconnu : Nagios => Pour configurer le serveur Apache de telle manière que Nagios soit accessible, le paquet Nagios fait un lien symbolique « /etc/apache2/conf.d/nagios.conf » vers « /etc/nagios3/apache.conf ». | nagios

57 Mot inconnu : Nagios => Vous devriez avoir accès à la page principale de Nagios une fois que vous avez introduit votre mot de passe en consultant l'URL suivante, le login étant « nagiosadmin » : http://localhost/nagios3/ | nagios
57 Mot inconnu : nagiosadmin => Vous devriez avoir accès à la page principale de Nagios une fois que vous avez introduit votre mot de passe en consultant l'URL suivante, le login étant « nagiosadmin » : http://localhost/nagios3/ | nagiosadmin

59 Espace(s) en fin de ligne à supprimer. => Si ce n'est pas le cas, vérifier la configuration de votre serveur HTTP Apache.  |   => suggestions : ['']

91 Mot inconnu : Nagios => La configuration de Nagios peut paraître compliquée au premier abord. Il y a beaucoup de fichiers de configuration qui se trouvent dans « /etc/nagios3 ». | nagios

93 Confusion probable. Pour dire “possiblement”, écrivez “peut-être”. => Il y a peut être deux écoles, mais je vous conseille de mettre tout à plat si vous installez Nagios pour la première fois. | peut être => suggestions : ['peut-être']
93 Mot inconnu : Nagios => Il y a peut être deux écoles, mais je vous conseille de mettre tout à plat si vous installez Nagios pour la première fois. | nagios
95 Mot inconnu : nagios => Garder dans le dossier « /etc/nagios3/ » que le fichier « nagios.cfg » (c'est le seul « .cfg » nécessaire dans ce dossier), nous allons tout mettre dans un dossier que nous créerons pour l'occasion : | nagios
