
4 Mot inconnu : Mutt => ====== Mutt : client de messagerie en console ====== | mutt

5 Mot inconnu : Mutt => **Mutt** est un client de messagerie libre en mode console pour les systèmes UNIX.  | mutt
5 Espace(s) en fin de ligne à supprimer. => **Mutt** est un client de messagerie libre en mode console pour les systèmes UNIX.  |   => suggestions : ['']

7 Mot inconnu : Maildir => Il supporte plusieurs formats de boîtes aux lettres électroniques, notamment Maildir et Mbox. Il supporte également plusieurs protocoles (dont POP3 et IMAP). Il offre également le support des types MIME, notamment le type MIME-PGP avec lequel il s'intègre très bien. | maildir
7 Mot inconnu : Mbox => Il supporte plusieurs formats de boîtes aux lettres électroniques, notamment Maildir et Mbox. Il supporte également plusieurs protocoles (dont POP3 et IMAP). Il offre également le support des types MIME, notamment le type MIME-PGP avec lequel il s'intègre très bien. | mbox
7 Mot inconnu : POP3 => Il supporte plusieurs formats de boîtes aux lettres électroniques, notamment Maildir et Mbox. Il supporte également plusieurs protocoles (dont POP3 et IMAP). Il offre également le support des types MIME, notamment le type MIME-PGP avec lequel il s'intègre très bien. | pop3
7 Mot inconnu : MIME-PGP => Il supporte plusieurs formats de boîtes aux lettres électroniques, notamment Maildir et Mbox. Il supporte également plusieurs protocoles (dont POP3 et IMAP). Il offre également le support des types MIME, notamment le type MIME-PGP avec lequel il s'intègre très bien. | mime-pgp
9 Espace(s) en fin de ligne à supprimer. => Il offre des possibilités de configuration très poussées : il existe plusieurs centaines d'options de configuration et de commandes. Il permet de modifier tous les raccourcis claviers et de créer des macros pour les actions complexes. Toutes les options de configuration peuvent être modifiées dynamiquement, notamment en fonction du contenu d'un courrier reçu ou sur le point d'être envoyé, et du nom de la boîte aux lettres ouverte. Il permet également de personnaliser la coloration et l'agencement de l'interface.  |   => suggestions : ['']

11 Mot inconnu : Mutt => Mutt est utilisé entièrement au clavier et supporte les fils de discussion, ce qui facilite le déplacement dans les longues discussions, telles qu'on peut en trouver dans les listes de diffusion. Les messages sont composés avec l'éditeur de texte externe défini par défaut. | mutt

13 Mot inconnu : Mutt => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | mutt
13 Mot inconnu : All => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | all
13 Mot inconnu : suck => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | suck
13 Mot inconnu : This => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | this
13 Mot inconnu : one => Le slogan de Mutt est « All mail clients suck. This one just sucks less », que l'on peut traduire par « Tous les logiciels de courrier électronique sont merdiques. Celui-ci est juste moins merdique ». Les développeurs et les utilisateurs de mutt prétendent que, bien que tous les clients de courrier aient des défauts, mutt est celui qui en a le moins. L'expression « Foo sucks less » est devenue dans le jargon informatique, une forme de compliment. | one
