
4 Mot inconnu : OpenNI [[7:13]] => ====== OpenNI et NITE ====== <|> openni
4 Mot inconnu : NITE [[17:21]] => ====== OpenNI et NITE ====== <|> nite

10 Mot inconnu : NITE [[0:4]] => NITE permet d'utiliser les fonctions de **HandTracking** (reconnaissance des mains et suivi) et **Skeleton tracking** (reconnaissance du corps et suivi des membres) avec la Kinect sur Ubuntu. <|> nite
10 Mot inconnu : HandTracking [[42:54]] => NITE permet d'utiliser les fonctions de **HandTracking** (reconnaissance des mains et suivi) et **Skeleton tracking** (reconnaissance du corps et suivi des membres) avec la Kinect sur Ubuntu. <|> handtracking
10 Mot inconnu : tracking [[107:115]] => NITE permet d'utiliser les fonctions de **HandTracking** (reconnaissance des mains et suivi) et **Skeleton tracking** (reconnaissance du corps et suivi des membres) avec la Kinect sur Ubuntu. <|> tracking
10 Mot inconnu : Kinect [[173:179]] => NITE permet d'utiliser les fonctions de **HandTracking** (reconnaissance des mains et suivi) et **Skeleton tracking** (reconnaissance du corps et suivi des membres) avec la Kinect sur Ubuntu. <|> kinect
12 Mot inconnu : NITE [[25:29]] =>   * Ce tutoriel concerne NITE en version 1.3.0.17 pour Ubuntu 10.10. <|> nite
13 Mot inconnu : NITE [[19:23]] =>   * Ce middleware (NITE) est sous licence non libre (Les termes de l'usage même de ce produit, sont assez flous), c'est pourquoi aucun lien pour le téléchargement de NITE n'est proposé sur cette page. <|> nite
13 Mot inconnu : NITE [[166:170]] =>   * Ce middleware (NITE) est sous licence non libre (Les termes de l'usage même de ce produit, sont assez flous), c'est pourquoi aucun lien pour le téléchargement de NITE n'est proposé sur cette page. <|> nite

15 Mot inconnu : Primesense [[16:26]] => <note important>Primesense à été racheté par Apple et NITE ne semble plus être disponible. <|> primesense
15 Confusion : “à” est une préposition. Pour le verbe avoir, écrivez “a”. [[27:28]] => <note important>Primesense à été racheté par Apple et NITE ne semble plus être disponible. <|> à => suggestions : None
15 Mot inconnu : NITE [[54:58]] => <note important>Primesense à été racheté par Apple et NITE ne semble plus être disponible. <|> nite

17 Mot inconnu : NITE [[22:26]] => ===== Installation de NITE ===== <|> nite

19 Mot inconnu : NITE-Bin-Ubuntu-x86-1 [[22:43]] => Une fois le fichier **NITE-Bin-Ubuntu-x86-1.3.0.17.tar.bz2** (pour le 32 bits, ou **NITE-Bin-Ubuntu-x64-1.3.0.17.tar.bz2** pour le 64 bits) récupéré : <|> nite-bin-ubuntu-x86-1
19 Mot inconnu : NITE-Bin-Ubuntu-x64-1 [[84:105]] => Une fois le fichier **NITE-Bin-Ubuntu-x86-1.3.0.17.tar.bz2** (pour le 32 bits, ou **NITE-Bin-Ubuntu-x64-1.3.0.17.tar.bz2** pour le 64 bits) récupéré : <|> nite-bin-ubuntu-x64-1

30 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[35:37]] => Modification des fichiers de config .xml (**Sample-Scene.xml**, **Sample-Tracking.xml** et **Sample-User.xml**) : <|>  . => suggestions : None
30 Mot inconnu : Sample-Scene [[44:56]] => Modification des fichiers de config .xml (**Sample-Scene.xml**, **Sample-Tracking.xml** et **Sample-User.xml**) : <|> sample-scene
30 Mot inconnu : Sample-Tracking [[66:81]] => Modification des fichiers de config .xml (**Sample-Scene.xml**, **Sample-Tracking.xml** et **Sample-User.xml**) : <|> sample-tracking

36 Mot inconnu : MapOutputMode [[6:19]] => Par < MapOutputMode xRes="**640**" yRes="**480**" FPS="30"/> <|> mapoutputmode
36 Mot inconnu : xRes [[20:24]] => Par < MapOutputMode xRes="**640**" yRes="**480**" FPS="30"/> <|> xres
36 Mot inconnu : yRes [[35:39]] => Par < MapOutputMode xRes="**640**" yRes="**480**" FPS="30"/> <|> yres
36 Mot inconnu : FPS [[50:53]] => Par < MapOutputMode xRes="**640**" yRes="**480**" FPS="30"/> <|> fps
36 Guillemets typographiques ouvrants. [[54:55]] => Par < MapOutputMode xRes="**640**" yRes="**480**" FPS="30"/> <|> " => suggestions : None
36 Guillemets typographiques fermants. [[57:58]] => Par < MapOutputMode xRes="**640**" yRes="**480**" FPS="30"/> <|> " => suggestions : None

38 Mot inconnu : License [[6:13]] => Par < License vendor="PrimeSense" key="**0KOIk2JeIBYClPWVnMoRKn5cdY4=**"/> <|> license
38 Mot inconnu : vendor [[14:20]] => Par < License vendor="PrimeSense" key="**0KOIk2JeIBYClPWVnMoRKn5cdY4=**"/> <|> vendor
38 Guillemets typographiques ouvrants. [[21:22]] => Par < License vendor="PrimeSense" key="**0KOIk2JeIBYClPWVnMoRKn5cdY4=**"/> <|> " => suggestions : None
38 Mot inconnu : PrimeSense [[22:32]] => Par < License vendor="PrimeSense" key="**0KOIk2JeIBYClPWVnMoRKn5cdY4=**"/> <|> primesense
38 Guillemets typographiques fermants. [[32:33]] => Par < License vendor="PrimeSense" key="**0KOIk2JeIBYClPWVnMoRKn5cdY4=**"/> <|> " => suggestions : None
38 Mot inconnu : key [[34:37]] => Par < License vendor="PrimeSense" key="**0KOIk2JeIBYClPWVnMoRKn5cdY4=**"/> <|> key
38 Mot inconnu : KOIk2JeIBYClPWVnMoRKn5cdY4 [[42:68]] => Par < License vendor="PrimeSense" key="**0KOIk2JeIBYClPWVnMoRKn5cdY4=**"/> <|> koik2jeibyclpwvnmorkn5cdy4

50 Mot inconnu : KOIk2JeIBYClPWVnMoRKn5cdY4 [[18:44]] => Saisir la clef **0KOIk2JeIBYClPWVnMoRKn5cdY4=** quand demandée <|> koik2jeibyclpwvnmorkn5cdy4
50 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. [[54:62]] => Saisir la clef **0KOIk2JeIBYClPWVnMoRKn5cdY4=** quand demandée <|> demandée => suggestions : None

55 Forme interrogative ? Mettez un trait d’union. [[0:11]] => Placez vous dans le répertoire des exécutables fraichement compilés <|> placez vous => suggestions : None

62 Mot inconnu : HandTracking [[15:27]] => Pour test le **HandTracking** avec 2 mains : <|> handtracking

64 Mot inconnu : HandTrackerManager [[34:52]] => Dé-commentez les 2 lignes sous **[HandTrackerManager]** (supprimer le "**;**" au début de chaque ligne), puis relancez **Sample-PointViewer** <|> handtrackermanager
64 Mot inconnu : Sample-PointViewer [[121:139]] => Dé-commentez les 2 lignes sous **[HandTrackerManager]** (supprimer le "**;**" au début de chaque ligne), puis relancez **Sample-PointViewer** <|> sample-pointviewer

67 Mot inconnu : kinect [[13:19]] => <note tip>La kinect doit pouvoir vous voir debout, droit et en entier (de la tête aux pieds) et pour initialiser la calibration (et la reconnaissance du squelette), vous devez vous tenir de face avec les bras à l'horizontale avec les avant bras repliés vers le haut. <|> kinect
67 Il manque probablement un trait d’union. [[234:244]] => <note tip>La kinect doit pouvoir vous voir debout, droit et en entier (de la tête aux pieds) et pour initialiser la calibration (et la reconnaissance du squelette), vous devez vous tenir de face avec les bras à l'horizontale avec les avant bras repliés vers le haut. <|> avant bras => suggestions : None
