
4 Mot inconnu : boot => ====== Créer une disquette de boot avec GRUB ====== | boot
4 Mot inconnu : GRUB => ====== Créer une disquette de boot avec GRUB ====== | grub

8 Mot inconnu : GRUB => GRUB (GRand Unified Bootloader) est le gestionnaire de boot installé par défaut dans les versions récentes d'Ubuntu Linux. C'est un projet GNU qui permet de choisir au démarrage de l'ordinateur entre un grand nombre de systèmes d'exploitation. Ce document explique comment faire une disquette de boot pour régénérer GRUB après avoir installé un autre système d'exploitation, ou vous présenter un interpréteur de commande de sorte que vous puissiez modifier la configuration directement. | grub
8 Mot inconnu : GRand => GRUB (GRand Unified Bootloader) est le gestionnaire de boot installé par défaut dans les versions récentes d'Ubuntu Linux. C'est un projet GNU qui permet de choisir au démarrage de l'ordinateur entre un grand nombre de systèmes d'exploitation. Ce document explique comment faire une disquette de boot pour régénérer GRUB après avoir installé un autre système d'exploitation, ou vous présenter un interpréteur de commande de sorte que vous puissiez modifier la configuration directement. | grand
8 Mot inconnu : Unified => GRUB (GRand Unified Bootloader) est le gestionnaire de boot installé par défaut dans les versions récentes d'Ubuntu Linux. C'est un projet GNU qui permet de choisir au démarrage de l'ordinateur entre un grand nombre de systèmes d'exploitation. Ce document explique comment faire une disquette de boot pour régénérer GRUB après avoir installé un autre système d'exploitation, ou vous présenter un interpréteur de commande de sorte que vous puissiez modifier la configuration directement. | unified
8 Mot inconnu : Bootloader => GRUB (GRand Unified Bootloader) est le gestionnaire de boot installé par défaut dans les versions récentes d'Ubuntu Linux. C'est un projet GNU qui permet de choisir au démarrage de l'ordinateur entre un grand nombre de systèmes d'exploitation. Ce document explique comment faire une disquette de boot pour régénérer GRUB après avoir installé un autre système d'exploitation, ou vous présenter un interpréteur de commande de sorte que vous puissiez modifier la configuration directement. | bootloader
8 Mot inconnu : boot => GRUB (GRand Unified Bootloader) est le gestionnaire de boot installé par défaut dans les versions récentes d'Ubuntu Linux. C'est un projet GNU qui permet de choisir au démarrage de l'ordinateur entre un grand nombre de systèmes d'exploitation. Ce document explique comment faire une disquette de boot pour régénérer GRUB après avoir installé un autre système d'exploitation, ou vous présenter un interpréteur de commande de sorte que vous puissiez modifier la configuration directement. | boot
8 Mot inconnu : boot => GRUB (GRand Unified Bootloader) est le gestionnaire de boot installé par défaut dans les versions récentes d'Ubuntu Linux. C'est un projet GNU qui permet de choisir au démarrage de l'ordinateur entre un grand nombre de systèmes d'exploitation. Ce document explique comment faire une disquette de boot pour régénérer GRUB après avoir installé un autre système d'exploitation, ou vous présenter un interpréteur de commande de sorte que vous puissiez modifier la configuration directement. | boot
8 Mot inconnu : GRUB => GRUB (GRand Unified Bootloader) est le gestionnaire de boot installé par défaut dans les versions récentes d'Ubuntu Linux. C'est un projet GNU qui permet de choisir au démarrage de l'ordinateur entre un grand nombre de systèmes d'exploitation. Ce document explique comment faire une disquette de boot pour régénérer GRUB après avoir installé un autre système d'exploitation, ou vous présenter un interpréteur de commande de sorte que vous puissiez modifier la configuration directement. | grub

10 Mot inconnu : GRUB => ===== Avec GRUB 2 ===== | grub

14 Espace(s) surnuméraire(s) à supprimer. => ==== 1.  Créer une image de type "Disquette" ==== |    => suggestions : [' ']
14 Guillemets typographiques ouvrants. => ==== 1.  Créer une image de type "Disquette" ==== | " => suggestions : ['«\xa0', '“']
14 Guillemets typographiques fermants. => ==== 1.  Créer une image de type "Disquette" ==== | " => suggestions : ['\xa0»', '”']

18 Mot inconnu : Lucid => Ne marche plus depuis Lucid Lynx, préférer la synthaxe suivante :</note> | lucid
18 Mot inconnu : synthaxe => Ne marche plus depuis Lucid Lynx, préférer la synthaxe suivante :</note> | synthaxe

23 Mot inconnu : __Attention__ => __Attention__: en cas de message d'erreur indiquant que **xorriso** n'est pas la bonne version, il s'agit en réalité d'installer xorriso | __attention__
23 Mot inconnu : xorriso => __Attention__: en cas de message d'erreur indiquant que **xorriso** n'est pas la bonne version, il s'agit en réalité d'installer xorriso | xorriso
23 Mot inconnu : xorriso => __Attention__: en cas de message d'erreur indiquant que **xorriso** n'est pas la bonne version, il s'agit en réalité d'installer xorriso | xorriso

30 Mot inconnu : GRUB => ===== Avec GRUB Legacy ===== | grub
30 Mot inconnu : Legacy => ===== Avec GRUB Legacy ===== | legacy

32 Espace(s) surnuméraire(s) à supprimer. => ==== 1.  Obtenir les privilèges "root" ==== |    => suggestions : [' ']
32 Guillemets typographiques ouvrants. => ==== 1.  Obtenir les privilèges "root" ==== | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : root => ==== 1.  Obtenir les privilèges "root" ==== | root
32 Guillemets typographiques fermants. => ==== 1.  Obtenir les privilèges "root" ==== | " => suggestions : ['\xa0»', '”']

41 Espace(s) surnuméraire(s) à supprimer. => ==== 2.  Création du système de fichiers ext2 (formatage) ==== |    => suggestions : [' ']
41 Mot inconnu : ext2 => ==== 2.  Création du système de fichiers ext2 (formatage) ==== | ext2

47 Espace(s) surnuméraire(s) à supprimer. => ==== 3.  Montage de la disquette et copie des fichiers nécessaires à GRUB pour booter ==== |    => suggestions : [' ']
47 Mot inconnu : GRUB => ==== 3.  Montage de la disquette et copie des fichiers nécessaires à GRUB pour booter ==== | grub
47 Mot inconnu : booter => ==== 3.  Montage de la disquette et copie des fichiers nécessaires à GRUB pour booter ==== | booter

51 Mot inconnu : floppy0 => En cas d'erreur, vous pouvez aussi essayer avec /media/floppy0. Si cela fonctionne, n'oubliez pas de changer /media/floppy/ en /media/floppy0/ pour tout le reste de ce wiki. | floppy0
51 Mot inconnu : floppy => En cas d'erreur, vous pouvez aussi essayer avec /media/floppy0. Si cela fonctionne, n'oubliez pas de changer /media/floppy/ en /media/floppy0/ pour tout le reste de ce wiki. | floppy
51 Mot inconnu : floppy0 => En cas d'erreur, vous pouvez aussi essayer avec /media/floppy0. Si cela fonctionne, n'oubliez pas de changer /media/floppy/ en /media/floppy0/ pour tout le reste de ce wiki. | floppy0

