
4 Mot inconnu : LIRC => ====== Paramétrer sa télécommande avec LIRC ====== | lirc

6 Mot inconnu : LIRC => LIRC (Linux Infrared Remote Control) est un ensemble d'outils permettant de reconnaître et configurer les récepteurs et télécommandes infrarouge. Il existe depuis longtemps, bien avant que le noyau ne reconnaissent nativement les télécommandes IR. | lirc
6 Mot inconnu : Infrared => LIRC (Linux Infrared Remote Control) est un ensemble d'outils permettant de reconnaître et configurer les récepteurs et télécommandes infrarouge. Il existe depuis longtemps, bien avant que le noyau ne reconnaissent nativement les télécommandes IR. | infrared
6 Mot inconnu : Remote => LIRC (Linux Infrared Remote Control) est un ensemble d'outils permettant de reconnaître et configurer les récepteurs et télécommandes infrarouge. Il existe depuis longtemps, bien avant que le noyau ne reconnaissent nativement les télécommandes IR. | remote
6 Mot inconnu : Control => LIRC (Linux Infrared Remote Control) est un ensemble d'outils permettant de reconnaître et configurer les récepteurs et télécommandes infrarouge. Il existe depuis longtemps, bien avant que le noyau ne reconnaissent nativement les télécommandes IR. | control
6 Conjugaison erronée. Accord avec “le noyau…”. Le verbe devrait être à la 3ᵉ personne du singulier. => LIRC (Linux Infrared Remote Control) est un ensemble d'outils permettant de reconnaître et configurer les récepteurs et télécommandes infrarouge. Il existe depuis longtemps, bien avant que le noyau ne reconnaissent nativement les télécommandes IR. | reconnaissent => suggestions : ['reconnait', 'reconnaît']
6 Mot inconnu : IR => LIRC (Linux Infrared Remote Control) est un ensemble d'outils permettant de reconnaître et configurer les récepteurs et télécommandes infrarouge. Il existe depuis longtemps, bien avant que le noyau ne reconnaissent nativement les télécommandes IR. | ir

7 Mot inconnu : LIRC => Par défaut, Les scripts d'initialisation de LIRC sont correctement configurés pour la gestion d'un seul appareil, mais en réalité les scripts du pilote peuvent en gérer plusieurs. Si vous cherchez à configurer un transmetteur infrarouge et un récepteur, plusieurs transmetteurs, ou plusieurs récepteurs, commencez d'abord par configurer un seul appareil et vérifiez son bon fonctionnement. Après cela seulement, vous pourrez vous intéresser à la section traitant la configuration de multiples appareils. | lirc

39 Mot inconnu : lircd => ==== Le fichier lircd.conf ==== | lircd
39 Il manque un espace. => ==== Le fichier lircd.conf ==== | conf => suggestions : [' conf']

45 Mot inconnu : lircd => === Utiliser un fichier lircd.conf existant === | lircd
45 Il manque un espace. => === Utiliser un fichier lircd.conf existant === | conf => suggestions : [' conf']

50 Mot inconnu : lircd => === Créer un fichier lircd.conf avec irrecord === | lircd
50 Il manque un espace. => === Créer un fichier lircd.conf avec irrecord === | conf => suggestions : [' conf']
50 Mot inconnu : irrecord => === Créer un fichier lircd.conf avec irrecord === | irrecord

55 Mot inconnu : LIRC => ==== Démarrage de LIRC et essai ==== | lirc
61 Guillemets typographiques ouvrants. => Le terminal doit se mettre en « attente » (on ne peut plus taper de commande). Appuyez sur les touches de votre télécommande. Elles devraient s'afficher dans le terminal. Pour quitter, pressez <ctrl> + 'C'. | ' => suggestions : ['“', '‘', '‹']

65 Mot inconnu : LIRC => Si au lancement de LIRC vous avez ceci : | lirc

76 Mot inconnu : lircrc => ==== Création des fichiers lircrc ==== | lircrc

92 Mot inconnu : LIRC => Une fois que LIRC fonctionne avec une télécommande, vous pouvez modifier la configuration pour supporter des télécommandes supplémentaires.  | lirc
92 Espace(s) en fin de ligne à supprimer. => Une fois que LIRC fonctionne avec une télécommande, vous pouvez modifier la configuration pour supporter des télécommandes supplémentaires.  |   => suggestions : ['']

100 Mot inconnu : LIRCD_ARGS => LIRCD_ARGS="--device=/dev/lirc0 --output=/dev/lircd1 --pidfile=/var/run/lircd1.pid --listen" | lircd_args
