
5 Mot inconnu : Weex => ====== Weex ====== | weex

7 Mot inconnu : Weex => Weex est un client non interactif permettant la synchronisation d'un site local avec un serveur FTP. | weex

9 Mot inconnu : upload => Pour cela, il téléverse (//upload//, en anglais) les nouveaux fichiers ou les fichiers modifiés et en supprime ceux n'existant plus localement. | upload

11 Mot inconnu : Weex => <note>Pour gagner du temps et économiser de la bande passante, Weex crée un fichier « cache » dans lequel il enregistre les versions (date/heure) des fichiers qu'il envoi. Ainsi, lors d'une mise à jour, il renverra uniquement les fichiers plus récents que les versions enregistrées dans le cache.</note> | weex
11 Incohérence avec “il” : “envoi” devrait être un verbe, un pronom objet, un adverbe de négation, etc. => <note>Pour gagner du temps et économiser de la bande passante, Weex crée un fichier « cache » dans lequel il enregistre les versions (date/heure) des fichiers qu'il envoi. Ainsi, lors d'une mise à jour, il renverra uniquement les fichiers plus récents que les versions enregistrées dans le cache.</note> | envoi => suggestions : ['envoie']
30 Mot inconnu : HOSTID => Avec « HOSTID »définie dans le fichier **~/.weexrc** : | hostid
30 Il manque un espace. => Avec « HOSTID »définie dans le fichier **~/.weexrc** : | définie => suggestions : [' définie']
30 Mot inconnu : weexrc => Avec « HOSTID »définie dans le fichier **~/.weexrc** : | weexrc

32 Mot inconnu : HOSTID => [HOSTID] | hostid

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         HostName = ftp.monsite.com |          => suggestions : ['']
33 Mot inconnu : HostName =>         HostName = ftp.monsite.com | hostname

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         LoginNAME = MonLogin |          => suggestions : ['']
34 Mot inconnu : LoginNAME =>         LoginNAME = MonLogin | loginname
34 Mot inconnu : MonLogin =>         LoginNAME = MonLogin | monlogin

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         Password = "MotDePasseSecret" |          => suggestions : ['']
35 Mot inconnu : Password =>         Password = "MotDePasseSecret" | password
35 Guillemets typographiques ouvrants. =>         Password = "MotDePasseSecret" | " => suggestions : ['«\xa0', '“']
35 Mot inconnu : MotDePasseSecret =>         Password = "MotDePasseSecret" | motdepassesecret
35 Guillemets typographiques fermants. =>         Password = "MotDePasseSecret" | " => suggestions : ['\xa0»', '”']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         SrcDir = /home/login/a_sauvegarder |          => suggestions : ['']
36 Mot inconnu : SrcDir =>         SrcDir = /home/login/a_sauvegarder | srcdir

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         DestDir = /sauvegarde/ |          => suggestions : ['']
37 Mot inconnu : DestDir =>         DestDir = /sauvegarde/ | destdir

39 Mot inconnu : default => [default] | default

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         AsciiFile = { |          => suggestions : ['']
40 Mot inconnu : AsciiFile =>         AsciiFile = { | asciifile

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *.htm |          => suggestions : ['']
41 Mot inconnu : htm =>         *.htm | htm

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *.html |          => suggestions : ['']
42 Mot inconnu : html =>         *.html | html

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *.txt |          => suggestions : ['']
43 Mot inconnu : txt =>         *.txt | txt

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *.asc |          => suggestions : ['']
44 Mot inconnu : asc =>         *.asc | asc

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         IgnoreLocalFile = { |          => suggestions : ['']
46 Mot inconnu : IgnoreLocalFile =>         IgnoreLocalFile = { | ignorelocalfile

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *.bak |          => suggestions : ['']
47 Mot inconnu : bak =>         *.bak | bak

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *.tmp |          => suggestions : ['']
48 Mot inconnu : tmp =>         *.tmp | tmp

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         *.swp |          => suggestions : ['']
49 Mot inconnu : swp =>         *.swp | swp

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>         } |          => suggestions : ['']

65 Il manque un espace après la parenthèse. => (Re-)Contruire le fichier cache du site <<sauvegarde>> : | ) => suggestions : [') ']
65 Mot inconnu : Contruire => (Re-)Contruire le fichier cache du site <<sauvegarde>> : | contruire

75 Il manque un espace après la parenthèse. => (Re-)Contruire le fichier cache puis synchroniser le site <<sauvegarde>> : | ) => suggestions : [') ']
75 Mot inconnu : Contruire => (Re-)Contruire le fichier cache puis synchroniser le site <<sauvegarde>> : | contruire

87 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[http://weex.sourceforge.net/|Le site officiel]] |    => suggestions : ['']
