
4 Mot inconnu : Newsbeuter => ====== Newsbeuter ====== | newsbeuter

6 Mot inconnu : Newsbeuter => **Newsbeuter**, sous [[https://fr.wikipedia.org/wiki/Licence_MIT|Licence libre MIT]], est un agrégateur de flux de syndication (RSS 0.9.x, 1.0, 2.0 et Atom) en mode texte.\\ | newsbeuter
6 Mot inconnu : Atom => **Newsbeuter**, sous [[https://fr.wikipedia.org/wiki/Licence_MIT|Licence libre MIT]], est un agrégateur de flux de syndication (RSS 0.9.x, 1.0, 2.0 et Atom) en mode texte.\\ | atom

7 Il manque un trait d’union. => Au delà de son apparence simpliste (terminal), Newsbeuter permet entre autres : | au delà => suggestions : ['Au-delà']
7 Mot inconnu : Newsbeuter => Au delà de son apparence simpliste (terminal), Newsbeuter permet entre autres : | newsbeuter

22 Mot inconnu : Newsbeuter => <note>Newsbeuter n'est plus dans les dépôts officiels depuis [[Focal]]((https://packages.ubuntu.com/search?suite=default&section=all&arch=any&searchon=names&keywords=newsbeuter)). </note> | newsbeuter

35 Mot inconnu : Newsbeuter => <note>Si vous venez d'installer Newsbeuter et que vous ne lui avec pas encore indiqué des flux à agréger, il est normal de tomber sur un fichier d'aide lorsque vous essayez de l'ouvrir.</note> | newsbeuter
35 Incohérence avec « ne lui » : « avec » devrait être un verbe. => <note>Si vous venez d'installer Newsbeuter et que vous ne lui avec pas encore indiqué des flux à agréger, il est normal de tomber sur un fichier d'aide lorsque vous essayez de l'ouvrir.</note> | avec => suggestions : []

40 Mot inconnu : newsbeuter => Pour que newsbeuter se lance et rafraîchisse la liste des flux automatiquement au démarrage : | newsbeuter

43 Mot inconnu : Reader => ===== Intégration de ses flux Google Reader dans newsbeuter===== | reader
43 Mot inconnu : newsbeuter => ===== Intégration de ses flux Google Reader dans newsbeuter===== | newsbeuter

46 Mot inconnu : urls-source => urls-source "googlereader" | urls-source
46 Guillemets typographiques ouvrants. => urls-source "googlereader" | " => suggestions : ['«\xa0', '“']
46 Mot inconnu : googlereader => urls-source "googlereader" | googlereader
46 Guillemets typographiques fermants. => urls-source "googlereader" | " => suggestions : ['\xa0»', '”']

47 Mot inconnu : googlereader-login => googlereader-login "login" | googlereader-login
47 Guillemets typographiques ouvrants. => googlereader-login "login" | " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. => googlereader-login "login" | " => suggestions : ['\xa0»', '”']

48 Mot inconnu : googlereader-password => googlereader-password "mot de passe" | googlereader-password
48 Guillemets typographiques ouvrants. => googlereader-password "mot de passe" | " => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. => googlereader-password "mot de passe" | " => suggestions : ['\xa0»', '”']

54 Mot inconnu : read => read -p "Entrez votre mot de passe google: " -s passwd | read
54 Il manque un espace à côté du tiret. => read -p "Entrez votre mot de passe google: " -s passwd |  - => suggestions : [' – ', ' — ']
54 Guillemets typographiques ouvrants. => read -p "Entrez votre mot de passe google: " -s passwd | " => suggestions : ['«\xa0', '“']
54 Guillemets isolés. => read -p "Entrez votre mot de passe google: " -s passwd |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
54 Mot inconnu : passwd => read -p "Entrez votre mot de passe google: " -s passwd | passwd

56 Mot inconnu : sed => sed -i "s/\(googlereader-password \)\".*\"/\1\"$passwd\"/" ~/.newsbeuter/config | sed
56 Il manque un espace à côté du tiret. => sed -i "s/\(googlereader-password \)\".*\"/\1\"$passwd\"/" ~/.newsbeuter/config |  - => suggestions : [' – ', ' — ']
56 Guillemets typographiques ouvrants. => sed -i "s/\(googlereader-password \)\".*\"/\1\"$passwd\"/" ~/.newsbeuter/config | " => suggestions : ['«\xa0', '“']
56 Mot inconnu : googlereader-password => sed -i "s/\(googlereader-password \)\".*\"/\1\"$passwd\"/" ~/.newsbeuter/config | googlereader-password
56 Mot inconnu : passwd => sed -i "s/\(googlereader-password \)\".*\"/\1\"$passwd\"/" ~/.newsbeuter/config | passwd
56 Mot inconnu : newsbeuter => sed -i "s/\(googlereader-password \)\".*\"/\1\"$passwd\"/" ~/.newsbeuter/config | newsbeuter

57 Mot inconnu : execution => # Effacement du mot de passe dans 5 secondes, pendant l'execution de newsbeuter | execution
57 Mot inconnu : newsbeuter => # Effacement du mot de passe dans 5 secondes, pendant l'execution de newsbeuter | newsbeuter

58 Mot inconnu : sleep => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter | sleep
58 Il manque un espace. => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter | sed => suggestions : [' sed']
58 Mot inconnu : sed => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter | sed
58 Il manque un espace à côté du tiret. => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter |  - => suggestions : [' – ', ' — ']
58 Guillemets typographiques ouvrants. => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter | " => suggestions : ['«\xa0', '“']
58 Mot inconnu : googlereader-password => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter | googlereader-password
58 Mot inconnu : newsbeuter => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter | newsbeuter
58 Mot inconnu : newsbeuter => (sleep 5 ;sed -i "s/\(googlereader-password \)\".*\"/\1\"\"/" ~/.newsbeuter/config)&newsbeuter | newsbeuter

71 Mot inconnu : echo => if echo "$1" | grep -e jpg$ -e jpeg$ -e gif$ -e png$ | echo
71 Guillemets typographiques fermants. => if echo "$1" | grep -e jpg$ -e jpeg$ -e gif$ -e png$ | " => suggestions : ['\xa0»', '”']
71 Mot inconnu : grep => if echo "$1" | grep -e jpg$ -e jpeg$ -e gif$ -e png$ | grep
71 Il manque un espace à côté du tiret. => if echo "$1" | grep -e jpg$ -e jpeg$ -e gif$ -e png$ |  - => suggestions : [' – ', ' — ']
71 Mot inconnu : jpeg => if echo "$1" | grep -e jpg$ -e jpeg$ -e gif$ -e png$ | jpeg

72 Mot inconnu : then => then | then

74 Mot inconnu : else => else | else

79 Mot inconnu : xlinks2 => xlinks2 "$1" | xlinks2
79 Guillemets typographiques fermants. => xlinks2 "$1" | " => suggestions : ['\xa0»', '”']
83 Espace(s) en fin de ligne à supprimer. => Ici:  |   => suggestions : ['']
91 Mot inconnu : browser => <file>## configuration option: browser | browser

92 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | description => suggestions : ['Description']
92 Mot inconnu : the => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | the
92 Mot inconnu : browser => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | browser
92 Mot inconnu : command => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | command
92 Mot inconnu : to => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | to
92 Mot inconnu : when => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | when
92 Mot inconnu : opening => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | opening
92 Mot inconnu : the => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | the
92 Mot inconnu : browser => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | browser
92 Mot inconnu : contains => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | contains
92 Il manque un espace. => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | u => suggestions : [' u']
92 Mot inconnu : it => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | it
92 Mot inconnu : will => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | will
92 Mot inconnu : used => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | used
92 Mot inconnu : complete => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | complete
92 Mot inconnu : commandline => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | commandline
92 Mot inconnu : and => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | and
92 Il manque un espace. => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | u => suggestions : [' u']
92 Mot inconnu : will => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | will
92 Mot inconnu : replaced => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | replaced
92 Mot inconnu : with => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | with
92 Mot inconnu : the => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | the
92 Mot inconnu : that => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | that
92 Mot inconnu : shall => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | shall
92 Mot inconnu : opened => ## description: Set the browser command to use when opening an article in the browser. If <browser-command> contains %u, it will be used as complete commandline and %u will be replaced with the URL that shall be opened. | opened

93 Mot inconnu : parameter => ## parameter syntax: <browser-command> | parameter
93 Mot inconnu : syntax => ## parameter syntax: <browser-command> | syntax

94 Mot inconnu : browser => browser /home/<votre_login>/.newsbeuter/browse</file>Après avoir relancé Newsbeuter, vous pourrez accédez aux contenus en saisissant le numéro du lien.\\ | browser
94 Mot inconnu : newsbeuter => browser /home/<votre_login>/.newsbeuter/browse</file>Après avoir relancé Newsbeuter, vous pourrez accédez aux contenus en saisissant le numéro du lien.\\ | newsbeuter
94 Mot inconnu : browse => browser /home/<votre_login>/.newsbeuter/browse</file>Après avoir relancé Newsbeuter, vous pourrez accédez aux contenus en saisissant le numéro du lien.\\ | browse
94 Mot inconnu : Newsbeuter => browser /home/<votre_login>/.newsbeuter/browse</file>Après avoir relancé Newsbeuter, vous pourrez accédez aux contenus en saisissant le numéro du lien.\\ | newsbeuter
94 S’il s’agit d’une action que le sujet peut accomplir, le verbe devrait être à l’infinitif. => browser /home/<votre_login>/.newsbeuter/browse</file>Après avoir relancé Newsbeuter, vous pourrez accédez aux contenus en saisissant le numéro du lien.\\ | accédez => suggestions : ['accéder']
99 Pas d’espace avant ce signe. => <note tip>Pour les liens dont le numéro est supérieur à 10 ((pour cette valeur il faut taper la touche 0 ;-) )), il vous suffira de taper le touche dièse (#) suivi de la valeur souhaitée</note> |  ) => suggestions : [')']
99 Accord de genre erroné : « touche » est féminin. => <note tip>Pour les liens dont le numéro est supérieur à 10 ((pour cette valeur il faut taper la touche 0 ;-) )), il vous suffira de taper le touche dièse (#) suivi de la valeur souhaitée</note> | le => suggestions : ['la']
99 Accord de genre erroné : « le » est un déterminant masculin. => <note tip>Pour les liens dont le numéro est supérieur à 10 ((pour cette valeur il faut taper la touche 0 ;-) )), il vous suffira de taper le touche dièse (#) suivi de la valeur souhaitée</note> | touche => suggestions : ['touché']
