
4 Mot inconnu : MadCatz => ====== Les souris MadCatz ====== | madcatz

5 Mot inconnu : Mad => Mad Catz, fabricant de périphériques pour gamers, a toute une série de souris assez exotiques et, sans quelques manipulations, complètement inutilisables sous Linux. | mad
5 Mot inconnu : Catz => Mad Catz, fabricant de périphériques pour gamers, a toute une série de souris assez exotiques et, sans quelques manipulations, complètement inutilisables sous Linux. | catz
7 Espace(s) en fin de ligne à supprimer. => Mais ne vous inquiétez pas ! Cette page a pour but de recenser les astuces pour faire fonctionner du mieux possible vos souris.  |   => suggestions : ['']

10 Mot inconnu : MadCatz => Il faudra pour commencer l'identifiant de votre souris. C'est le nom que votre PC voit, et que vous utiliserez pour modifier les options de votre souris MadCatz. | madcatz
14 Espace(s) en fin de ligne à supprimer. => vous donne un résultat sous la forme :  |   => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le pointeur "système", |    => suggestions : ['']
27 Guillemets typographiques ouvrants. =>   * Le pointeur "système", | " => suggestions : ['«\xa0', '“']
27 Guillemets typographiques fermants. =>   * Le pointeur "système", | " => suggestions : ['\xa0»', '”']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Mon récepteur Logitech, que je n'utilise pas, |    => suggestions : ['']
28 Mot inconnu : Logitech =>   * Mon récepteur Logitech, que je n'utilise pas, | logitech

31 Mot inconnu : MadCatz => ===== Installation MadCatz R.A.T.3 ===== | madcatz
31 Sigle. Il est recommandé d’ôter les points pour les sigles. => ===== Installation MadCatz R.A.T.3 ===== | r.a.t. => suggestions : ['RAT']

34 Guillemets typographiques ouvrants. => Section "InputClass" | " => suggestions : ['«\xa0', '“']
34 Mot inconnu : InputClass => Section "InputClass" | inputclass
34 Guillemets typographiques fermants. => Section "InputClass" | " => suggestions : ['\xa0»', '”']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Identifier      "Mouse Remap" |      => suggestions : ['']
35 Espace(s) surnuméraire(s) à supprimer. =>     Identifier      "Mouse Remap" |        => suggestions : [' ']
35 Guillemets typographiques ouvrants. =>     Identifier      "Mouse Remap" | " => suggestions : ['«\xa0', '“']
35 Mot inconnu : Mouse =>     Identifier      "Mouse Remap" | mouse
35 Mot inconnu : Remap =>     Identifier      "Mouse Remap" | remap
35 Guillemets typographiques fermants. =>     Identifier      "Mouse Remap" | " => suggestions : ['\xa0»', '”']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" |      => suggestions : ['']
36 Mot inconnu : MatchProduct =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | matchproduct
36 Espace(s) surnuméraire(s) à supprimer. =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" |      => suggestions : [' ']
36 Guillemets typographiques ouvrants. =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | " => suggestions : ['«\xa0', '“']
36 Mot inconnu : Madcatz =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | madcatz
36 Mot inconnu : Mad =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | mad
36 Mot inconnu : Catz =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | catz
36 Sigle. Il est recommandé d’ôter les points pour les sigles. =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | r.a.t. => suggestions : ['RAT']
36 Mot inconnu : Mouse =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | mouse
36 Guillemets typographiques fermants. =>     MatchProduct    "Madcatz Mad Catz R.A.T.3 Mouse" | " => suggestions : ['\xa0»', '”']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     MatchDevicePath "/dev/input/event*" |      => suggestions : ['']
37 Mot inconnu : MatchDevicePath =>     MatchDevicePath "/dev/input/event*" | matchdevicepath

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     Option      "ButtonMapping" "1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 0 0" |      => suggestions : ['']
38 Espace(s) surnuméraire(s) à supprimer. =>     Option      "ButtonMapping" "1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 0 0" |        => suggestions : [' ']
38 Guillemets typographiques ouvrants. =>     Option      "ButtonMapping" "1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 0 0" | " => suggestions : ['«\xa0', '“']
38 Mot inconnu : ButtonMapping =>     Option      "ButtonMapping" "1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 0 0" | buttonmapping
38 Guillemets typographiques fermants. =>     Option      "ButtonMapping" "1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 0 0" | " => suggestions : ['\xa0»', '”']
38 Guillemets typographiques ouvrants. =>     Option      "ButtonMapping" "1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 0 0" | " => suggestions : ['«\xa0', '“']
38 Guillemets typographiques fermants. =>     Option      "ButtonMapping" "1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 0 0 0" | " => suggestions : ['\xa0»', '”']

39 Mot inconnu : EndSection => EndSection | endsection

45 Mot inconnu : xorg => Si cela ne fonctionne pas, essayez aussi de copier ces lignes dans un fichier **xorg.conf** à créer dans le dossier **/etc/X11** (si non existant). | xorg
45 Il manque un espace. => Si cela ne fonctionne pas, essayez aussi de copier ces lignes dans un fichier **xorg.conf** à créer dans le dossier **/etc/X11** (si non existant). | conf => suggestions : [' conf']

47 Mot inconnu : MadCatz => ===== Installation MadCatz R.A.T TE ===== | madcatz
47 Sigle. Il est recommandé d’ôter les points pour les sigles. (S’il s’agit d’un prénom et d’un nom, mettez un espace.) => ===== Installation MadCatz R.A.T TE ===== | r.a. => suggestions : ['RA', 'R.\u202fA.']

50 Guillemets typographiques ouvrants. => Section "InputClass" | " => suggestions : ['«\xa0', '“']
50 Mot inconnu : InputClass => Section "InputClass" | inputclass
50 Guillemets typographiques fermants. => Section "InputClass" | " => suggestions : ['\xa0»', '”']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    Identifier     "Mouse Remap" |     => suggestions : ['']
51 Espace(s) surnuméraire(s) à supprimer. =>    Identifier     "Mouse Remap" |       => suggestions : [' ']
51 Guillemets typographiques ouvrants. =>    Identifier     "Mouse Remap" | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : Mouse =>    Identifier     "Mouse Remap" | mouse
51 Mot inconnu : Remap =>    Identifier     "Mouse Remap" | remap
51 Guillemets typographiques fermants. =>    Identifier     "Mouse Remap" | " => suggestions : ['\xa0»', '”']

52 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" |     => suggestions : ['']
52 Mot inconnu : MatchProduct =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | matchproduct
52 Espace(s) surnuméraire(s) à supprimer. =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" |     => suggestions : [' ']
52 Guillemets typographiques ouvrants. =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | " => suggestions : ['«\xa0', '“']
52 Mot inconnu : Mad =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | mad
52 Mot inconnu : Catz =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | catz
52 Mot inconnu : Mad =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | mad
52 Mot inconnu : Catz =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | catz
52 Sigle. Il est recommandé d’ôter les points pour les sigles. =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | r.a.t. => suggestions : ['RAT']
52 Guillemets typographiques fermants. =>    MatchProduct   "Mad Catz Mad Catz R.A.T.TE" | " => suggestions : ['\xa0»', '”']

53 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    MatchDevicePath "/dev/input/event*" |     => suggestions : ['']
53 Mot inconnu : MatchDevicePath =>    MatchDevicePath "/dev/input/event*" | matchdevicepath

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    Option         "ButtonMapping" " 1 2 3 4 5 6 7 8 9 10 11 12 0 0 0" |     => suggestions : ['']
54 Espace(s) surnuméraire(s) à supprimer. =>    Option         "ButtonMapping" " 1 2 3 4 5 6 7 8 9 10 11 12 0 0 0" |           => suggestions : [' ']
54 Guillemets typographiques ouvrants. =>    Option         "ButtonMapping" " 1 2 3 4 5 6 7 8 9 10 11 12 0 0 0" | " => suggestions : ['«\xa0', '“']
54 Mot inconnu : ButtonMapping =>    Option         "ButtonMapping" " 1 2 3 4 5 6 7 8 9 10 11 12 0 0 0" | buttonmapping
54 Guillemets typographiques fermants. =>    Option         "ButtonMapping" " 1 2 3 4 5 6 7 8 9 10 11 12 0 0 0" | " => suggestions : ['\xa0»', '”']
54 Guillemets isolés. =>    Option         "ButtonMapping" " 1 2 3 4 5 6 7 8 9 10 11 12 0 0 0" |  "  => suggestions : [' «\xa0', '\xa0» ', ' “', '” ']
54 Guillemets typographiques fermants. =>    Option         "ButtonMapping" " 1 2 3 4 5 6 7 8 9 10 11 12 0 0 0" | " => suggestions : ['\xa0»', '”']

55 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    Option        "ZAxisMapping" "4 5 6 7" |     => suggestions : ['']
55 Espace(s) surnuméraire(s) à supprimer. =>    Option        "ZAxisMapping" "4 5 6 7" |          => suggestions : [' ']
55 Guillemets typographiques ouvrants. =>    Option        "ZAxisMapping" "4 5 6 7" | " => suggestions : ['«\xa0', '“']
55 Mot inconnu : ZAxisMapping =>    Option        "ZAxisMapping" "4 5 6 7" | zaxismapping
55 Guillemets typographiques fermants. =>    Option        "ZAxisMapping" "4 5 6 7" | " => suggestions : ['\xa0»', '”']
55 Guillemets typographiques ouvrants. =>    Option        "ZAxisMapping" "4 5 6 7" | " => suggestions : ['«\xa0', '“']
