
4 Mot inconnu : HP => ====== Ubuntu sur HP ProBook x360 11 G1  ====== <|> hp
4 Mot inconnu : ProBook => ====== Ubuntu sur HP ProBook x360 11 G1  ====== <|> probook
4 Mot inconnu : x360 => ====== Ubuntu sur HP ProBook x360 11 G1  ====== <|> x360
4 Mot inconnu : G1 => ====== Ubuntu sur HP ProBook x360 11 G1  ====== <|> g1
4 Espace(s) surnuméraire(s) à supprimer. => ====== Ubuntu sur HP ProBook x360 11 G1  ====== <|>    => suggestions : [' ']

6 Mot inconnu : only => <note important>Cette page traitera uniquement le cas d'un only boot.</note> <|> only
6 Mot inconnu : boot => <note important>Cette page traitera uniquement le cas d'un only boot.</note> <|> boot

10 Mot inconnu : linux => <note tip>Pour réussi à installer linux sur cet ordinateur, il suffit de suivre tout ce qui sera cité ci-dessous étape par étape, rien ne sert d'aller trop vite ! :)</note> <|> linux
13 Mot inconnu : usb =>   * Un Live usb <|> usb

22 Accord de nombre erroné : « bios » est au pluriel. => Commencez par démarrer votre ordinateur, il vous faut accéder au bios (f10 dans le cas du probook). <|> au => suggestions : ['aux']
22 Accord de nombre erroné : « bios » devrait être au singulier. => Commencez par démarrer votre ordinateur, il vous faut accéder au bios (f10 dans le cas du probook). <|> bios => suggestions : ['bio']
22 Mot inconnu : f10 => Commencez par démarrer votre ordinateur, il vous faut accéder au bios (f10 dans le cas du probook). <|> f10
22 Mot inconnu : probook => Commencez par démarrer votre ordinateur, il vous faut accéder au bios (f10 dans le cas du probook). <|> probook

24 Mot inconnu : secure => Désactivez le secure boot dans les paramètres avancés, il vous faudra également changer l'ordre d'amorçage. <|> secure
24 Mot inconnu : boot => Désactivez le secure boot dans les paramètres avancés, il vous faudra également changer l'ordre d'amorçage. <|> boot

26 Mot inconnu : usb => Placez le lecteur usb en première place, faites attention a ne pas avoir plusieurs périphériques usb brancher sur votre ordinateur. <|> usb
26 Confusion probable : “a” est une forme conjuguée du verbe “avoir”. Pour la préposition, écrivez “à”. => Placez le lecteur usb en première place, faites attention a ne pas avoir plusieurs périphériques usb brancher sur votre ordinateur. <|> a => suggestions : ['à']
26 Mot inconnu : usb => Placez le lecteur usb en première place, faites attention a ne pas avoir plusieurs périphériques usb brancher sur votre ordinateur. <|> usb

35 Confusion. La conjonction “ou” signale une alternative. Pour évoquer un lieu, un temps ou une situation, écrivez “où”. => l'installation va donc se lancer automatiquement, jusqu'au moment ou grub2 va finir par planter, a ce moment la il faut donc quitter le programme. <|> ou => suggestions : ['où']
35 Mot inconnu : grub2 => l'installation va donc se lancer automatiquement, jusqu'au moment ou grub2 va finir par planter, a ce moment la il faut donc quitter le programme. <|> grub2
35 Confusion probable. Écrivez “là” si vous voulez dire “ici”. => l'installation va donc se lancer automatiquement, jusqu'au moment ou grub2 va finir par planter, a ce moment la il faut donc quitter le programme. <|> la => suggestions : ['là']
37 Mot inconnu : initaliser => Une session ubuntu live va s'initaliser, tout va se passer sur cette session. <|> initaliser

45 Mot inconnu : booter => A) On va booter en technique CHROOT <|> booter
45 Mot inconnu : CHROOT => A) On va booter en technique CHROOT <|> chroot

47 Espace(s) surnuméraire(s) à supprimer. => 1) Mettre le clavier en français  avec cette commande   <|>    => suggestions : [' ']
47 Espace(s) en fin de ligne à supprimer. => 1) Mettre le clavier en français  avec cette commande   <|>    => suggestions : ['']

51 Espace(s) surnuméraire(s) à supprimer. => 2) Se  mettre en mode administrateur pour  simplifier la frappe des commandes <|>    => suggestions : [' ']
51 Espace(s) surnuméraire(s) à supprimer. => 2) Se  mettre en mode administrateur pour  simplifier la frappe des commandes <|>    => suggestions : [' ']

54 Espace(s) surnuméraire(s) à supprimer. => 3) Monter la partition système à cibler  en frappant la commande suivante <|>    => suggestions : [' ']

57 Espace(s) surnuméraire(s) à supprimer. => 4) Monter les  répertoires  avec ces commandes (copier/coller). <|>    => suggestions : [' ']
57 Espace(s) surnuméraire(s) à supprimer. => 4) Monter les  répertoires  avec ces commandes (copier/coller). <|>    => suggestions : [' ']
57 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => 4) Monter les  répertoires  avec ces commandes (copier/coller). <|> copier/coller => suggestions : ['copier-coller', 'copié-collé', 'copiée-collée', 'copiés-collés', 'copiées-collées']
80 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Si cette commande donne comme nom ubuntu, il ne faut pas continuer car le support d'installation deviendrait inutilisable et devrait être refait.</note> <|>  car => suggestions : [', car']

84 Mot inconnu : secure => 1) On va invalider les modules liés au secure boot <|> secure
84 Mot inconnu : boot => 1) On va invalider les modules liés au secure boot <|> boot

100 Mot inconnu : boot => 3) Monter la partition destinée à recevoir la structure de boot  avec ces commandes <|> boot
100 Espace(s) surnuméraire(s) à supprimer. => 3) Monter la partition destinée à recevoir la structure de boot  avec ces commandes <|>    => suggestions : [' ']

105 Mot inconnu : boot => 4) Installer le logiciel de boot de la partie 64 bits qui est absent. Seule la partie 32 bits a été installée. On met un logiciel NON-SECURE boot. <|> boot
105 Mot inconnu : NON-SECURE => 4) Installer le logiciel de boot de la partie 64 bits qui est absent. Seule la partie 32 bits a été installée. On met un logiciel NON-SECURE boot. <|> non-secure
105 Mot inconnu : boot => 4) Installer le logiciel de boot de la partie 64 bits qui est absent. Seule la partie 32 bits a été installée. On met un logiciel NON-SECURE boot. <|> boot

111 Mot inconnu : boot => 5) Générer les fichiers de boot en précisant  de ne pas toucher à la RAM avec ces commandes <|> boot
111 Espace(s) surnuméraire(s) à supprimer. => 5) Générer les fichiers de boot en précisant  de ne pas toucher à la RAM avec ces commandes <|>    => suggestions : [' ']

116 Mot inconnu : boot => 6) Rétablir le boot de windows. <|> boot

118 Mot inconnu : boot => La structure de boot de windows a été éliminée,  Elle est à recréer <|> boot
118 Espace(s) surnuméraire(s) à supprimer. => La structure de boot de windows a été éliminée,  Elle est à recréer <|>    => suggestions : [' ']

122 Mot inconnu : boot => 7) Dupliquer le logiciel de boot de ubuntu  dans la structure windows <|> boot
122 Élision de l’article devant un mot commençant par une voyelle. => 7) Dupliquer le logiciel de boot de ubuntu  dans la structure windows <|> de  => suggestions : ['d’']
122 Espace(s) surnuméraire(s) à supprimer. => 7) Dupliquer le logiciel de boot de ubuntu  dans la structure windows <|>    => suggestions : [' ']

126 Mot inconnu : boot => 8) Dire que le boot  ubuntu remplace le boot windows <|> boot
126 Espace(s) surnuméraire(s) à supprimer. => 8) Dire que le boot  ubuntu remplace le boot windows <|>    => suggestions : [' ']
126 Mot inconnu : boot => 8) Dire que le boot  ubuntu remplace le boot windows <|> boot

132 Espace(s) surnuméraire(s) à supprimer. => 1) Quitter  le Ubuntu installé et revenir dans l'installateur en quittant le mode chroot <|>    => suggestions : [' ']
132 Mot inconnu : chroot => 1) Quitter  le Ubuntu installé et revenir dans l'installateur en quittant le mode chroot <|> chroot

136 Espace(s) surnuméraire(s) à supprimer. => 2) Arrêter  l'ordinateur, Débrancher la clé et booter puis profiter. <|>    => suggestions : [' ']
136 Mot inconnu : booter => 2) Arrêter  l'ordinateur, Débrancher la clé et booter puis profiter. <|> booter

139 Mot inconnu : boot => <note tip>//Si vous cherchez un dual boot sur cette ordinateur ? voilà peut être la solution// <|> boot
139 Accord de genre erroné : « ordinateur » est masculin. => <note tip>//Si vous cherchez un dual boot sur cette ordinateur ? voilà peut être la solution// <|> cette => suggestions : ['cet']
139 Accord de genre erroné : « cette » est un déterminant féminin. => <note tip>//Si vous cherchez un dual boot sur cette ordinateur ? voilà peut être la solution// <|> ordinateur => suggestions : ['ordinatrice']

141 Mot inconnu : Refind => <note tip>Une autre solution avec Refind comme bootloader est disponible ici : [[https://antt0n.github.io/papers/lordi-linux.pdf]]</note> <|> refind
141 Mot inconnu : bootloader => <note tip>Une autre solution avec Refind comme bootloader est disponible ici : [[https://antt0n.github.io/papers/lordi-linux.pdf]]</note> <|> bootloader

143 Mot inconnu : users => Je tiens à remercier tout les users de ce thread de m'avoir aider : https://forum.ubuntu-fr.org/viewtopic.php?id=2045803 <|> users
143 Confusion : employez un participe passé. => Je tiens à remercier tout les users de ce thread de m'avoir aider : https://forum.ubuntu-fr.org/viewtopic.php?id=2045803 <|> aider => suggestions : ['aidé']
