
4 Mot inconnu : Budgie => ====== Ubuntu Budgie ====== | budgie

7 Guillemets typographiques ouvrants. => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : Budgie => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | budgie
7 Guillemets typographiques fermants. => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | " => suggestions : ['\xa0»', '”']
7 Mot inconnu : Budgie => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | budgie
7 Guillemets typographiques ouvrants. => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : Solus => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | solus
7 Mot inconnu : Project => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | project
7 Guillemets typographiques fermants. => Auparavant nommée "Budgie Remix", cette variante propose l'environnement de bureau Budgie, développé depuis 2013 par la distribution indépendante "Solus Project". | " => suggestions : ['\xa0»', '”']

12 Mot inconnu : Budgie-Menu => ^ Budgie-Menu \\ menu avec catégories et recherche intégrée ^ Le dock [[Plank]] (à gauche) \\ Le panneau multifonction **Raven** (à droite) ^ | budgie-menu
12 Mot inconnu : Plank => ^ Budgie-Menu \\ menu avec catégories et recherche intégrée ^ Le dock [[Plank]] (à gauche) \\ Le panneau multifonction **Raven** (à droite) ^ | plank
12 Mot inconnu : Raven => ^ Budgie-Menu \\ menu avec catégories et recherche intégrée ^ Le dock [[Plank]] (à gauche) \\ Le panneau multifonction **Raven** (à droite) ^ | raven

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - [[http://cdimage.ubuntu.com/ubuntu-budgie/releases/|Télécharger l'image ISO UbuntuBudgie]]; |    => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - [[http://cdimage.ubuntu.com/ubuntu-budgie/releases/|Télécharger l'image ISO UbuntuBudgie]]; |  -  => suggestions : [' – ', ' — ', ' − ']
18 Mot inconnu : UbuntuBudgie =>   - [[http://cdimage.ubuntu.com/ubuntu-budgie/releases/|Télécharger l'image ISO UbuntuBudgie]]; | ubuntubudgie

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ubuntu 18.04 |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  <note>Pour une installation sous Ubuntu 16.04 il faut ajouter un le [[ppa]] **ppa:budgie-remix/ppa**.</note> |   => suggestions : ['']
