
3 Mot inconnu : XLink => ====== XLink Kai ====== | xlink
3 Mot inconnu : Kai => ====== XLink Kai ====== | kai

5 Espace(s) surnuméraire(s) à supprimer. => <note important>Cette page est incomplète, n'hésitez pas à la modifier et  rajouter des sections ;-) !</note> |    => suggestions : [' ']

12 Mot inconnu : XLink => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | xlink
12 Mot inconnu : Kai => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | kai
12 Mot inconnu : Xbox => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | xbox
12 Mot inconnu : PSP => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | psp
12 Mot inconnu : Playstation => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | playstation
12 Mot inconnu : Xbox => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | xbox
12 Mot inconnu : Xbox => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | xbox
12 Mot inconnu : CWF => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | cwf
12 Mot inconnu : CWF => XLink Kai est un logiciel qui permet de jouer en ligne avec une console de jeux-vidéo Xbox, Gamecube, PSP, Playstation 2 et Xbox 360. On pourrait le comparer comme alternative gratuite aux services de jeux en ligne Xbox Live <del>et CWF Nintendo</del> (CWF n'a JAMAIS été payant !). | cwf

14 Mot inconnu : language => Il existe plusieurs interfaces graphiques en différent language (de programmation) pour Xlink Kai. | language
14 Mot inconnu : Xlink => Il existe plusieurs interfaces graphiques en différent language (de programmation) pour Xlink Kai. | xlink
14 Mot inconnu : Kai => Il existe plusieurs interfaces graphiques en différent language (de programmation) pour Xlink Kai. | kai

16 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Avant de continuer, veuillez-vous assurer que vous possédez un jeu compatible avec les modes multi-Consoles ou multi-Joueurs, un routeur (ou une 2ème carte réseau avec un câble RJ45 __croisé__) et une des consoles mentionnés ci-dessus :-D . | 2ème => suggestions : ['2ᵉ']
16 Mot inconnu : RJ45 => Avant de continuer, veuillez-vous assurer que vous possédez un jeu compatible avec les modes multi-Consoles ou multi-Joueurs, un routeur (ou une 2ème carte réseau avec un câble RJ45 __croisé__) et une des consoles mentionnés ci-dessus :-D . | rj45
16 Mot inconnu : __croisé__ => Avant de continuer, veuillez-vous assurer que vous possédez un jeu compatible avec les modes multi-Consoles ou multi-Joueurs, un routeur (ou une 2ème carte réseau avec un câble RJ45 __croisé__) et une des consoles mentionnés ci-dessus :-D . | __croisé__

22 Guillemets typographiques ouvrants. => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | " => suggestions : ['«\xa0', '“']
22 Mot inconnu : __ => Configurer votre routeur grâce à l'article "__**Configurer votre routeur pas à pas**__" disponible sur Clubic en suivant ce lien -> [[https://www.clubic.com/article-31687-1-configurer-votre-routeur-pas-a-pas.html]] , n'oubliez pas d'autoriser les ports 34522, 34523 et 34525. | __
