
3 Mot inconnu : FOG => ====== FOG ====== | fog

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * gestion de parc informatique (inscription des machines du parc) |    => suggestions : ['']

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * déploiement d'images système (Debian, Ubuntu, Windows, MacOS) |    => suggestions : ['']
6 Mot inconnu : MacOS =>   * déploiement d'images système (Debian, Ubuntu, Windows, MacOS) | macos

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * exécution de scripts sur un ensemble de machine |    => suggestions : ['']

9 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => A l'origine, FOG cible le milieu scolaire où il est très régulier de re-déployer des machines. Aujourd'hui utilisé par de nombreuses entreprises, la solution a énormément évolué ces dernières années. L'interface est très facile à utiliser et l'équipe de développement ainsi que la communauté sont fort agréables. | a => suggestions : ['À']
9 Mot inconnu : FOG => A l'origine, FOG cible le milieu scolaire où il est très régulier de re-déployer des machines. Aujourd'hui utilisé par de nombreuses entreprises, la solution a énormément évolué ces dernières années. L'interface est très facile à utiliser et l'équipe de développement ainsi que la communauté sont fort agréables. | fog

11 Mot inconnu : FOG => FOG est livré avec un script d'installation permettant d'installer tout le nécessaire pour qu'il fonctionne aussi bien sous Ubuntu que sous Debian (testé sous Debian Jessie). | fog

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir une adresse IP fixe pour le serveur. |    => suggestions : ['']

20 Mot inconnu : FOG => <note important>Il est fortement recommandé d'installer FOG sur un serveur dédié ou du moins, de l'installer en tout premier. En effet, le script d'installation est prévu pour un système fraichement installé.</note> | fog

22 Mot inconnu : FOG => ==== FOG 1.5+ (git) ==== | fog

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   apt-get install git |    => suggestions : ['']
24 Mot inconnu : apt-get =>   apt-get install git | apt-get
24 Mot inconnu : install =>   apt-get install git | install

26 Mot inconnu : github => Maintenant nous allons cloner le dépôt github : | github

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /opt |    => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     git clone https://github.com/fogproject/fogproject.git fog_stable/ |      => suggestions : ['']
28 Mot inconnu : fog_stable =>     git clone https://github.com/fogproject/fogproject.git fog_stable/ | fog_stable

31 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Il ne reste plus qu'a utiliser le script d'installation : | a => suggestions : ['à']
31 Incohérence probable avec “a” : “utiliser” n’est pas un participe passé. => Il ne reste plus qu'a utiliser le script d'installation : | utiliser => suggestions : ['utilisé']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd fog_stable/bin |    => suggestions : ['']
32 Mot inconnu : fog_stable =>   cd fog_stable/bin | fog_stable

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./installfog.sh |    => suggestions : ['']
33 Mot inconnu : installfog =>   ./installfog.sh | installfog
33 Mot inconnu : sh =>   ./installfog.sh | sh

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

36 Mot inconnu : FOG => Pour maintenir à jour la version git de FOG, il suffit de synchroniser le dépôt local et ré-exécuter le script d'installation : | fog

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd /opt |    => suggestions : ['']

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   git pull |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   cd fog_stable/bin |    => suggestions : ['']
39 Mot inconnu : fog_stable =>   cd fog_stable/bin | fog_stable

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ./installfog.sh |    => suggestions : ['']
40 Mot inconnu : installfog =>   ./installfog.sh | installfog
40 Mot inconnu : sh =>   ./installfog.sh | sh

54 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => •A cette étape on vous demande quel type d'installation préférez vous, Mettre N | a => suggestions : ['À']
54 Forme interrogative ? Mettez un trait d’union. => •A cette étape on vous demande quel type d'installation préférez vous, Mettre N | préférez vous => suggestions : ['préférez-vous']

58 Guillemets typographiques ouvrants. => •Ici il faut appuyer sur "entrer", il vous demande si l’adresse IP mise entre crochet est la bonne | " => suggestions : ['«\xa0', '“']
58 Guillemets typographiques fermants. => •Ici il faut appuyer sur "entrer", il vous demande si l’adresse IP mise entre crochet est la bonne | " => suggestions : ['\xa0»', '”']

62 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => •A ce moment-là,  il faut mettre N sauf si votre serveur possède plusieurs cartes réseaux et que vous voulez passer à une autre carte réseau | a => suggestions : ['À']
62 Espace(s) surnuméraire(s) à supprimer. => •A ce moment-là,  il faut mettre N sauf si votre serveur possède plusieurs cartes réseaux et que vous voulez passer à une autre carte réseau |    => suggestions : [' ']

66 Incohérence avec “du” : “router” est un verbe. => •Répondre Y pour indiquer l’adresse IP du router | router => suggestions : ['route', 'routes']

70 Il manque un espace avant la parenthèse. => •Ici il faut indiquer l’adresse IP de votre router(box) | ( => suggestions : [' (']

74 Espace(s) en fin de ligne à supprimer. => •Répondre Y pour indiquer une adresse IP d’un serveur DNS  |   => suggestions : ['']

