
5 Mot inconnu : GeoGebra => ====== GeoGebra ====== | geogebra

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

16 Mot inconnu : cherograme => ===== Installation =====cherograme | cherograme

18 Mot inconnu : GeoGebra => <note important>La version de GeoGebra présente dans les dépôts est obsolète et ne fonctionne plus à partir de la version 18.04.</note> | geogebra

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Sous Ubuntu : **[[apt>geogebra-gnome]]** |    => suggestions : ['']
23 Mot inconnu : geogebra-gnome =>   * Sous Ubuntu : **[[apt>geogebra-gnome]]** | geogebra-gnome

25 Mot inconnu : GeoGebra => ==== Installer une version plus récente GeoGebra 5 ou 6 ==== | geogebra

26 Mot inconnu : GeoGebra => <note important>Désinstaller préalablement toute ancienne version de GeoGebra pouvant rentrer en conflit avec la nouvelle version (5.0).</note> | geogebra

27 Mot inconnu : GeoGebra => Ajouter le dépôt de GeoGebra dans vos **sources de logiciels** (ligne APT) : | geogebra

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo add-apt-repository "deb http://www.geogebra.net/linux/ stable main" |    => suggestions : ['']
28 Mot inconnu : sudo =>   sudo add-apt-repository "deb http://www.geogebra.net/linux/ stable main" | sudo
28 Mot inconnu : add-apt-repository =>   sudo add-apt-repository "deb http://www.geogebra.net/linux/ stable main" | add-apt-repository
28 Guillemets typographiques ouvrants. =>   sudo add-apt-repository "deb http://www.geogebra.net/linux/ stable main" | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : deb =>   sudo add-apt-repository "deb http://www.geogebra.net/linux/ stable main" | deb
28 Guillemets typographiques fermants. =>   sudo add-apt-repository "deb http://www.geogebra.net/linux/ stable main" | " => suggestions : ['\xa0»', '”']

29 Mot inconnu : __Décocher__ => __Décocher__ le dépôt du //code source// ajouté automatiquement (il provoque une erreur 404 lors de la recharge des paquets). | __décocher__

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update |    => suggestions : ['']
32 Mot inconnu : sudo =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | sudo
32 Mot inconnu : apt-key =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | apt-key
32 Mot inconnu : adv =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | adv
32 Mot inconnu : keyserver =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | keyserver
32 Mot inconnu : recv-keys =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | recv-keys
32 Mot inconnu : C072A32983A736CF =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | c072a32983a736cf
32 Espace(s) surnuméraire(s) à supprimer. =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update |    => suggestions : [' ']
32 Mot inconnu : sudo =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | sudo
32 Mot inconnu : apt-get =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | apt-get
32 Mot inconnu : update =>   sudo apt-key adv --keyserver keyserver.ubuntu.com --recv-keys C072A32983A736CF  &&   sudo apt-get update | update

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators |    => suggestions : ['']
34 Mot inconnu : sudo =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators | sudo
34 Mot inconnu : apt-get =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators | apt-get
34 Mot inconnu : install =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators | install
34 Mot inconnu : geogebra5 =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators | geogebra5
34 Mot inconnu : geogebra-classic =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators | geogebra-classic
34 Mot inconnu : geogebra-math-apps =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators | geogebra-math-apps
34 Mot inconnu : geogebra-math-calculators =>   sudo apt-get install geogebra5 geogebra-classic geogebra-math-apps geogebra-math-calculators | geogebra-math-calculators

35 Mot inconnu : GeoGebra_Installation => Voir cette [[https://wiki.geogebra.org/en/Reference:GeoGebra_Installation|page]], section //Repository// pour plus d'informations. | geogebra_installation
35 Mot inconnu : Repository => Voir cette [[https://wiki.geogebra.org/en/Reference:GeoGebra_Installation|page]], section //Repository// pour plus d'informations. | repository

37 Mot inconnu : nautilus => === Vignettes dans nautilus === | nautilus

38 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Paquet qui permet de visualiser les vignettes des fichiers .ggb de geogebra 5 et 6 ne nécessitant pas l'installation de géogebra : [[https://framadrive.org/s/jcr6wjY0IAsZh9u/download]] , 32 bits & 64 bits |  . => suggestions : ['. ', '.']
38 Mot inconnu : ggb => Paquet qui permet de visualiser les vignettes des fichiers .ggb de geogebra 5 et 6 ne nécessitant pas l'installation de géogebra : [[https://framadrive.org/s/jcr6wjY0IAsZh9u/download]] , 32 bits & 64 bits | ggb
38 Mot inconnu : geogebra => Paquet qui permet de visualiser les vignettes des fichiers .ggb de geogebra 5 et 6 ne nécessitant pas l'installation de géogebra : [[https://framadrive.org/s/jcr6wjY0IAsZh9u/download]] , 32 bits & 64 bits | geogebra
38 Mot inconnu : géogebra => Paquet qui permet de visualiser les vignettes des fichiers .ggb de geogebra 5 et 6 ne nécessitant pas l'installation de géogebra : [[https://framadrive.org/s/jcr6wjY0IAsZh9u/download]] , 32 bits & 64 bits | géogebra
38 Pas d’espace avant une virgule. => Paquet qui permet de visualiser les vignettes des fichiers .ggb de geogebra 5 et 6 ne nécessitant pas l'installation de géogebra : [[https://framadrive.org/s/jcr6wjY0IAsZh9u/download]] , 32 bits & 64 bits |  , => suggestions : [',']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tous les objets créés sont nommés automatiquement. |    => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'interface est d'une grande clarté et assez intuitive (un point créé à l'intersection de deux objets appartiendra à ces deux objets). |    => suggestions : ['']

