
5 Mot inconnu : GTKTERM => ====== GTKTERM : Emulateur de terminal ====== | gtkterm
5 Mot inconnu : Emulateur => ====== GTKTERM : Emulateur de terminal ====== | emulateur

7 Mot inconnu : GTKTerm => GTKTerm est un émulateur de terminal écrit avec GTK+, donc parfaitement conçu pour l'environnement Gnome. | gtkterm

8 Mot inconnu : Hyperterminal => Il est un clone, beaucoup plus simple, du fameux Hyperterminal. À ce titre, il permet donc de communiquer avec tout périphérique sur le port série, sans toutefois gérer tous les protocoles modem série. | hyperterminal

11 Mot inconnu : GTKTERM => **Principales caractéristiques de GTKTERM :** | gtkterm

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

32 Guillemets typographiques ouvrants. => Une nouvelle fenêtre s'ouvrira avec le terminal de port série, pour configurer ce dernier et lire le port correct, cliquez sur l'onglet //"configuration"// puis //"port"//. | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Une nouvelle fenêtre s'ouvrira avec le terminal de port série, pour configurer ce dernier et lire le port correct, cliquez sur l'onglet //"configuration"// puis //"port"//. | " => suggestions : ['\xa0»', '”']
32 Guillemets typographiques ouvrants. => Une nouvelle fenêtre s'ouvrira avec le terminal de port série, pour configurer ce dernier et lire le port correct, cliquez sur l'onglet //"configuration"// puis //"port"//. | " => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => Une nouvelle fenêtre s'ouvrira avec le terminal de port série, pour configurer ce dernier et lire le port correct, cliquez sur l'onglet //"configuration"// puis //"port"//. | " => suggestions : ['\xa0»', '”']
