
3 Mot inconnu : PSSH => ====== PSSH (parallel-ssh) ====== | pssh
3 Mot inconnu : parallel-ssh => ====== PSSH (parallel-ssh) ====== | parallel-ssh

4 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>      |      => suggestions : ['']

5 Mot inconnu : Pssh => **Pssh** est un outil en ligne de commande pour exécuter des commandes unix via **ssh** en parallèle sur plusieurs hôtes. Ses spécialités comprennent: | pssh
5 Mot inconnu : unix => **Pssh** est un outil en ligne de commande pour exécuter des commandes unix via **ssh** en parallèle sur plusieurs hôtes. Ses spécialités comprennent: | unix
5 Mot inconnu : ssh => **Pssh** est un outil en ligne de commande pour exécuter des commandes unix via **ssh** en parallèle sur plusieurs hôtes. Ses spécialités comprennent: | ssh

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *     Envoi de données à tous les clients |    => suggestions : ['']

7 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *     Saisie unique d'un mot de passe pour ssh |    => suggestions : ['']
7 Mot inconnu : ssh =>   *     Saisie unique d'un mot de passe pour ssh | ssh

8 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *     Enregistrement de la sortie dans des fichiers ou visionnage direct |    => suggestions : ['']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   *     Automatisation des tâches **sysadmin** telles que l'application de correctifs aux serveurs, les mises à jour, l'installation de paquets, la configuration,... |    => suggestions : ['']
9 Erreur de numérisation ? Virgules au lieu de points ? =>   *     Automatisation des tâches **sysadmin** telles que l'application de correctifs aux serveurs, les mises à jour, l'installation de paquets, la configuration,... | ,... => suggestions : ['….']
9 Typographie : points de suspension. Utilisez le caractère dédié. =>   *     Automatisation des tâches **sysadmin** telles que l'application de correctifs aux serveurs, les mises à jour, l'installation de paquets, la configuration,... | ... => suggestions : ['…']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Envoi de fichiers à tous les serveurs |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gestion des processus |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Compatible avec tous les Linux, Unix et freeBSD |    => suggestions : ['']
12 Mot inconnu : freeBSD =>   * Compatible avec tous les Linux, Unix et freeBSD | freebsd

18 Accord de nombre erroné : « postes » devrait être au singulier. => Sur chaque postes clients il s'agira de :  | postes => suggestions : ['poste']
18 Espace(s) en fin de ligne à supprimer. => Sur chaque postes clients il s'agira de :  |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Configurer ces serveurs ssh pour qu'il accepte les connexions root et les autorisations par clefs et non mot de passe : |    => suggestions : ['']
21 Mot inconnu : ssh =>   * Configurer ces serveurs ssh pour qu'il accepte les connexions root et les autorisations par clefs et non mot de passe : | ssh
21 Mot inconnu : root =>   * Configurer ces serveurs ssh pour qu'il accepte les connexions root et les autorisations par clefs et non mot de passe : | root

23 Mot inconnu : PermitRootLogin => PermitRootLogin yes | permitrootlogin
23 Mot inconnu : yes => PermitRootLogin yes | yes

24 Mot inconnu : PubkeyAuthentication => PubkeyAuthentication yes</file> | pubkeyauthentication
24 Mot inconnu : yes => PubkeyAuthentication yes</file> | yes

31 Mot inconnu : pssh => ===== Installer pssh ===== | pssh

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

35 Mot inconnu : pssh => ===== pssh / parallel-ssh ===== | pssh
35 Mot inconnu : parallel-ssh => ===== pssh / parallel-ssh ===== | parallel-ssh

37 Mot inconnu : debian => Sous debian sid, l'utiliaire **pssh** s'appelle **parallel-ssh** (sous d'autres distributions c'est simplement **pssh**). | debian
37 Mot inconnu : sid => Sous debian sid, l'utiliaire **pssh** s'appelle **parallel-ssh** (sous d'autres distributions c'est simplement **pssh**). | sid
37 Mot inconnu : utiliaire => Sous debian sid, l'utiliaire **pssh** s'appelle **parallel-ssh** (sous d'autres distributions c'est simplement **pssh**). | utiliaire
37 Mot inconnu : pssh => Sous debian sid, l'utiliaire **pssh** s'appelle **parallel-ssh** (sous d'autres distributions c'est simplement **pssh**). | pssh
37 Mot inconnu : parallel-ssh => Sous debian sid, l'utiliaire **pssh** s'appelle **parallel-ssh** (sous d'autres distributions c'est simplement **pssh**). | parallel-ssh
37 Mot inconnu : pssh => Sous debian sid, l'utiliaire **pssh** s'appelle **parallel-ssh** (sous d'autres distributions c'est simplement **pssh**). | pssh

39 Mot inconnu : parallel-ssh => Ici nous utiliserons **parallel-ssh** par défaut (adapter à votre configuration) | parallel-ssh

41 Mot inconnu : ssh => ===== Utiliser une paire de clef publique/privée pour l’identification ssh ===== | ssh

43 Pas d’espace avant une virgule. => Construire sa clef , sauf si on en a déjà une (compte $USER, non en root) |  , => suggestions : [',']
43 Mot inconnu : root => Construire sa clef , sauf si on en a déjà une (compte $USER, non en root) | root
44 Espace(s) en fin de ligne à supprimer. => <code bash>ssh-keygen</code>  |   => suggestions : ['']
45 Il manque un espace à côté du tiret. => Vérifiez par <code bash>ls -l .ssh/ </code> |  - => suggestions : [' – ', ' — ']
45 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Vérifiez par <code bash>ls -l .ssh/ </code> |  . => suggestions : ['. ', '.']

51 Dialogues et énumérations : il faut tiret cadratin [1] ou demi-cadratin [2] suivi d’un espace insécable. => -rw-r--r-- 1 ragnarok cyrille 2220 mars  14 16:42 known_hosts</code> | - => suggestions : ['—\xa0', '–\xa0']
51 Mot inconnu : rw-r => -rw-r--r-- 1 ragnarok cyrille 2220 mars  14 16:42 known_hosts</code> | rw-r
51 Mot inconnu : ragnarok => -rw-r--r-- 1 ragnarok cyrille 2220 mars  14 16:42 known_hosts</code> | ragnarok
51 Mot inconnu : cyrille => -rw-r--r-- 1 ragnarok cyrille 2220 mars  14 16:42 known_hosts</code> | cyrille
51 Espace(s) surnuméraire(s) à supprimer. => -rw-r--r-- 1 ragnarok cyrille 2220 mars  14 16:42 known_hosts</code> |    => suggestions : [' ']
51 Mot inconnu : known_hosts => -rw-r--r-- 1 ragnarok cyrille 2220 mars  14 16:42 known_hosts</code> | known_hosts

57 Mot inconnu : hosts => Ce fichier renferme la liste des hosts vers lesquels les commandes seront envoyées. | hosts

59 Espace(s) surnuméraire(s) à supprimer. => Ici, cette liste sera stockée dans  **/etc/ssh/pssh_host** mais vous pouvez créer un fichier de ce type où vous le souhaitez (souvent, le fichier **~/.pssh_hosts_files** est utilisé) |    => suggestions : [' ']
59 Mot inconnu : pssh_hosts_files => Ici, cette liste sera stockée dans  **/etc/ssh/pssh_host** mais vous pouvez créer un fichier de ce type où vous le souhaitez (souvent, le fichier **~/.pssh_hosts_files** est utilisé) | pssh_hosts_files

61 Mot inconnu : hosts => Créer un fichier contenant les hosts | hosts

71 Typographie : points de suspension. Utilisez le caractère dédié. => ...</file> | ... => suggestions : ['…']

83 Typographie : points de suspension. Utilisez le caractère dédié. => ...</code> | ... => suggestions : ['…']

98 Mot inconnu : and => and check to make sure that only the key(s) you wanted were added.</code> | and
98 Mot inconnu : check => and check to make sure that only the key(s) you wanted were added.</code> | check
98 Mot inconnu : to => and check to make sure that only the key(s) you wanted were added.</code> | to
98 Mot inconnu : make => and check to make sure that only the key(s) you wanted were added.</code> | make
98 Mot inconnu : that => and check to make sure that only the key(s) you wanted were added.</code> | that
98 Mot inconnu : only => and check to make sure that only the key(s) you wanted were added.</code> | only
98 Mot inconnu : the => and check to make sure that only the key(s) you wanted were added.</code> | the
98 Mot inconnu : key => and check to make sure that only the key(s) you wanted were added.</code> | key
98 Écriture invariable. Utilisez un point médian. => and check to make sure that only the key(s) you wanted were added.</code> | key(s) => suggestions : ['key·s']
98 Mot inconnu : you => and check to make sure that only the key(s) you wanted were added.</code> | you
