
5 Il manque un espace après la parenthèse. => ====== Installer un validateur (x)html ====== | ) => suggestions : [') ']
5 Mot inconnu : html => ====== Installer un validateur (x)html ====== | html

7 Il manque un espace après la parenthèse. => Il est possible sous Ubuntu d'installer un validateur (x)html pour vérifier la conformité de ses pages.  | ) => suggestions : [') ']
7 Mot inconnu : html => Il est possible sous Ubuntu d'installer un validateur (x)html pour vérifier la conformité de ses pages.  | html
7 Espace(s) en fin de ligne à supprimer. => Il est possible sous Ubuntu d'installer un validateur (x)html pour vérifier la conformité de ses pages.  |   => suggestions : ['']

17 Mot inconnu : w3c => Le [[http://validator.w3.org|validateur du w3c]] est disponible sous Ubuntu.  | w3c
17 Espace(s) en fin de ligne à supprimer. => Le [[http://validator.w3.org|validateur du w3c]] est disponible sous Ubuntu.  |   => suggestions : ['']
20 Mot inconnu : Gutsy => Utilisez ce lien apt si vous êtes sous Gutsy: [[apt://w3c-markup-validator|installer le paquet w3c-markup-validator]]. | gutsy
20 Mot inconnu : w3c-markup-validator => Utilisez ce lien apt si vous êtes sous Gutsy: [[apt://w3c-markup-validator|installer le paquet w3c-markup-validator]]. | w3c-markup-validator
20 Mot inconnu : w3c-markup-validator => Utilisez ce lien apt si vous êtes sous Gutsy: [[apt://w3c-markup-validator|installer le paquet w3c-markup-validator]]. | w3c-markup-validator

24 Espace(s) surnuméraire(s) à supprimer. => === Version 0.7.2 et ultérieures  du validator === |    => suggestions : [' ']
24 Mot inconnu : validator => === Version 0.7.2 et ultérieures  du validator === | validator

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     sudo ln -s /etc/w3c/w3c-markup-validator-apache.conf /etc/apache2/mods-enabled/w3c.conf |      => suggestions : ['']
28 Mot inconnu : sudo =>     sudo ln -s /etc/w3c/w3c-markup-validator-apache.conf /etc/apache2/mods-enabled/w3c.conf | sudo
28 Il manque un espace à côté du tiret. =>     sudo ln -s /etc/w3c/w3c-markup-validator-apache.conf /etc/apache2/mods-enabled/w3c.conf |  - => suggestions : [' – ', ' — ']
28 Il manque un espace. =>     sudo ln -s /etc/w3c/w3c-markup-validator-apache.conf /etc/apache2/mods-enabled/w3c.conf | conf => suggestions : [' conf']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  /etc/w3c/validator.conf la ligne : |   => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Allow Private IPs = no |    => suggestions : ['']
33 Mot inconnu : Allow =>   Allow Private IPs = no | allow
33 Mot inconnu : Private =>   Allow Private IPs = no | private
33 Mot inconnu : IPs =>   Allow Private IPs = no | ips

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Allow Private IPs = yes |    => suggestions : ['']
37 Mot inconnu : Allow =>   Allow Private IPs = yes | allow
37 Mot inconnu : Private =>   Allow Private IPs = yes | private
37 Mot inconnu : IPs =>   Allow Private IPs = yes | ips
37 Mot inconnu : yes =>   Allow Private IPs = yes | yes
39 Espace(s) en fin de ligne à supprimer. => Pour enregistrer les modifications, on redémarre Apache :  |   => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo /etc/init.d/apache2 restart |    => suggestions : ['']
41 Mot inconnu : sudo =>   sudo /etc/init.d/apache2 restart | sudo
41 Mot inconnu : restart =>   sudo /etc/init.d/apache2 restart | restart

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ScriptAlias /validateur/check /usr/lib/cgi-bin/check  |    => suggestions : ['']
47 Mot inconnu : ScriptAlias =>   ScriptAlias /validateur/check /usr/lib/cgi-bin/check  | scriptalias
47 Mot inconnu : check =>   ScriptAlias /validateur/check /usr/lib/cgi-bin/check  | check
47 Espace(s) en fin de ligne à supprimer. =>   ScriptAlias /validateur/check /usr/lib/cgi-bin/check  |   => suggestions : ['']

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   ScriptAlias /validateur/checklink /usr/lib/cgi-bin/checklink  |    => suggestions : ['']
48 Mot inconnu : ScriptAlias =>   ScriptAlias /validateur/checklink /usr/lib/cgi-bin/checklink  | scriptalias
48 Mot inconnu : checklink =>   ScriptAlias /validateur/checklink /usr/lib/cgi-bin/checklink  | checklink
48 Espace(s) en fin de ligne à supprimer. =>   ScriptAlias /validateur/checklink /usr/lib/cgi-bin/checklink  |   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Alias /validateur /usr/share/w3c-markup-validator/html |    => suggestions : ['']

51 Mot inconnu : w3c => <note>Le validateur w3c utilise les SSI pour rendre les pages HTML. Pour que les SSI fonctionnent, il faut activer le module "include" d'Apache. | w3c
51 Guillemets typographiques ouvrants. => <note>Le validateur w3c utilise les SSI pour rendre les pages HTML. Pour que les SSI fonctionnent, il faut activer le module "include" d'Apache. | " => suggestions : ['«\xa0', '“']
51 Mot inconnu : include => <note>Le validateur w3c utilise les SSI pour rendre les pages HTML. Pour que les SSI fonctionnent, il faut activer le module "include" d'Apache. | include
51 Guillemets typographiques fermants. => <note>Le validateur w3c utilise les SSI pour rendre les pages HTML. Pour que les SSI fonctionnent, il faut activer le module "include" d'Apache. | " => suggestions : ['\xa0»', '”']

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo a2enmod include |    => suggestions : ['']
54 Mot inconnu : sudo =>   sudo a2enmod include | sudo
54 Mot inconnu : a2enmod =>   sudo a2enmod include | a2enmod
54 Mot inconnu : include =>   sudo a2enmod include | include

63 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo ln -s /etc/w3c/apache.conf /etc/apache2/mods-enabled/w3c.conf |    => suggestions : ['']
64 Mot inconnu : sudo =>   sudo ln -s /etc/w3c/apache.conf /etc/apache2/mods-enabled/w3c.conf | sudo
64 Il manque un espace à côté du tiret. =>   sudo ln -s /etc/w3c/apache.conf /etc/apache2/mods-enabled/w3c.conf |  - => suggestions : [' – ', ' — ']
64 Il manque un espace. =>   sudo ln -s /etc/w3c/apache.conf /etc/apache2/mods-enabled/w3c.conf | conf => suggestions : [' conf']

68 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Allow Private IPs 0 |    => suggestions : ['']
68 Mot inconnu : Allow =>   Allow Private IPs 0 | allow
68 Mot inconnu : Private =>   Allow Private IPs 0 | private
68 Mot inconnu : IPs =>   Allow Private IPs 0 | ips

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Allow Private IPs 1 |    => suggestions : ['']
72 Mot inconnu : Allow =>   Allow Private IPs 1 | allow
72 Mot inconnu : Private =>   Allow Private IPs 1 | private
72 Mot inconnu : IPs =>   Allow Private IPs 1 | ips

76 Mot inconnu : WDG => ==== Validateur WDG ===== | wdg

78 Mot inconnu : WDG => Au lieu (ou en plus) du validateur du W3C, on peut installer le [[http://www.htmlhelp.com/tools/validator/|validateur du WDG]]. | wdg

86 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   validate page.html |    => suggestions : ['']
86 Mot inconnu : validate =>   validate page.html | validate
86 Mot inconnu : html =>   validate page.html | html
