
3 Mot inconnu : mpv => ====== mpv ====== | mpv

5 Mot inconnu : mpv => **mpv** est un lecteur multimédia avec une interface graphique volontairement très simple, sans menu, prévue pour être commandée à la souris, au clavier, voire en ligne de commande. | mpv

7 Espace(s) en fin de ligne à supprimer. => Il prend en charge la plupart des formats audios et vidéos, si les pilotes en sont bien installés.  |   => suggestions : ['']

11 Mot inconnu : MPV => MPV n'ayant pas de menu pour ouvrir un fichier, il est adapté aux utilisateurs qui ont l'habitude de lancer leurs vidéos à partir de l'explorateur de fichier. | mpv

13 Accord de genre erroné : « version » est féminin. => Il existe un version avec un menu (dont celui d'ouverture de fichiers), **[[https://celluloid-player.github.io/|celluloid]]** (anciennement gnome-MPV). | un => suggestions : ['une']
13 Mot inconnu : gnome-MPV => Il existe un version avec un menu (dont celui d'ouverture de fichiers), **[[https://celluloid-player.github.io/|celluloid]]** (anciennement gnome-MPV). | gnome-mpv
19 Mot inconnu : ubuntu-restricted-extras => Si le fichier que vous souhaitez lire ne fonctionne pas (pas de son et/ou pas d'image), c'est sans doute que le [[https://fr.wikipedia.org/wiki/Codec|codec]] correspondant n'est pas installé dans Ubuntu. Pour installer les codecs complémentaires, cliquez ici [[apt>ubuntu-restricted-extras]], ou au terminal :  | ubuntu-restricted-extras
19 Espace(s) en fin de ligne à supprimer. => Si le fichier que vous souhaitez lire ne fonctionne pas (pas de son et/ou pas d'image), c'est sans doute que le [[https://fr.wikipedia.org/wiki/Codec|codec]] correspondant n'est pas installé dans Ubuntu. Pour installer les codecs complémentaires, cliquez ici [[apt>ubuntu-restricted-extras]], ou au terminal :  |   => suggestions : ['']

27 Mot inconnu : MPV => Il n'y a pas de menu d'ouverture de fichier dans MPV, donc il y a 3 solutions pour lancer une vidéo : | mpv

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si MPV est associé comme lecteur prioritaire aux fichiers vidéo sur votre système, double-cliquer sur un fichier le lancera dans MPV. C'est la solution la plus simple. |    => suggestions : ['']
28 Mot inconnu : MPV =>   * Si MPV est associé comme lecteur prioritaire aux fichiers vidéo sur votre système, double-cliquer sur un fichier le lancera dans MPV. C'est la solution la plus simple. | mpv
28 Mot inconnu : MPV =>   * Si MPV est associé comme lecteur prioritaire aux fichiers vidéo sur votre système, double-cliquer sur un fichier le lancera dans MPV. C'est la solution la plus simple. | mpv

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si MPV n'est pas associé aux vidéo, on peut faire clic-droit sur un fichier vidéo → ouvrir avec une autre application → choisir MPV. Le fichier s'ouvre dans MPV. |    => suggestions : ['']
29 Mot inconnu : MPV =>   * Si MPV n'est pas associé aux vidéo, on peut faire clic-droit sur un fichier vidéo → ouvrir avec une autre application → choisir MPV. Le fichier s'ouvre dans MPV. | mpv
29 Mot inconnu : MPV =>   * Si MPV n'est pas associé aux vidéo, on peut faire clic-droit sur un fichier vidéo → ouvrir avec une autre application → choisir MPV. Le fichier s'ouvre dans MPV. | mpv
29 Mot inconnu : MPV =>   * Si MPV n'est pas associé aux vidéo, on peut faire clic-droit sur un fichier vidéo → ouvrir avec une autre application → choisir MPV. Le fichier s'ouvre dans MPV. | mpv

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * On peut aussi lancer MPV sans fichier, puis déposer un fichier vidéo dessus par Drag & Drop (ce qui en lancera la lecture). Pour lancer MPV sans fichier, on peut : |    => suggestions : ['']
30 Mot inconnu : MPV =>   * On peut aussi lancer MPV sans fichier, puis déposer un fichier vidéo dessus par Drag & Drop (ce qui en lancera la lecture). Pour lancer MPV sans fichier, on peut : | mpv
30 Mot inconnu : MPV =>   * On peut aussi lancer MPV sans fichier, puis déposer un fichier vidéo dessus par Drag & Drop (ce qui en lancera la lecture). Pour lancer MPV sans fichier, on peut : | mpv

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       - Taper en ligne de commande **mpv --player-operation-mode=pseudo-gui** |        => suggestions : ['']
32 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>       - Taper en ligne de commande **mpv --player-operation-mode=pseudo-gui** |  -  => suggestions : [' – ', ' — ', ' − ']
32 Mot inconnu : mpv =>       - Taper en ligne de commande **mpv --player-operation-mode=pseudo-gui** | mpv
32 Mot inconnu : player-operation-mode =>       - Taper en ligne de commande **mpv --player-operation-mode=pseudo-gui** | player-operation-mode

38 Mot inconnu : __Les => __Les contrôles disponibles à la souris__ (des icônes en bas d'écran) apparaissent quand on bouge le pointeur de la souris. \\ | __les
38 Mot inconnu : souris__ => __Les contrôles disponibles à la souris__ (des icônes en bas d'écran) apparaissent quand on bouge le pointeur de la souris. \\ | souris__

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Faire un clic-droit sur l'image du film permet de mettre en pause, puis de relancer la lecture. |    => suggestions : ['']

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tourner la molette de la souris permet une avance ou un recul rapide de la vidéo. |    => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Tourner la molette sur l'icône du volume change celui-ci. |    => suggestions : ['']

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur le bouton de fermeture de la fenêtre ferme MPV. |    => suggestions : ['']
42 Mot inconnu : MPV =>   * Cliquer sur le bouton de fermeture de la fenêtre ferme MPV. | mpv

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur l'icône des sous-titres permet d'alterner entre eux. |    => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Cliquer sur l'icône des bandes sons permet d'alterner entre les langues disponibles. |    => suggestions : ['']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Double-cliquer dans une zone quelconque de la fenêtre permet d'alterner entre plein écran et écran fenêtré. |    => suggestions : ['']

47 Mot inconnu : __Les => __Les contrôles disponibles au clavier__ peuvent également très simplement commander le logiciel. Certaines options (zoom, par exemple) ne sont d'ailleurs pas disponibles à la souris. | __les
47 Mot inconnu : clavier__ => __Les contrôles disponibles au clavier__ peuvent également très simplement commander le logiciel. Certaines options (zoom, par exemple) ne sont d'ailleurs pas disponibles à la souris. | clavier__

48 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''Espace'' pour faire pause (ou redémarrer la lecture). |    => suggestions : ['']
48 Guillemets typographiques ouvrants. =>   * ''Espace'' pour faire pause (ou redémarrer la lecture). | '' => suggestions : ['«\xa0', '“']
48 Guillemets typographiques fermants. =>   * ''Espace'' pour faire pause (ou redémarrer la lecture). | '' => suggestions : ['\xa0»', '”']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''Flèches droite'' ou ''gauche'' pour avancer ou reculer de 5 secondes (laisser appuyé pour se déplacer rapidement). |    => suggestions : ['']
49 Guillemets typographiques ouvrants. =>   * ''Flèches droite'' ou ''gauche'' pour avancer ou reculer de 5 secondes (laisser appuyé pour se déplacer rapidement). | '' => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. =>   * ''Flèches droite'' ou ''gauche'' pour avancer ou reculer de 5 secondes (laisser appuyé pour se déplacer rapidement). | '' => suggestions : ['\xa0»', '”']
49 Guillemets typographiques ouvrants. =>   * ''Flèches droite'' ou ''gauche'' pour avancer ou reculer de 5 secondes (laisser appuyé pour se déplacer rapidement). | '' => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. =>   * ''Flèches droite'' ou ''gauche'' pour avancer ou reculer de 5 secondes (laisser appuyé pour se déplacer rapidement). | '' => suggestions : ['\xa0»', '”']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''Flèches haut'' ou ''bas'' pour avancer ou reculer de 60 secondes. |    => suggestions : ['']
50 Guillemets typographiques ouvrants. =>   * ''Flèches haut'' ou ''bas'' pour avancer ou reculer de 60 secondes. | '' => suggestions : ['«\xa0', '“']
50 Guillemets typographiques fermants. =>   * ''Flèches haut'' ou ''bas'' pour avancer ou reculer de 60 secondes. | '' => suggestions : ['\xa0»', '”']
50 Guillemets typographiques ouvrants. =>   * ''Flèches haut'' ou ''bas'' pour avancer ou reculer de 60 secondes. | '' => suggestions : ['«\xa0', '“']
50 Guillemets typographiques fermants. =>   * ''Flèches haut'' ou ''bas'' pour avancer ou reculer de 60 secondes. | '' => suggestions : ['\xa0»', '”']

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * ''s'' pour une capture de la vidéo. |    => suggestions : ['']
