
4 Mot inconnu : PhpCollab => ====== PhpCollab ====== | phpcollab

6 Mot inconnu : PhpCollab => PhpCollab permet de mettre en place un site Web de travail collaboratif pour gérer des projets en groupe de travail (groupware). | phpcollab
6 Mot inconnu : groupware => PhpCollab permet de mettre en place un site Web de travail collaboratif pour gérer des projets en groupe de travail (groupware). | groupware

8 Mot inconnu : PhpCollab => PhpCollab a les fonctions classiques de gestion de projet : | phpcollab

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion complète des étapes du projet |      => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Notifications des modifications |      => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Planning graphique |      => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Gestion de fichiers |      => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Partager des communications écrites |      => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Calendriers |      => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Signets |      => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Moteur de recherche |      => suggestions : ['']

19 Mot inconnu : PhpCollab => PhpCollab dispose d'une interface simple et efficace. À la fois rapide à charger et intuitive à manipuler. | phpcollab

20 Typographie : points de suspension. Utilisez le caractère dédié. => Chaque fonctionnalité (planning, fichiers...) associée au projet est implémentée dans un menu déroulant, le tout sur une seule page Web pour avoir une vue globale des projets. | ... => suggestions : ['…']

22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => //Plus de détails sur [[http://www.framasoft.net/article3625.html|Framasoft - phpCollab]]// |  -  => suggestions : [' – ', ' — ', ' − ']
22 Mot inconnu : phpCollab => //Plus de détails sur [[http://www.framasoft.net/article3625.html|Framasoft - phpCollab]]// | phpcollab

