
2 Mot inconnu : Yabause => ====== Yabause ====== | yabause

4 Mot inconnu : Yabause => Yabause est un émulateur libre de la Sega Saturn. Il est porté sous Windows, Linux, Mac OS X et FreeBSD. Il utilise OpenGL et SDL, un port moins avancé existe pour la Dreamcast. | yabause
4 Mot inconnu : Saturn => Yabause est un émulateur libre de la Sega Saturn. Il est porté sous Windows, Linux, Mac OS X et FreeBSD. Il utilise OpenGL et SDL, un port moins avancé existe pour la Dreamcast. | saturn
4 Mot inconnu : OpenGL => Yabause est un émulateur libre de la Sega Saturn. Il est porté sous Windows, Linux, Mac OS X et FreeBSD. Il utilise OpenGL et SDL, un port moins avancé existe pour la Dreamcast. | opengl
4 Mot inconnu : SDL => Yabause est un émulateur libre de la Sega Saturn. Il est porté sous Windows, Linux, Mac OS X et FreeBSD. Il utilise OpenGL et SDL, un port moins avancé existe pour la Dreamcast. | sdl
4 Mot inconnu : Dreamcast => Yabause est un émulateur libre de la Sega Saturn. Il est porté sous Windows, Linux, Mac OS X et FreeBSD. Il utilise OpenGL et SDL, un port moins avancé existe pour la Dreamcast. | dreamcast

10 Mot inconnu : Yabause => Yabause est disponible dans les dépôt : | yabause
10 Accord de nombre erroné : « dépôt » devrait être au pluriel. => Yabause est disponible dans les dépôt : | dépôt => suggestions : ['dépôts']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  apt://yabause |   => suggestions : ['']
11 Mot inconnu : yabause =>  apt://yabause | yabause

15 Mot inconnu : GitHub => Pour la version de développement, le code se trouve sur GitHub : https://github.com/Yabause/yabause | github

29 Mot inconnu : Yabause => Yabause n'émule pas tout, mais environ 2 jeux sur trois. Une liste peut être consultée sur le wiki de l'émulateur : http://wiki.yabause.org/index.php5?title=Compatibility_list | yabause
