5 Mot inconnu : The [[23:26]] => ====== Ubuntu 11.04 (« The Natty Narwhal ») ====== <|> the
5 Mot inconnu : Natty [[27:32]] => ====== Ubuntu 11.04 (« The Natty Narwhal ») ====== <|> natty
5 Mot inconnu : Narwhal [[33:40]] => ====== Ubuntu 11.04 (« The Natty Narwhal ») ====== <|> narwhal
22 Typographie : points de suspension. Utilisez le caractère dédié. [[33:36]] => ==== Unity : interface par défaut... pour les postes de travail ! ==== <|> ... => suggestions : ['…']
27 Mot inconnu : netbook [[71:78]] => Unity pour ordinateurs de bureau n'est pas un clone de la version pour netbook, mais plutôt une amélioration mixant plusieurs éléments : une barre de lanceurs des applications (Unity Launcher) remplaçant un tableau de bord unique listant les fenêtres ouvertes, un contrôle interactif (Dash) qui remplace les menus de raccourcis et App Menu qui déplace les barres de menus des applications dans le tableau de bord supérieur, pour une utilisation plus efficace de l'espace de travail. <|> netbook
27 Mot inconnu : Launcher [[183:191]] => Unity pour ordinateurs de bureau n'est pas un clone de la version pour netbook, mais plutôt une amélioration mixant plusieurs éléments : une barre de lanceurs des applications (Unity Launcher) remplaçant un tableau de bord unique listant les fenêtres ouvertes, un contrôle interactif (Dash) qui remplace les menus de raccourcis et App Menu qui déplace les barres de menus des applications dans le tableau de bord supérieur, pour une utilisation plus efficace de l'espace de travail. <|> launcher
27 Mot inconnu : Dash [[285:289]] => Unity pour ordinateurs de bureau n'est pas un clone de la version pour netbook, mais plutôt une amélioration mixant plusieurs éléments : une barre de lanceurs des applications (Unity Launcher) remplaçant un tableau de bord unique listant les fenêtres ouvertes, un contrôle interactif (Dash) qui remplace les menus de raccourcis et App Menu qui déplace les barres de menus des applications dans le tableau de bord supérieur, pour une utilisation plus efficace de l'espace de travail. <|> dash
27 Mot inconnu : App [[331:334]] => Unity pour ordinateurs de bureau n'est pas un clone de la version pour netbook, mais plutôt une amélioration mixant plusieurs éléments : une barre de lanceurs des applications (Unity Launcher) remplaçant un tableau de bord unique listant les fenêtres ouvertes, un contrôle interactif (Dash) qui remplace les menus de raccourcis et App Menu qui déplace les barres de menus des applications dans le tableau de bord supérieur, pour une utilisation plus efficace de l'espace de travail. <|> app
42 Mot inconnu : Sign-On [[29:36]] =>   * le service Ubuntu Single Sign-On (USSO) -- le même identifiant qu'utilisé avec Ubuntu One --, pour identifier les utilisateurs soumettant des évaluations ; <|> sign-on
42 Mot inconnu : USSO [[38:42]] =>   * le service Ubuntu Single Sign-On (USSO) -- le même identifiant qu'utilisé avec Ubuntu One --, pour identifier les utilisateurs soumettant des évaluations ; <|> usso
42 Mot inconnu : One [[90:93]] =>   * le service Ubuntu Single Sign-On (USSO) -- le même identifiant qu'utilisé avec Ubuntu One --, pour identifier les utilisateurs soumettant des évaluations ; <|> one

45 Mot inconnu : Gwibber [[185:192]] => De manière optionnelle, les utilisateurs peuvent aussi partager leurs évaluations vers les réseaux sociaux auxquels ils sont inscrits grâce à l'intégration du client de réseaux sociaux Gwibber. Le système d'évaluation fonctionne sensiblement de la même manière que dans Android Market, avec la possibilité de rapporter des critiques offensantes ou inappropriées. <|> gwibber
45 Mot inconnu : Market [[278:284]] => De manière optionnelle, les utilisateurs peuvent aussi partager leurs évaluations vers les réseaux sociaux auxquels ils sont inscrits grâce à l'intégration du client de réseaux sociaux Gwibber. Le système d'évaluation fonctionne sensiblement de la même manière que dans Android Market, avec la possibilité de rapporter des critiques offensantes ou inappropriées. <|> market

54 Mot inconnu : netbooks [[41:49]] => === Ubuntu pour postes de travail / pour netbooks === <|> netbooks
66 Mot inconnu : GStreamer [[75:84]] =>   * Le framework multimédia Phonon utilise désormais le système multimédia GStreamer, afin d'être cohérent avec les autres variantes de la famille Ubuntu et pour un développement facilité de greffons pour les navigateurs Web (en prévision de HTML5) et les lecteurs multimédias ; <|> gstreamer
66 Mot inconnu : HTML5 [[242:247]] =>   * Le framework multimédia Phonon utilise désormais le système multimédia GStreamer, afin d'être cohérent avec les autres variantes de la famille Ubuntu et pour un développement facilité de greffons pour les navigateurs Web (en prévision de HTML5) et les lecteurs multimédias ; <|> html5
74 Mot inconnu : GreyBird [[22:30]] =>   * Un nouveau thème, GreyBird; <|> greybird

89 Mot inconnu : One [[12:15]] => ==== Ubuntu One ==== <|> one
91 Mot inconnu : One [[55:58]] =>   * Le service de synchronisation de fichiers d'Ubuntu One (aujourd'hui abandonné) voit ses performances améliorées ; <|> one
92 Mot inconnu : One [[161:164]] =>   * Il est désormais possible de sélectionner les dossiers à synchroniser avec chaque ordinateur (par exemple, synchroniser son dossier //Musique// entre Ubuntu One et son poste de travail, mais pas vers son netbook qui dispose de trop peu de mémoire). Ceci est gérable à travers le centre de contrôle d'Ubuntu One, qui est remanié. Si un nouveau dossier apparaît dans la liste, une notification vous en informe; <|> one
92 Mot inconnu : netbook [[208:215]] =>   * Il est désormais possible de sélectionner les dossiers à synchroniser avec chaque ordinateur (par exemple, synchroniser son dossier //Musique// entre Ubuntu One et son poste de travail, mais pas vers son netbook qui dispose de trop peu de mémoire). Ceci est gérable à travers le centre de contrôle d'Ubuntu One, qui est remanié. Si un nouveau dossier apparaît dans la liste, une notification vous en informe; <|> netbook
92 Mot inconnu : One [[311:314]] =>   * Il est désormais possible de sélectionner les dossiers à synchroniser avec chaque ordinateur (par exemple, synchroniser son dossier //Musique// entre Ubuntu One et son poste de travail, mais pas vers son netbook qui dispose de trop peu de mémoire). Ceci est gérable à travers le centre de contrôle d'Ubuntu One, qui est remanié. Si un nouveau dossier apparaît dans la liste, une notification vous en informe; <|> one
94 Mot inconnu : One [[25:28]] =>   * La gestion de Ubuntu One et ses divers services s'effectue dans un centre de contrôle entièrement retravaillé. <|> one
100 Il manque un espace. [[17:20]] =>   * Le serveur X.org 1.10 avec Mesa 7.10 propose une meilleure prise en charge de cartes ATi Radeon et introduit la gestion des puces Sandy Bridge d'Intel; <|> org => suggestions : [' org']
103 Mot inconnu : udisks [[4:10]] =>   * udisks et upower, utilisés pour la reconnaissance des périphériques de stockage et pour la gestion de l'énergie, remplacent HAL dans Kubuntu. <|> udisks
103 Mot inconnu : upower [[14:20]] =>   * udisks et upower, utilisés pour la reconnaissance des périphériques de stockage et pour la gestion de l'énergie, remplacent HAL dans Kubuntu. <|> upower
