
4 Mot inconnu : fsck => ====== fsck : contrôle de l'intégrité et réparation de partitions ====== | fsck

7 Mot inconnu : FSCK => FSCK est l'outil de contrôle d'intégrité et de réparation pour les systèmes de fichiers Linux. | fsck

14 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => fsck est un programme en mode console. Il se décompose en plusieurs sous-programmes, appelés automatiquement en fonction du type de la partition : | fsck => suggestions : ['Fsck']
14 Mot inconnu : fsck => fsck est un programme en mode console. Il se décompose en plusieurs sous-programmes, appelés automatiquement en fonction du type de la partition : | fsck

42 Mot inconnu : dev => Une fois choisie la partition à examiner, il faudra la démonter, par exemple si la partition est **dev/sda1** : | dev
42 Mot inconnu : sda1 => Une fois choisie la partition à examiner, il faudra la démonter, par exemple si la partition est **dev/sda1** : | sda1

44 Mot inconnu : root => Si la partition est la partition root => voir le chapitre qui traite de ce cas | root

47 Mot inconnu : sda1 => <note>On prend comme hypothèse que le disque est sda1</note> | sda1

67 Mot inconnu : fsck => ==== Un exemple de la commande fsck ===== | fsck

89 Mot inconnu : fsck => Si des corrections doivent être effectuées, fsck vous demandera de les confirmer :  | fsck
89 Espace(s) en fin de ligne à supprimer. => Si des corrections doivent être effectuées, fsck vous demandera de les confirmer :  |   => suggestions : ['']

95 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => la lettre entre "<>" indique la réponse recommandée. Ici "o" soit "oui". | la => suggestions : ['La']
95 Guillemets typographiques ouvrants. => la lettre entre "<>" indique la réponse recommandée. Ici "o" soit "oui". | " => suggestions : ['«\xa0', '“']
95 Guillemets typographiques fermants. => la lettre entre "<>" indique la réponse recommandée. Ici "o" soit "oui". | " => suggestions : ['\xa0»', '”']
95 Guillemets typographiques ouvrants. => la lettre entre "<>" indique la réponse recommandée. Ici "o" soit "oui". | " => suggestions : ['«\xa0', '“']
95 Guillemets typographiques fermants. => la lettre entre "<>" indique la réponse recommandée. Ici "o" soit "oui". | " => suggestions : ['\xa0»', '”']

99 Mot inconnu : check => ===== Forcer un check fsck ( la partition racine : / ) ===== | check
99 Mot inconnu : fsck => ===== Forcer un check fsck ( la partition racine : / ) ===== | fsck
99 Pas d’espace après ce signe. => ===== Forcer un check fsck ( la partition racine : / ) ===== | (  => suggestions : ['(']
99 Pas d’espace avant ce signe. => ===== Forcer un check fsck ( la partition racine : / ) ===== |  ) => suggestions : [')']

101 Mot inconnu : forcefsck => Pour vérifier la partition racine, vous devez créer un fichier //forcefsck// à la racine : | forcefsck

103 Mot inconnu : fsck => Ce qui aura pour effet de lancer //fsck// au prochain démarrage. (grâce au service ///etc/init.d/checkfs.sh// ou ///etc/init.d/checkroot.sh//) | fsck

105 Mot inconnu : fsck => <note important>Ceci ne fonctionne plus depuis Ubuntu 16.04, il faut maintenant passer fsck.mode=force comme paramètre au noyau dans la ligne GRUB_CMDLINE_LINUX_DEFAULT de grub (fichier **/etc/default/grub**) puis lancer la commande **update-grub**</note> | fsck
105 Il manque un espace. => <note important>Ceci ne fonctionne plus depuis Ubuntu 16.04, il faut maintenant passer fsck.mode=force comme paramètre au noyau dans la ligne GRUB_CMDLINE_LINUX_DEFAULT de grub (fichier **/etc/default/grub**) puis lancer la commande **update-grub**</note> | mode => suggestions : [' mode']
105 Mot inconnu : GRUB_CMDLINE_LINUX_DEFAULT => <note important>Ceci ne fonctionne plus depuis Ubuntu 16.04, il faut maintenant passer fsck.mode=force comme paramètre au noyau dans la ligne GRUB_CMDLINE_LINUX_DEFAULT de grub (fichier **/etc/default/grub**) puis lancer la commande **update-grub**</note> | grub_cmdline_linux_default
