
2 Mot inconnu : Localepurge => ====== Localepurge ====== | localepurge

4 Mot inconnu : localepurge => **localepurge** est un outil simple qui permet de supprimer automatiquement les locales inutiles d'un paquet installé. | localepurge

6 Mot inconnu : dpkg => <note important>Cet outil n'est **pas** intégré au système de gestion de paquets d'[[Ubuntu]] et peut provoquer des comportements étranges mais généralement sans conséquences de certains programmes relatifs à [[dpkg]] ou [[apt]] comme [[reportbug]]. | dpkg
6 Mot inconnu : reportbug => <note important>Cet outil n'est **pas** intégré au système de gestion de paquets d'[[Ubuntu]] et peut provoquer des comportements étranges mais généralement sans conséquences de certains programmes relatifs à [[dpkg]] ou [[apt]] comme [[reportbug]]. | reportbug

11 Mot inconnu : installer_ubuntu_selon_besoins => <note tip>Pour aller plus loin dans la configuration globale de votre poste de travail, vous pouvez consulter la documentation complète \\ [[installer_ubuntu_selon_besoins|Ubuntu à votre image : Configurer votre ordinateur selon vos besoins]]</note> | installer_ubuntu_selon_besoins

16 Mot inconnu : fr_Fr => Connaître le code ISO de sa langue maternelle. Par exemple fr_Fr, fr_@EURO, fr_BE, fr_LU… | fr_fr
16 Mot inconnu : fr_ => Connaître le code ISO de sa langue maternelle. Par exemple fr_Fr, fr_@EURO, fr_BE, fr_LU… | fr_
16 Mot inconnu : fr_BE => Connaître le code ISO de sa langue maternelle. Par exemple fr_Fr, fr_@EURO, fr_BE, fr_LU… | fr_be
16 Mot inconnu : fr_LU => Connaître le code ISO de sa langue maternelle. Par exemple fr_Fr, fr_@EURO, fr_BE, fr_LU… | fr_lu

23 Mot inconnu : localepurge => Vous tomberez alors sur l'écran suivant expliquant brièvement l'intérêt de localepurge. | localepurge

25 Mot inconnu : Localepurge => <note>La toute dernière version de Localepurge intègre désormais une interface graphique Gtk+, très bien intégrée sous Gnome. Fini l'interface façon Terminal, de sorte que les écrans de l'ancienne version présentés ci-dessous diffèrent légèrement de l'actuelle version.</note> | localepurge
25 Accord de nombre erroné avec « l’ ancienne version » : « présentés » devrait être au singulier. => <note>La toute dernière version de Localepurge intègre désormais une interface graphique Gtk+, très bien intégrée sous Gnome. Fini l'interface façon Terminal, de sorte que les écrans de l'ancienne version présentés ci-dessous diffèrent légèrement de l'actuelle version.</note> | présentés => suggestions : ['présenté']

29 Espace(s) en fin de ligne à supprimer. => Appuyez sur Entrée, vient alors un deuxième écran invitant à choisir les codes ISO que l'on veut conserver  |   => suggestions : ['']

