
5 Mot inconnu : MKVToolNix => ====== MKVToolNix ====== | mkvtoolnix

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Mot inconnu : MkvToolnix => ==== Par le dépôt MkvToolnix ==== | mkvtoolnix

26 Mot inconnu : MkvToolnix => Le dépôt maintenu par le développeur de MkvToolnix propose des versions plus à jour que celle des dépôts officiels. | mkvtoolnix

32 Guillemets typographiques ouvrants. => en remplaçant, le cas échéant, 'bionic' par le nom de votre version d'Ubuntu. | ' => suggestions : ['“', '‘', '‹']
32 Guillemets typographiques fermants. => en remplaçant, le cas échéant, 'bionic' par le nom de votre version d'Ubuntu. | ' => suggestions : ['”', '’', '›']

49 Mot inconnu : MKV => ==== Du DVD au MKV ==== | mkv

51 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Vous souhaitez transformer un DVD de plus de 9 Gio (ou moins, peu importe) en un film de seulement 700 Mio (ou plus, ou moins) avec une très haute qualité d'image, avec plusieurs pistes sonores, avec des pistes de sous-titres et un chapitrage complet du film ? | 9 gio => suggestions : ['9\xa0Gio']
51 Si “Mio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Vous souhaitez transformer un DVD de plus de 9 Gio (ou moins, peu importe) en un film de seulement 700 Mio (ou plus, ou moins) avec une très haute qualité d'image, avec plusieurs pistes sonores, avec des pistes de sous-titres et un chapitrage complet du film ? | 700 mio => suggestions : ['700\xa0Mio']

55 Mot inconnu : mkv => ==== Connaître les codecs employés dans un mkv ==== | mkv

64 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => affiche la liste des pistes vidéo, audio, de sous-titres et de chapitrage contenues dans le mkv, avec le codage employé par chacune d'elles. Dans cet exemple nous avons : | affiche => suggestions : ['Affiche']
64 Mot inconnu : mkv => affiche la liste des pistes vidéo, audio, de sous-titres et de chapitrage contenues dans le mkv, avec le codage employé par chacune d'elles. Dans cet exemple nous avons : | mkv

69 Mot inconnu : Matroska => Des informations détaillées sur les différents codes correspondant aux codecs sont disponibles sur le [[http://www.matroska.org/technical/specs/codecid/index.html|site de Matroska]]. | matroska

71 Mot inconnu : mkv => ==== Extraire les pistes d'un mkv ==== | mkv

73 Mot inconnu : film_video => Reprenons l'exemple précédent. Nous voulons extraire la piste vidéo (dans film_video.avi) et la 2ème piste audio (dans film_audio2.ogg) : | film_video
73 Mot inconnu : avi => Reprenons l'exemple précédent. Nous voulons extraire la piste vidéo (dans film_video.avi) et la 2ème piste audio (dans film_audio2.ogg) : | avi
73 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… => Reprenons l'exemple précédent. Nous voulons extraire la piste vidéo (dans film_video.avi) et la 2ème piste audio (dans film_audio2.ogg) : | 2ème => suggestions : ['2ᵉ']
73 Mot inconnu : film_audio2 => Reprenons l'exemple précédent. Nous voulons extraire la piste vidéo (dans film_video.avi) et la 2ème piste audio (dans film_audio2.ogg) : | film_audio2

75 Guillemets typographiques ouvrants. => D'autres options sont disponibles (taper 'man mkvextract' en console). | ' => suggestions : ['“', '‘', '‹']
75 Mot inconnu : mkvextract => D'autres options sont disponibles (taper 'man mkvextract' en console). | mkvextract
75 Guillemets typographiques fermants. => D'autres options sont disponibles (taper 'man mkvextract' en console). | ' => suggestions : ['”', '’', '›']

77 Accord de genre erroné : « GUI » est masculin. => Il existe une GUI pour l'extraction du contenu de fichier mkv. | une => suggestions : ['un']
77 Mot inconnu : mkv => Il existe une GUI pour l'extraction du contenu de fichier mkv. | mkv

81 Mot inconnu : mkv => ==== Extraire les sous-titres d'un mkv ==== | mkv
