
3 Mot inconnu : dpkg => ====== dpkg : le gestionnaire de paquets bas niveau de Ubuntu ====== | dpkg

11 Guillemets typographiques ouvrants. => Il permet donc de 'jouer' sur un seul paquet (installation, suppression, reconfiguration ) sans bouleverser les dépendances. | ' => suggestions : ['“', '‘', '‹']
11 Guillemets typographiques fermants. => Il permet donc de 'jouer' sur un seul paquet (installation, suppression, reconfiguration ) sans bouleverser les dépendances. | ' => suggestions : ['”', '’', '›']
11 Pas d’espace avant ce signe. => Il permet donc de 'jouer' sur un seul paquet (installation, suppression, reconfiguration ) sans bouleverser les dépendances. |  ) => suggestions : [')']

13 Mot inconnu : dpkg => Parmi ses autres fonctions, **dpkg** permet aussi d'avoir des informations précises telles que l'état ou la description détaillée, des paquets disponibles. | dpkg

22 Pas d’espace après ce signe. => Créer un dossier et se placer à l'intérieur. ( **mon_dossier_qui_va_bien** ) par exemple. | (  => suggestions : ['(']
22 Mot inconnu : mon_dossier_qui_va_bien => Créer un dossier et se placer à l'intérieur. ( **mon_dossier_qui_va_bien** ) par exemple. | mon_dossier_qui_va_bien
22 Pas d’espace avant ce signe. => Créer un dossier et se placer à l'intérieur. ( **mon_dossier_qui_va_bien** ) par exemple. |  ) => suggestions : [')']

24 Mot inconnu : dpkg-deb => Installer les paquets avec **dpkg-deb** : | dpkg-deb

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done |    => suggestions : ['']
26 Mot inconnu : mon_dossier_qui_va_bien =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done | mon_dossier_qui_va_bien
26 Mot inconnu : DEBS =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done | debs
26 Mot inconnu : deb =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done | deb
26 Mot inconnu : dpkg-deb =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done | dpkg-deb
26 Il manque un espace à côté du tiret. =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done |  - => suggestions : [' – ', ' — ']
26 Pas d’espace avant un point. =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done |  . => suggestions : ['.']
26 Mot inconnu : done =>   for i in [chemin vers **mon_dossier_qui_va_bien**]/DEBS/*.deb; do dpkg-deb -x $i . ; done | done

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>    |    => suggestions : ['']

