
5 Mot inconnu : Eye => ====== Visionneur d'images (Eye of Gnome) ====== | eye
5 Mot inconnu : of => ====== Visionneur d'images (Eye of Gnome) ====== | of

35 Pas d’espace après ce signe. => Le panneau latéral ( //Menu → Afficher → panneau latéral//) permet d'afficher les propriétés de l'image et les métadonnées EXIF de l'appareil photos.\\ | (  => suggestions : ['(']
35 Mot inconnu : EXIF => Le panneau latéral ( //Menu → Afficher → panneau latéral//) permet d'afficher les propriétés de l'image et les métadonnées EXIF de l'appareil photos.\\ | exif
35 Accord de nombre erroné avec “appareil” : “photos” devrait être au singulier. => Le panneau latéral ( //Menu → Afficher → panneau latéral//) permet d'afficher les propriétés de l'image et les métadonnées EXIF de l'appareil photos.\\ | photos => suggestions : ['photo']

40 Accord de genre erroné avec « contenus ». => De la même façon que le panneau latéral vous pouvez afficher les images contenus dans le dossier courant en cochant la case Galerie d'images. | images => suggestions : ['imagés']
40 Accord de genre erroné entre « images » et « contenus ». => De la même façon que le panneau latéral vous pouvez afficher les images contenus dans le dossier courant en cochant la case Galerie d'images. | contenus => suggestions : ['contenues']

57 Mot inconnu : Eye => <note>Malheureusement **Eye Of GNOME** ne permet pas de retouche mais il peut vous renvoyer vers le logiciel de retouche [[shotwell]].</note> | eye
57 Mot inconnu : Of => <note>Malheureusement **Eye Of GNOME** ne permet pas de retouche mais il peut vous renvoyer vers le logiciel de retouche [[shotwell]].</note> | of
57 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note>Malheureusement **Eye Of GNOME** ne permet pas de retouche mais il peut vous renvoyer vers le logiciel de retouche [[shotwell]].</note> |  mais => suggestions : [', mais']
57 Mot inconnu : shotwell => <note>Malheureusement **Eye Of GNOME** ne permet pas de retouche mais il peut vous renvoyer vers le logiciel de retouche [[shotwell]].</note> | shotwell

61 Mot inconnu : Eye => <note important>Attention, les informations qui suivent ne sont valables que pour les vieilles versions de Eye of Gnome.</note> | eye
61 Mot inconnu : of => <note important>Attention, les informations qui suivent ne sont valables que pour les vieilles versions de Eye of Gnome.</note> | of

72 Mot inconnu : Eye => **Eye of GNOME** possède par défaut trois greffons (//Date dans la barre d'état, Plein écran sur double-clic, Recharger l'image//), mais ces derniers ne sont pas activés. Il en est de même pour les greffons supplémentaires. Pour les activer, se rendre dans le menu //Menu -> Préférences//, cliquez sur l'onglet //Greffons//, puis cochez le ou les  greffons désirés.\\ | eye
72 Mot inconnu : of => **Eye of GNOME** possède par défaut trois greffons (//Date dans la barre d'état, Plein écran sur double-clic, Recharger l'image//), mais ces derniers ne sont pas activés. Il en est de même pour les greffons supplémentaires. Pour les activer, se rendre dans le menu //Menu -> Préférences//, cliquez sur l'onglet //Greffons//, puis cochez le ou les  greffons désirés.\\ | of
72 S’il s’agit d’un impératif, mettez un trait d’union. => **Eye of GNOME** possède par défaut trois greffons (//Date dans la barre d'état, Plein écran sur double-clic, Recharger l'image//), mais ces derniers ne sont pas activés. Il en est de même pour les greffons supplémentaires. Pour les activer, se rendre dans le menu //Menu -> Préférences//, cliquez sur l'onglet //Greffons//, puis cochez le ou les  greffons désirés.\\ | cochez le => suggestions : ['cochez-le']
72 Espace(s) surnuméraire(s) à supprimer. => **Eye of GNOME** possède par défaut trois greffons (//Date dans la barre d'état, Plein écran sur double-clic, Recharger l'image//), mais ces derniers ne sont pas activés. Il en est de même pour les greffons supplémentaires. Pour les activer, se rendre dans le menu //Menu -> Préférences//, cliquez sur l'onglet //Greffons//, puis cochez le ou les  greffons désirés.\\ |    => suggestions : [' ']

75 Mot inconnu : WebP => ==== Afficher les images au format WebP ==== | webp

76 Mot inconnu : WebP => WebP est un format d'image introduit par Google en 2010. Il offre un meilleur taux de compression que le format jpeg tout en réduisant la perte de qualité. | webp
76 Mot inconnu : jpeg => WebP est un format d'image introduit par Google en 2010. Il offre un meilleur taux de compression que le format jpeg tout en réduisant la perte de qualité. | jpeg

79 Mot inconnu : WebP => Vous pouvez installer le paquet suivant pour ajouter le support WebP au visionneur d'images par défaut. | webp
