
3 Mot inconnu : ubuntéros [[15:24]] => ====== Réflexe ubuntéros ====== <|> ubuntéros
20 S’il s’agit d’une interrogation, il manque un trait d’union. [[7:13]] =>   * Qu'est ce qu'il se passe ?  <|> est ce => suggestions : ['est-ce']
20 Espace(s) en fin de ligne à supprimer. [[30:31]] =>   * Qu'est ce qu'il se passe ?  <|>   => suggestions : ['']
21 Espace(s) en fin de ligne à supprimer. [[33:35]] =>   * Qu'est ce qui ne marche pas ?   <|>    => suggestions : ['']
26 Espace(s) en fin de ligne à supprimer. [[253:254]] => Surtout je ne m´énerve pas, je ne brise pas l'écran, je ne massacre pas les touches du clavier, je ne lance pas l'écran vers un collaborateur, je ne prends pas le couteau pour me couper les veines, je n'explose pas la bombe dissimulée dans mon cartable:  <|>   => suggestions : ['']
30 Espace(s) en fin de ligne à supprimer. [[32:33]] =>   * Pourquoi ça ne marche plus ?  <|>   => suggestions : ['']
32 S’il s’agit d’une interrogation, il manque un trait d’union. [[4:10]] =>   * Est ce qu'il y a un problème logiciel ?  ( un logiciel ne s'installe pas, ne se lance pas, ... ) <|> est ce => suggestions : ['Est-ce']
32 Espace(s) surnuméraire(s) à supprimer. [[43:45]] =>   * Est ce qu'il y a un problème logiciel ?  ( un logiciel ne s'installe pas, ne se lance pas, ... ) <|>    => suggestions : [' ']
32 Pas d’espace après ce signe. [[45:47]] =>   * Est ce qu'il y a un problème logiciel ?  ( un logiciel ne s'installe pas, ne se lance pas, ... ) <|> (  => suggestions : ['(']
32 Une de ces ponctuations est superflue. [[93:96]] =>   * Est ce qu'il y a un problème logiciel ?  ( un logiciel ne s'installe pas, ne se lance pas, ... ) <|> , . => suggestions : [',', '.']
32 Typographie : points de suspension. Utilisez le caractère dédié. [[95:98]] =>   * Est ce qu'il y a un problème logiciel ?  ( un logiciel ne s'installe pas, ne se lance pas, ... ) <|> ... => suggestions : ['…']
32 Pas d’espace avant ce signe. [[98:100]] =>   * Est ce qu'il y a un problème logiciel ?  ( un logiciel ne s'installe pas, ne se lance pas, ... ) <|>  ) => suggestions : [')']
36 Typographie : points de suspension. Utilisez le caractère dédié. [[59:62]] =>   * Vous venez de mettre à jour un logiciel, votre matériel... <|> ... => suggestions : ['…']

38 Typographie : points de suspension. Utilisez le caractère dédié. [[30:33]] => Autant de questions à se poser... <|> ... => suggestions : ['…']
48 Espace(s) en fin de ligne à supprimer. [[172:173]] =>   * La documentation Ubuntu est **LA** source d'informations à consulter en premier. Heureusement elle est très riche. Malheureusement, elle est peu consultée efficacement.  <|>   => suggestions : ['']

61 Guillemets typographiques ouvrants. [[131:132]] => Mémoire sélective, vue sélective, bien souvent vous oubliez complètement de lire les rappels présents en haut des parties du forum "Rappel", ils vous indiquent souvent des conseils avant de poster un message. <|> " => suggestions : ['«\xa0', '“']
61 Guillemets typographiques fermants. [[138:139]] => Mémoire sélective, vue sélective, bien souvent vous oubliez complètement de lire les rappels présents en haut des parties du forum "Rappel", ils vous indiquent souvent des conseils avant de poster un message. <|> " => suggestions : ['\xa0»', '”']
63 Mot inconnu : yahoo [[46:51]] =>   * Votre moteur de recherche favori (google, yahoo...). Il s'avèrera souvent très efficace si vous tapez le message d'erreur que vous rencontrez ! <|> yahoo
63 Typographie : points de suspension. Utilisez le caractère dédié. [[51:54]] =>   * Votre moteur de recherche favori (google, yahoo...). Il s'avèrera souvent très efficace si vous tapez le message d'erreur que vous rencontrez ! <|> ... => suggestions : ['…']

68 Espace(s) en fin de ligne à supprimer. [[78:79]] => Vous avez trouvé de l'aide, bravo, maintenant vous allez passer à la pratique.  <|>   => suggestions : ['']

69 Espace(s) en fin de ligne à supprimer. [[158:159]] => La résolution de votre problème dépendra de la solution, si vous la trouvez compliquée, il vous faut malgré tout bien assimiler les étapes pour la résolution.  <|>   => suggestions : ['']
70 Typographie : points de suspension. Utilisez le caractère dédié. [[194:198]] => Pas de miracle tout d'abord SURTOUT ne pas foncer tête baissée ! Il vous faut savoir comment la résolution va se faire, quelles sont les commandes que vous allez utiliser, que font ces commandes.... <|> .... => suggestions : ['…']

71 Pas d’espace après ce signe. [[213:215]] => Lisez le document, le fil de discussion, le tutoriel en question pour voir à peu près les différentes étapes à suivre, regardez si cette supposée solution vous convient, si elle est compatible avec votre problème ( il arrive d'être "coincé" en plein milieu d'un tutoriel !)  et essayer de comprendre la résolution ( essayer !). <|> (  => suggestions : ['(']
71 Guillemets typographiques ouvrants. [[232:233]] => Lisez le document, le fil de discussion, le tutoriel en question pour voir à peu près les différentes étapes à suivre, regardez si cette supposée solution vous convient, si elle est compatible avec votre problème ( il arrive d'être "coincé" en plein milieu d'un tutoriel !)  et essayer de comprendre la résolution ( essayer !). <|> " => suggestions : ['«\xa0', '“']
