
4 Mot inconnu : XWiki => ====== XWiki ====== | xwiki

8 Mot inconnu : XWiki => XWiki est un Wiki Open-Source écrit en Java. Il offre tout à la fois les fonctions principales d’un wiki (édition collaborative, suivi d’information, gestion de l’accès des membres) et des possibilités de développement avancées (avec l’aide de langages de programmation utilisables directement au sein du wiki). Il a comme objectif de fournir un système wiki permettant de répondre aux besoins d'entreprises et d'associations comme intranet ou encore base de documentation. | xwiki

10 Mot inconnu : XWiki => Dans sa version de base, XWiki offre un premier contact agréable. L’installateur Windows est pratique et le design des items soigné (fiche utilisateur, calendrier, tables...). L’application permettant de choisir le positionnement et le contenu des panneaux latéraux permet de contrôler complètement l’aspect général du wiki, d’une façon générale ou au niveau d’un espace. L’éditeur de texte en mode WYSIWYG est intuitif et permet l’ajout de macros évoluées de façon simple. | xwiki
10 Typographie : points de suspension. Utilisez le caractère dédié. => Dans sa version de base, XWiki offre un premier contact agréable. L’installateur Windows est pratique et le design des items soigné (fiche utilisateur, calendrier, tables...). L’application permettant de choisir le positionnement et le contenu des panneaux latéraux permet de contrôler complètement l’aspect général du wiki, d’une façon générale ou au niveau d’un espace. L’éditeur de texte en mode WYSIWYG est intuitif et permet l’ajout de macros évoluées de façon simple. | ... => suggestions : ['…']
10 Mot inconnu : WYSIWYG => Dans sa version de base, XWiki offre un premier contact agréable. L’installateur Windows est pratique et le design des items soigné (fiche utilisateur, calendrier, tables...). L’application permettant de choisir le positionnement et le contenu des panneaux latéraux permet de contrôler complètement l’aspect général du wiki, d’une façon générale ou au niveau d’un espace. L’éditeur de texte en mode WYSIWYG est intuitif et permet l’ajout de macros évoluées de façon simple. | wysiwyg

12 Mot inconnu : XWiki => XWiki offre également la possibilité d’une gestion fine des droits d’utilisateurs, permettant de voir / éditer / commenter / administrer, ce au niveau du wiki, d’un espace ou même d’une page. Cette flexibilité offre la possibilité de nombreuses configurations : public ou privé, librement éditable ou non ou un mélange des deux. | xwiki

14 Mot inconnu : Framalibre => //Plus d'informations sur [[https://framalibre.org/content/xwiki|Framalibre - XWiki]]// | framalibre
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => //Plus d'informations sur [[https://framalibre.org/content/xwiki|Framalibre - XWiki]]// |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : XWiki => //Plus d'informations sur [[https://framalibre.org/content/xwiki|Framalibre - XWiki]]// | xwiki

17 Accord de nombre erroné : « façon » devrait être au pluriel. => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | façon => suggestions : ['façons']
17 Mot inconnu : XWiki => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | xwiki
17 Mot inconnu : standalone => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | standalone
17 Mot inconnu : packagée => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | packagée
17 Accord de genre erroné : « java » est féminin. => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | un => suggestions : ['une']
17 Accord de genre erroné : « un » est un déterminant masculin. => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | java => suggestions : ['javé']
17 Mot inconnu : jetty => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | jetty
17 Mot inconnu : webapp => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | webapp
17 Mot inconnu : coeur => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | coeur
17 Mot inconnu : XWiki => Il existe plusieurs façon d'installer XWiki, nous couvrirons ici deux méthodes. La première est la plus simple, et utilise la version standalone. Il s'agit d'une version déjà packagée avec une base de donnée, un java container (jetty) et bien sûr la webapp qui constitue le coeur d'XWiki. | xwiki

19 Mot inconnu : standalone => ==== Installation de la standalone ==== | standalone

27 Mot inconnu : demo => <note important>Cette méthode n'est pas indiquée pour un environnement de production, et ne devrait être utilisée que pour de la demo ou du développement. Voir ci-après pour l'installation en mode production</note> | demo

31 Mot inconnu : XWiki => Depuis la version 3.3, il est possible d'installer XWiki via un dépot APT. XWiki n'est pas disponible sur les dépôts officiels Debian à cause de la politique d'intégration trop rigide pour être faisable. | xwiki
31 Mot inconnu : dépot => Depuis la version 3.3, il est possible d'installer XWiki via un dépot APT. XWiki n'est pas disponible sur les dépôts officiels Debian à cause de la politique d'intégration trop rigide pour être faisable. | dépot
31 Mot inconnu : XWiki => Depuis la version 3.3, il est possible d'installer XWiki via un dépot APT. XWiki n'est pas disponible sur les dépôts officiels Debian à cause de la politique d'intégration trop rigide pour être faisable. | xwiki

33 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => Voici la procédure a suivre: | a => suggestions : ['à']

40 Mot inconnu : packet => Qui installera le packet [[apt>xwiki-enterprise-tomcat7-mysql]]. Vous pouvez tout autrement choisir d'installer xwiki seul (paquet [[apt>xwiki-enterprise-common]]) ou en utilisant une base PostgreSQL à la place de MySQL (paquet [[apt>xwiki-enterprise-tomcat7-pgsq]]l) ou choisir une autre version de Tomcat (5, 6 ou 7). | packet
40 Mot inconnu : xwiki-enterprise-tomcat7-mysql => Qui installera le packet [[apt>xwiki-enterprise-tomcat7-mysql]]. Vous pouvez tout autrement choisir d'installer xwiki seul (paquet [[apt>xwiki-enterprise-common]]) ou en utilisant une base PostgreSQL à la place de MySQL (paquet [[apt>xwiki-enterprise-tomcat7-pgsq]]l) ou choisir une autre version de Tomcat (5, 6 ou 7). | xwiki-enterprise-tomcat7-mysql
40 Mot inconnu : xwiki => Qui installera le packet [[apt>xwiki-enterprise-tomcat7-mysql]]. Vous pouvez tout autrement choisir d'installer xwiki seul (paquet [[apt>xwiki-enterprise-common]]) ou en utilisant une base PostgreSQL à la place de MySQL (paquet [[apt>xwiki-enterprise-tomcat7-pgsq]]l) ou choisir une autre version de Tomcat (5, 6 ou 7). | xwiki
40 Mot inconnu : xwiki-enterprise-common => Qui installera le packet [[apt>xwiki-enterprise-tomcat7-mysql]]. Vous pouvez tout autrement choisir d'installer xwiki seul (paquet [[apt>xwiki-enterprise-common]]) ou en utilisant une base PostgreSQL à la place de MySQL (paquet [[apt>xwiki-enterprise-tomcat7-pgsq]]l) ou choisir une autre version de Tomcat (5, 6 ou 7). | xwiki-enterprise-common
40 Mot inconnu : PostgreSQL => Qui installera le packet [[apt>xwiki-enterprise-tomcat7-mysql]]. Vous pouvez tout autrement choisir d'installer xwiki seul (paquet [[apt>xwiki-enterprise-common]]) ou en utilisant une base PostgreSQL à la place de MySQL (paquet [[apt>xwiki-enterprise-tomcat7-pgsq]]l) ou choisir une autre version de Tomcat (5, 6 ou 7). | postgresql
40 Mot inconnu : MySQL => Qui installera le packet [[apt>xwiki-enterprise-tomcat7-mysql]]. Vous pouvez tout autrement choisir d'installer xwiki seul (paquet [[apt>xwiki-enterprise-common]]) ou en utilisant une base PostgreSQL à la place de MySQL (paquet [[apt>xwiki-enterprise-tomcat7-pgsq]]l) ou choisir une autre version de Tomcat (5, 6 ou 7). | mysql
40 Mot inconnu : xwiki-enterprise-tomcat7-pgsq => Qui installera le packet [[apt>xwiki-enterprise-tomcat7-mysql]]. Vous pouvez tout autrement choisir d'installer xwiki seul (paquet [[apt>xwiki-enterprise-common]]) ou en utilisant une base PostgreSQL à la place de MySQL (paquet [[apt>xwiki-enterprise-tomcat7-pgsq]]l) ou choisir une autre version de Tomcat (5, 6 ou 7). | xwiki-enterprise-tomcat7-pgsq

43 Espace(s) surnuméraire(s) à supprimer. => Une installation complète nécessite plusieurs éléments pour fonctionner.  Une machine java, un java container, une base de données ainsi qu'éventuellement un serveur web frontal, qui reste optionnel.  |    => suggestions : [' ']
43 Accord de genre erroné : « java » est féminin. => Une installation complète nécessite plusieurs éléments pour fonctionner.  Une machine java, un java container, une base de données ainsi qu'éventuellement un serveur web frontal, qui reste optionnel.  | un => suggestions : ['une']
43 Accord de genre erroné : « un » est un déterminant masculin. => Une installation complète nécessite plusieurs éléments pour fonctionner.  Une machine java, un java container, une base de données ainsi qu'éventuellement un serveur web frontal, qui reste optionnel.  | java => suggestions : ['javé']
43 Espace(s) en fin de ligne à supprimer. => Une installation complète nécessite plusieurs éléments pour fonctionner.  Une machine java, un java container, une base de données ainsi qu'éventuellement un serveur web frontal, qui reste optionnel.  |   => suggestions : ['']

44 Mot inconnu : MySQL => Dans notre cas, nous utiliserons Tomcat comme Java Container, et MySQL comme base de données. | mysql

60 Mot inconnu : XWiki => === Installer XWiki === | xwiki

69 Mot inconnu : MySQL => === Installer MySQL === | mysql

77 Mot inconnu : tomcat => Tous les éléments indispensables ont été installés, vous pouvez utiliser le script fourni avec tomcat pour démarrer le daemon correspondant. (tomcat/bin/startup.sh) | tomcat
77 Mot inconnu : daemon => Tous les éléments indispensables ont été installés, vous pouvez utiliser le script fourni avec tomcat pour démarrer le daemon correspondant. (tomcat/bin/startup.sh) | daemon
77 Mot inconnu : tomcat => Tous les éléments indispensables ont été installés, vous pouvez utiliser le script fourni avec tomcat pour démarrer le daemon correspondant. (tomcat/bin/startup.sh) | tomcat

