
9 Mot inconnu : NB4 => ===== Décodeur SFR standard (standard avec NB4) ===== | nb4

11 Mot inconnu : Neubox => Si vous bénéficiez de l'offre Neubox de SFR standard : | neubox

16 Mot inconnu : Evolution => ===== Attention on peut avoir l'ancien matériel mais avoir mis à jour le logiciel et être en version Evolution ===== | evolution

20 Mot inconnu : MiniDLNA => On peut alors utiliser [[MiniDLNA]], voir ci-dessous. | minidlna

21 Mot inconnu : Evolution => ===== Décodeur SFR Evolution (NB6 ou NB4) ===== | evolution
21 Mot inconnu : NB6 => ===== Décodeur SFR Evolution (NB6 ou NB4) ===== | nb6
21 Mot inconnu : NB4 => ===== Décodeur SFR Evolution (NB6 ou NB4) ===== | nb4

23 Mot inconnu : Neufbox => Si vous êtes abonnés à l'offre Neufbox évolution : | neufbox

27 Mot inconnu : Unviversal => ====Installation pour Ubuntu 18.04, Unviversal media serveur et Menu editor (16-08-2018)===== | unviversal
27 Mot inconnu : editor => ====Installation pour Ubuntu 18.04, Unviversal media serveur et Menu editor (16-08-2018)===== | editor

29 Mot inconnu : UMS => Pour installer UMS : (https://doc.ubuntu-fr.org/universal_media_server) | ums

44 Mot inconnu : Editor => Créer un lancer avec Menu Editor à installer en suivant les instrutions de cette page : https://doc.ubuntu-fr.org/menulibre | editor
44 Mot inconnu : instrutions => Créer un lancer avec Menu Editor à installer en suivant les instrutions de cette page : https://doc.ubuntu-fr.org/menulibre | instrutions

52 Mot inconnu : UMS => Vous pouvez ainsi lancer UMS rapidement depuis "les applications" et profiter de vos media sur la TV | ums
52 Guillemets typographiques ouvrants. => Vous pouvez ainsi lancer UMS rapidement depuis "les applications" et profiter de vos media sur la TV | " => suggestions : ['«\xa0', '“']
52 Guillemets typographiques fermants. => Vous pouvez ainsi lancer UMS rapidement depuis "les applications" et profiter de vos media sur la TV | " => suggestions : ['\xa0»', '”']

57 Mot inconnu : DLNA => Les serveurs multimédia [[DLNA]] sont visibles à partir de SFR Media Center. | dlna

58 Mot inconnu : MiniDLNA => ====MiniDLNA==== | minidlna

60 Mot inconnu : MiniDLNA => Une autre solution consiste à utiliser le logiciel [[MiniDLNA]]. Voir [[http://forum.ubuntu-fr.org/viewtopic.php?pid=11855791#p11855791|ce message]] sur le forum. | minidlna
