
4 Mot inconnu : VPNC => ====== VPNC ou « libérer » sa connexion VPN Cisco Systems® ====== | vpnc
4 Mot inconnu : Systems => ====== VPNC ou « libérer » sa connexion VPN Cisco Systems® ====== | systems

6 Mot inconnu : Systems => On peut déjà constater l'usage par des étudiants et des universitaires d'un client VPN Libre compatible avec le Client VPN Cisco Systems® : [[https://www.unix-ag.uni-kl.de/~massar/vpnc/|le Client VPN Vpnc]]. | systems
6 Mot inconnu : massar => On peut déjà constater l'usage par des étudiants et des universitaires d'un client VPN Libre compatible avec le Client VPN Cisco Systems® : [[https://www.unix-ag.uni-kl.de/~massar/vpnc/|le Client VPN Vpnc]]. | massar
6 Mot inconnu : vpnc => On peut déjà constater l'usage par des étudiants et des universitaires d'un client VPN Libre compatible avec le Client VPN Cisco Systems® : [[https://www.unix-ag.uni-kl.de/~massar/vpnc/|le Client VPN Vpnc]]. | vpnc
6 Mot inconnu : Vpnc => On peut déjà constater l'usage par des étudiants et des universitaires d'un client VPN Libre compatible avec le Client VPN Cisco Systems® : [[https://www.unix-ag.uni-kl.de/~massar/vpnc/|le Client VPN Vpnc]]. | vpnc

8 Mot inconnu : Systems => Comparé au client VPN Cisco Systems®, la procédure d'installation est plus simple. Mais l'avantage principal réside dans le fait que la connexion VPN reste fonctionnelle même après les mises à jour du noyau système, contrairement au Client VPN Cisco Systems®. | systems
8 Mot inconnu : Systems => Comparé au client VPN Cisco Systems®, la procédure d'installation est plus simple. Mais l'avantage principal réside dans le fait que la connexion VPN reste fonctionnelle même après les mises à jour du noyau système, contrairement au Client VPN Cisco Systems®. | systems

21 Mot inconnu : IPSec => IPSec gateway <gateway.to.use> | ipsec
21 Mot inconnu : gateway => IPSec gateway <gateway.to.use> | gateway

22 Mot inconnu : IPSec => IPSec ID <groupname> | ipsec

23 Mot inconnu : IPSec => IPSec secret <passwordforgroup> | ipsec

24 Mot inconnu : Xauth => Xauth username <myusername> | xauth
24 Mot inconnu : username => Xauth username <myusername> | username

25 Mot inconnu : Xauth => Xauth password <mypassword> | xauth
25 Mot inconnu : password => Xauth password <mypassword> | password

27 Mot inconnu : vpnc => puis [[vpnc#configuration_du_client_vpn_vpnc]] | vpnc

28 Mot inconnu : Systems => ===== Conversion d'un profil Cisco Systems® en profil Vpnc ===== | systems
28 Mot inconnu : Vpnc => ===== Conversion d'un profil Cisco Systems® en profil Vpnc ===== | vpnc

30 Mot inconnu : Systems => Le poste étant connecté à Internet, on place le fichier-profil Cisco Systems® avec l'extension « .pcf » correspondant au fournisseur de réseau VPN dans son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). Puis on lance un terminal et on tape : | systems
30 Mettez des guillemets fermants plutôt qu’ouvrants. => Le poste étant connecté à Internet, on place le fichier-profil Cisco Systems® avec l'extension « .pcf » correspondant au fournisseur de réseau VPN dans son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). Puis on lance un terminal et on tape : |  « => suggestions : ['\xa0»', '”']
30 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Le poste étant connecté à Internet, on place le fichier-profil Cisco Systems® avec l'extension « .pcf » correspondant au fournisseur de réseau VPN dans son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). Puis on lance un terminal et on tape : |  . => suggestions : ['. ', '.']
30 Mot inconnu : pcf => Le poste étant connecté à Internet, on place le fichier-profil Cisco Systems® avec l'extension « .pcf » correspondant au fournisseur de réseau VPN dans son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). Puis on lance un terminal et on tape : | pcf
30 Guillemets typographiques ouvrants. => Le poste étant connecté à Internet, on place le fichier-profil Cisco Systems® avec l'extension « .pcf » correspondant au fournisseur de réseau VPN dans son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). Puis on lance un terminal et on tape : | ' => suggestions : ['“', '‘', '‹']
30 Pas d’espace avant ce signe. => Le poste étant connecté à Internet, on place le fichier-profil Cisco Systems® avec l'extension « .pcf » correspondant au fournisseur de réseau VPN dans son Dossier personnel (le répertoire /home/NOM_DE_L'UTILISATEUR ). Puis on lance un terminal et on tape : |  ) => suggestions : [')']

33 Guillemets typographiques ouvrants. => Si vous avez comme retour 'bash: usr/share/vpnc/pcf2vpnc: Aucun fichier ou dossier de ce type', essayez cette commande | ' => suggestions : ['“', '‘', '‹']
33 Mot inconnu : usr => Si vous avez comme retour 'bash: usr/share/vpnc/pcf2vpnc: Aucun fichier ou dossier de ce type', essayez cette commande | usr
33 Mot inconnu : share => Si vous avez comme retour 'bash: usr/share/vpnc/pcf2vpnc: Aucun fichier ou dossier de ce type', essayez cette commande | share
33 Mot inconnu : vpnc => Si vous avez comme retour 'bash: usr/share/vpnc/pcf2vpnc: Aucun fichier ou dossier de ce type', essayez cette commande | vpnc
33 Mot inconnu : pcf2vpnc => Si vous avez comme retour 'bash: usr/share/vpnc/pcf2vpnc: Aucun fichier ou dossier de ce type', essayez cette commande | pcf2vpnc

36 Confusion probable : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => Le résultat ressemble a ceci : | a => suggestions : ['à']

52 Mot inconnu : IPSec => Parfois, la ligne IPSec gateway est donné en adresse du site Web (avec des lettres), si ça ne marche pas, on la convertit alors en adresse IP en ouvrant un Terminal puis en tapant (connexion Internet requise...) : | ipsec
52 Mot inconnu : gateway => Parfois, la ligne IPSec gateway est donné en adresse du site Web (avec des lettres), si ça ne marche pas, on la convertit alors en adresse IP en ouvrant un Terminal puis en tapant (connexion Internet requise...) : | gateway
52 Typographie : points de suspension. Utilisez le caractère dédié. => Parfois, la ligne IPSec gateway est donné en adresse du site Web (avec des lettres), si ça ne marche pas, on la convertit alors en adresse IP en ouvrant un Terminal puis en tapant (connexion Internet requise...) : | ... => suggestions : ['…']

59 Mot inconnu : Xauth => En dé-commentant (enlever le symbole #) les lignes Xauth et en remplaçant <your username> par votre identifiant et <your password> par votre mot de passe vous n'aurez plus à les saisir à chaque connexion, mais cela constitue aussi un trou de sécurité (car ils apparaissent "en clair" sur votre ordinateur et uniquement protégé par votre mot de passe administrateur pour les visualiser. S'ils servent à d'autres accès VPN plus sensibles qu'une connexion Internet, c'est potentiellement dangereux. Sécurité ou ergonomie : au choix de chacun. | xauth
59 Guillemets typographiques ouvrants. => En dé-commentant (enlever le symbole #) les lignes Xauth et en remplaçant <your username> par votre identifiant et <your password> par votre mot de passe vous n'aurez plus à les saisir à chaque connexion, mais cela constitue aussi un trou de sécurité (car ils apparaissent "en clair" sur votre ordinateur et uniquement protégé par votre mot de passe administrateur pour les visualiser. S'ils servent à d'autres accès VPN plus sensibles qu'une connexion Internet, c'est potentiellement dangereux. Sécurité ou ergonomie : au choix de chacun. | " => suggestions : ['«\xa0', '“']
59 Guillemets typographiques fermants. => En dé-commentant (enlever le symbole #) les lignes Xauth et en remplaçant <your username> par votre identifiant et <your password> par votre mot de passe vous n'aurez plus à les saisir à chaque connexion, mais cela constitue aussi un trou de sécurité (car ils apparaissent "en clair" sur votre ordinateur et uniquement protégé par votre mot de passe administrateur pour les visualiser. S'ils servent à d'autres accès VPN plus sensibles qu'une connexion Internet, c'est potentiellement dangereux. Sécurité ou ergonomie : au choix de chacun. | " => suggestions : ['\xa0»', '”']

62 Mettez des guillemets fermants plutôt qu’ouvrants. => On sauvegarde le résultat dans un fichier texte simple en lui rajoutant une extension « .conf » : le profil Vpnc est créé. |  « => suggestions : ['\xa0»', '”']
62 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => On sauvegarde le résultat dans un fichier texte simple en lui rajoutant une extension « .conf » : le profil Vpnc est créé. |  . => suggestions : ['. ', '.']
62 Mot inconnu : Vpnc => On sauvegarde le résultat dans un fichier texte simple en lui rajoutant une extension « .conf » : le profil Vpnc est créé. | vpnc

64 Guillemets typographiques ouvrants. => //Pour la suite de ce tutoriel, nous nommerons ce fichier "vpn.conf".// | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : vpn => //Pour la suite de ce tutoriel, nous nommerons ce fichier "vpn.conf".// | vpn
64 Il manque un espace. => //Pour la suite de ce tutoriel, nous nommerons ce fichier "vpn.conf".// | conf => suggestions : [' conf']
64 Guillemets typographiques fermants. => //Pour la suite de ce tutoriel, nous nommerons ce fichier "vpn.conf".// | " => suggestions : ['\xa0»', '”']

67 Mot inconnu : vpnc => Avec les versions récentes de vpnc, si vous avez le message: | vpnc

69 Mot inconnu : vpnc => vpnc: no response from target | vpnc
69 Pas d’espace insécable après le signe “:”. => vpnc: no response from target | :  => suggestions : [': ']
69 Mot inconnu : response => vpnc: no response from target | response
69 Mot inconnu : from => vpnc: no response from target | from
69 Mot inconnu : target => vpnc: no response from target | target

75 Mot inconnu : vpn => à la fin du fichier vpn.conf | vpn
75 Il manque un espace. => à la fin du fichier vpn.conf | conf => suggestions : [' conf']

79 Mot inconnu : Vpnc => ===== Configuration du Client VPN Vpnc ===== | vpnc

