
4 Mot inconnu : LaTeX => ====== LaTeX, langage de description de document ======  | latex
4 Espace(s) en fin de ligne à supprimer. => ====== LaTeX, langage de description de document ======  |   => suggestions : ['']

10 Mot inconnu : LaTeX => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | latex
10 Mot inconnu : latɛk => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | latɛk
10 Guillemets typographiques ouvrants. => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | " => suggestions : ['«\xa0', '“']
10 Mot inconnu : latek => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | latek
10 Guillemets typographiques fermants. => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | " => suggestions : ['\xa0»', '”']
10 Guillemets typographiques ouvrants. => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | " => suggestions : ['\xa0»', '”']
10 Guillemets typographiques ouvrants. => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. => LaTeX se prononce [latɛk] soit "latek" : le "X" est en fait la lettre grecque "khi". | " => suggestions : ['\xa0»', '”']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Mot inconnu : TeX => Si vous voulez installer la dernière version de TeX Live, vous devez la télécharger et suivre les instructions : https://tug.org/texlive/ | tex

28 Mot inconnu : TeX => Pour connaître la version de TeX Live dans les dépôts : | tex

32 Mot inconnu : TeX => Pour connaître la version de TeX Live de votre Ubuntu : | tex
40 Espace(s) en fin de ligne à supprimer. => Pour consulter la documentation d'un package :  |   => suggestions : ['']

45 Mot inconnu : LaTeX => ===== Logiciels dédiés à LaTeX ==== | latex

58 Mot inconnu : WYSIWYM => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | wysiwym
58 Mot inconnu : What => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | what
58 Mot inconnu : you => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | you
58 Mot inconnu : see => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | see
58 Mot inconnu : is => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | is
58 Mot inconnu : what => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | what
58 Mot inconnu : you => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | you
58 Mot inconnu : mean => ==== Logiciels graphiques d'édition WYSIWYM (What you see is what you mean) ==== | mean

62 Mot inconnu : LaTeX => ==== Autres logiciels pouvant créer des fichiers LaTeX ==== | latex

75 Mot inconnu : LaTeX => ===== LaTeX dans des logiciels variés ===== | latex

79 Espace(s) surnuméraire(s) à supprimer. => === Traitements de texte et chaînes éditoriales  === |    => suggestions : [' ']

95 Espace(s) surnuméraire(s) à supprimer. => === Éducation  === |    => suggestions : [' ']

107 Espace(s) en fin de ligne à supprimer. => Il se peut que vous ayez besoin de convertir un document Latex vers un autre format.  |   => suggestions : ['']

111 Mot inconnu : DVI => === PDF, PS, DVI === | dvi
114 Espace(s) en fin de ligne à supprimer. => Voici les commandes respectives pour créer ces fichiers :  |   => suggestions : ['']

119 Mot inconnu : RTF => === Latex en RTF === | rtf

127 Mot inconnu : M12 => L'option **-M12** permet de convertir en images les formules de votre document grâce au script latex2png. | m12
127 Mot inconnu : latex2png => L'option **-M12** permet de convertir en images les formules de votre document grâce au script latex2png. | latex2png

129 Mot inconnu : html => === Latex en html === | html

130 Mot inconnu : html => Plusieurs utilitaires permettent de créer un document html à partir d'un fichier latex : | html

137 Une de ces ponctuations est superflue. => Nous vous conseillons d'essayer d'abord le premier qui en général rend de meilleurs résultats, puis le second, ... | , . => suggestions : [',', '.']
137 Typographie : points de suspension. Utilisez le caractère dédié. => Nous vous conseillons d'essayer d'abord le premier qui en général rend de meilleurs résultats, puis le second, ... | ... => suggestions : ['…']

140 Mot inconnu : odt => === Latex en odt  === | odt
140 Espace(s) surnuméraire(s) à supprimer. => === Latex en odt  === |    => suggestions : [' ']

141 Mot inconnu : odt => Il y a deux moyens de créer des documents odt à partir d'un fichier latex :  | odt
141 Espace(s) en fin de ligne à supprimer. => Il y a deux moyens de créer des documents odt à partir d'un fichier latex :  |   => suggestions : ['']

155 Mot inconnu : latin1 => Contrairement à Windows, il vous faudra utiliser le codage de caractères UTF-8 (et non latin1). | latin1

164 Mot inconnu : latin1 => Par contre, si vous souhaitez encoder vos fichiers en latin1, vous pouvez aussi taper le code suivant : | latin1

172 Mot inconnu : unicode => Toutefois, si certains caractères unicode posent problème lors du rendu final, ajouter les dans l'entête avec : | unicode
172 Confusion probable. Pour l’impératif, écrivez : => Toutefois, si certains caractères unicode posent problème lors du rendu final, ajouter les dans l'entête avec : | ajouter les => suggestions : ['ajoutez-les']

