
7 Mot inconnu : IRC => <note warning>Cette FAQ concerne logiquement toutes les versions courantes et suivantes. Les commandes données ne sont pas documentées volontairement pour ne pas surcharger le document et peuvent être potentiellement **dangereuse pour votre système**. Elles sont à utiliser avec l'aide donnée sur le canal IRC [[irc://irc.freenode.net/ubuntu-fr|#ubuntu-fr]]</note> | irc
7 Mot inconnu : irc => <note warning>Cette FAQ concerne logiquement toutes les versions courantes et suivantes. Les commandes données ne sont pas documentées volontairement pour ne pas surcharger le document et peuvent être potentiellement **dangereuse pour votre système**. Elles sont à utiliser avec l'aide donnée sur le canal IRC [[irc://irc.freenode.net/ubuntu-fr|#ubuntu-fr]]</note> | irc

10 Il manque un espace. => [[Tutoriel:console_commandes_de_base|Les commandes de base en console]] | console_commandes_de_base => suggestions : [' console_commandes_de_base']
10 Mot inconnu : console_commandes_de_base => [[Tutoriel:console_commandes_de_base|Les commandes de base en console]] | console_commandes_de_base

19 Espace(s) en fin de ligne à supprimer. => ou encore  |   => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get remove NomDuPaquet |    => suggestions : ['']
33 Mot inconnu : sudo =>   sudo apt-get remove NomDuPaquet | sudo
33 Mot inconnu : apt-get =>   sudo apt-get remove NomDuPaquet | apt-get
33 Mot inconnu : remove =>   sudo apt-get remove NomDuPaquet | remove
33 Mot inconnu : NomDuPaquet =>   sudo apt-get remove NomDuPaquet | nomdupaquet

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-get remove --purge NomDuPaquet  |    => suggestions : ['']
35 Mot inconnu : sudo =>   sudo apt-get remove --purge NomDuPaquet  | sudo
35 Mot inconnu : apt-get =>   sudo apt-get remove --purge NomDuPaquet  | apt-get
35 Mot inconnu : remove =>   sudo apt-get remove --purge NomDuPaquet  | remove
35 Mot inconnu : NomDuPaquet =>   sudo apt-get remove --purge NomDuPaquet  | nomdupaquet
35 Espace(s) en fin de ligne à supprimer. =>   sudo apt-get remove --purge NomDuPaquet  |   => suggestions : ['']

39 Mot inconnu : DossierContenantLesSources => cd DossierContenantLesSources</code> | dossiercontenantlessources

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

43 Il manque un espace. => Voir [[tutoriel:creer_un_paquet]] | creer_un_paquet => suggestions : [' creer_un_paquet']

53 Accord de genre erroné : « message » est masculin. => Si vous avez une message du genre NO_PUBKEY XXXXXXXX, lancer la commande suivante (remplacez XXXXXXXXX, par l'empreinte correspondante). | une => suggestions : ['un']
53 Mot inconnu : NO_PUBKEY => Si vous avez une message du genre NO_PUBKEY XXXXXXXX, lancer la commande suivante (remplacez XXXXXXXXX, par l'empreinte correspondante). | no_pubkey
53 Mot inconnu : XXXXXXXX => Si vous avez une message du genre NO_PUBKEY XXXXXXXX, lancer la commande suivante (remplacez XXXXXXXXX, par l'empreinte correspondante). | xxxxxxxx
53 Mot inconnu : XXXXXXXXX => Si vous avez une message du genre NO_PUBKEY XXXXXXXX, lancer la commande suivante (remplacez XXXXXXXXX, par l'empreinte correspondante). | xxxxxxxxx

54 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com XXXXXXXX |    => suggestions : ['']
54 Mot inconnu : sudo =>   sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com XXXXXXXX | sudo
54 Mot inconnu : apt-key =>   sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com XXXXXXXX | apt-key
54 Mot inconnu : adv =>   sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com XXXXXXXX | adv
54 Mot inconnu : recv-keys =>   sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com XXXXXXXX | recv-keys
54 Mot inconnu : keyserver =>   sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com XXXXXXXX | keyserver
54 Mot inconnu : XXXXXXXX =>   sudo apt-key adv --recv-keys --keyserver keyserver.ubuntu.com XXXXXXXX | xxxxxxxx
