
4 Mot inconnu : Wordtrans => ====== Wordtrans ====== | wordtrans

6 Mot inconnu : Wordtrans => **Wordtrans** est une application graphique qui permet de chercher des mots dans plusieurs dictionnaires. Elle peut aussi traduire les mots sélectionnés à l'aide de la souris.  | wordtrans
6 Espace(s) en fin de ligne à supprimer. => **Wordtrans** est une application graphique qui permet de chercher des mots dans plusieurs dictionnaires. Elle peut aussi traduire les mots sélectionnés à l'aide de la souris.  |   => suggestions : ['']

11 Mot inconnu : desktop => <note important>Les paquets ne sont plus disponibles dans les dépôts des versions desktop soutenues d'Ubuntu  </note> | desktop
11 Espace(s) surnuméraire(s) à supprimer. => <note important>Les paquets ne sont plus disponibles dans les dépôts des versions desktop soutenues d'Ubuntu  </note> |    => suggestions : [' ']

14 Mot inconnu : Wordtrans => ===== Lancer Wordtrans ===== | wordtrans

15 Mot inconnu : Wordtrans => Wordtrans n'apparaît pas dans les menus. | wordtrans

16 Mot inconnu : qwordtrans => Le logiciel se lance avec la commande qwordtrans ou kwordtrans (avec le support de KDE). Une interface graphique très intuitive est disponible. Lorsque les dictionnaires qui vous conviennent ont été installés, il suffit de taper un mot et d’appuyer sur Entrée pour obtenir sa traduction. | qwordtrans
16 Mot inconnu : kwordtrans => Le logiciel se lance avec la commande qwordtrans ou kwordtrans (avec le support de KDE). Une interface graphique très intuitive est disponible. Lorsque les dictionnaires qui vous conviennent ont été installés, il suffit de taper un mot et d’appuyer sur Entrée pour obtenir sa traduction. | kwordtrans
16 Mot inconnu : KDE => Le logiciel se lance avec la commande qwordtrans ou kwordtrans (avec le support de KDE). Une interface graphique très intuitive est disponible. Lorsque les dictionnaires qui vous conviennent ont été installés, il suffit de taper un mot et d’appuyer sur Entrée pour obtenir sa traduction. | kde

17 Mot inconnu : Wordtrans => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | wordtrans
17 Guillemets typographiques ouvrants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['\xa0»', '”']
17 Guillemets typographiques ouvrants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['«\xa0', '“']
17 Mot inconnu : Education => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | education
17 Guillemets typographiques fermants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['\xa0»', '”']
17 Guillemets typographiques ouvrants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['«\xa0', '“']
17 Mot inconnu : élement => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | élement
17 Guillemets typographiques fermants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['\xa0»', '”']
17 Guillemets typographiques ouvrants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['«\xa0', '“']
17 Mot inconnu : Wordtrans => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | wordtrans
17 Guillemets typographiques fermants. => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | " => suggestions : ['\xa0»', '”']
17 Mot inconnu : come => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | come
17 Mot inconnu : kwordtrans => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | kwordtrans
17 Mot inconnu : qwordtrans => On peut bien sûr placer le lancement de Wordtrans dans les menus en éditant les menus (clic droit sur application > éditer les menus), et dans "Accessoires" ou "Education", mettre un "Nouvel élement" avec pour nom "Wordtrans" et come commande : kwordtrans (ou qwordtrans). | qwordtrans

21 Mot inconnu : WordTrans => WordTrans n'inclut aucun dictionnaire : vous devez installer des dictionnaires séparément. Dans ce paragraphe, vous trouverez des liens vers des dictionnaires à utiliser avec WordTrans et les explications utiles sur leur installation. | wordtrans
21 Mot inconnu : WordTrans => WordTrans n'inclut aucun dictionnaire : vous devez installer des dictionnaires séparément. Dans ce paragraphe, vous trouverez des liens vers des dictionnaires à utiliser avec WordTrans et les explications utiles sur leur installation. | wordtrans

23 Mot inconnu : Wordtrans => Wordtrans prend en charge trois types de dictionnaires: | wordtrans
28 Guillemets typographiques ouvrants. => <note tip>Nous avons pour l'instant recensé un seul dictionnaire intéressant la langue française : le dictionnaire anglais-français de Babylone à l'ancien format "dic". Cette documentation reste donc à compléter.</note> | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : dic => <note tip>Nous avons pour l'instant recensé un seul dictionnaire intéressant la langue française : le dictionnaire anglais-français de Babylone à l'ancien format "dic". Cette documentation reste donc à compléter.</note> | dic
28 Guillemets typographiques fermants. => <note tip>Nous avons pour l'instant recensé un seul dictionnaire intéressant la langue française : le dictionnaire anglais-français de Babylone à l'ancien format "dic". Cette documentation reste donc à compléter.</note> | " => suggestions : ['\xa0»', '”']

32 Guillemets typographiques ouvrants. => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : english => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | english
32 Mot inconnu : dic => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | dic
32 Guillemets typographiques fermants. => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | " => suggestions : ['\xa0»', '”']
32 Guillemets typographiques ouvrants. => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | " => suggestions : ['«\xa0', '“']
32 Mot inconnu : EngtoFre => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | engtofre
32 Mot inconnu : dic => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | dic
32 Guillemets typographiques fermants. => Pour votre confort, ci-dessous sont des liens vers les dictionnaires "english.dic" et "EngtoFre.dic" | " => suggestions : ['\xa0»', '”']

