1 Mot inconnu : Wacom => ====== Nouvelle Wacom Bamboo ====== | wacom
1 Mot inconnu : Bamboo => ====== Nouvelle Wacom Bamboo ====== | bamboo

2 Mot inconnu : Wacom => Les nouvelles tablettes Wacom Bamboo (en particulier la Pen & touch) ne s'installent pas aussi simplement que les anciennes. En effet, il ne suffit pas de les brancher. Une petite manipulation préliminaire s'impose. | wacom
2 Mot inconnu : Bamboo => Les nouvelles tablettes Wacom Bamboo (en particulier la Pen & touch) ne s'installent pas aussi simplement que les anciennes. En effet, il ne suffit pas de les brancher. Une petite manipulation préliminaire s'impose. | bamboo
2 Mot inconnu : Pen => Les nouvelles tablettes Wacom Bamboo (en particulier la Pen & touch) ne s'installent pas aussi simplement que les anciennes. En effet, il ne suffit pas de les brancher. Une petite manipulation préliminaire s'impose. | pen
2 Mot inconnu : touch => Les nouvelles tablettes Wacom Bamboo (en particulier la Pen & touch) ne s'installent pas aussi simplement que les anciennes. En effet, il ne suffit pas de les brancher. Une petite manipulation préliminaire s'impose. | touch

3 Mot inconnu : Karmic => Ce tuto a été testé sous Karmic (32 et 64 bits), ainsi que Karmic remix. (Merci d'ajouter les fonctionnements ou dysfonctionnement avec d'autres versions). La manipulation a été effectuée sur un OS fraichement installé. D'éventuelles tentatives infructueuses visant à installer la tablette peuvent donc empêcher le bon fonctionnement de la suite. | karmic
3 Mot inconnu : Karmic => Ce tuto a été testé sous Karmic (32 et 64 bits), ainsi que Karmic remix. (Merci d'ajouter les fonctionnements ou dysfonctionnement avec d'autres versions). La manipulation a été effectuée sur un OS fraichement installé. D'éventuelles tentatives infructueuses visant à installer la tablette peuvent donc empêcher le bon fonctionnement de la suite. | karmic

7 Accord de nombre erroné : « distribution » devrait être au pluriel. => Cette page est obsolète. Elle ne convient pas pour les distribution à partir de Lucid (10.04) | distribution => suggestions : ['distributions']
7 Mot inconnu : Lucid => Cette page est obsolète. Elle ne convient pas pour les distribution à partir de Lucid (10.04) | lucid
18 Espace(s) en fin de ligne à supprimer. => Tout d'abord, quelques mises à jour et installation de paquets :  |   => suggestions : ['']

22 Mot inconnu : Karmic => Si vous n'utiliser **pas** Karmic Koala, ajoutez ces deux lignes : | karmic
26 Espace(s) en fin de ligne à supprimer. => <note>Installation en un clic :  |   => suggestions : ['']

32 Mot inconnu : Karmic => Sous Karmic, un fichier nécessaire à la compilation du pilote semble manquer. Il faudra donc le télécherger : | karmic
32 Mot inconnu : télécherger => Sous Karmic, un fichier nécessaire à la compilation du pilote semble manquer. Il faudra donc le télécherger : | télécherger
37 Mot inconnu : linuxwacom-0 => Téléchargez la dernière version du pilote disponible ici : http://linuxwacom.sourceforge.net/index.php/dl (actuellement linuxwacom-0.8.4-4.tar.bz2) ainsi que la patch : http://ubuntuforums.org/attachment.php?attachmentid=133692&d=1256905425 Décompressez le tout, et copiez le contenu de wcm2_patch : | linuxwacom-0
37 Accord de genre erroné : « patch » est masculin. => Téléchargez la dernière version du pilote disponible ici : http://linuxwacom.sourceforge.net/index.php/dl (actuellement linuxwacom-0.8.4-4.tar.bz2) ainsi que la patch : http://ubuntuforums.org/attachment.php?attachmentid=133692&d=1256905425 Décompressez le tout, et copiez le contenu de wcm2_patch : | la => suggestions : ['le']
37 Mot inconnu : wcm2_patch => Téléchargez la dernière version du pilote disponible ici : http://linuxwacom.sourceforge.net/index.php/dl (actuellement linuxwacom-0.8.4-4.tar.bz2) ainsi que la patch : http://ubuntuforums.org/attachment.php?attachmentid=133692&d=1256905425 Décompressez le tout, et copiez le contenu de wcm2_patch : | wcm2_patch

43 Typographie : points de suspension. Utilisez le caractère dédié. => Il ne reste plus qu'à appliquer les patchs... | ... => suggestions : ['…']

52 Typographie : points de suspension. Utilisez le caractère dédié. => ... et à compiler : | ... => suggestions : ['…']

59 Mot inconnu : cp => <note important>Si votre cp échoue en disant que le fichier spécifié n'existe pas alors c'est qu'il n'est pas dans src/2.6.31 mais dans src///un.autre.version//. Pour ça, remonter à la fin du résultat de la commande ./configure et vous y verrez quelque chose comme : | cp
59 Mot inconnu : src => <note important>Si votre cp échoue en disant que le fichier spécifié n'existe pas alors c'est qu'il n'est pas dans src/2.6.31 mais dans src///un.autre.version//. Pour ça, remonter à la fin du résultat de la commande ./configure et vous y verrez quelque chose comme : | src
59 Mot inconnu : src => <note important>Si votre cp échoue en disant que le fichier spécifié n'existe pas alors c'est qu'il n'est pas dans src/2.6.31 mais dans src///un.autre.version//. Pour ça, remonter à la fin du résultat de la commande ./configure et vous y verrez quelque chose comme : | src
59 Il manque un espace. => <note important>Si votre cp échoue en disant que le fichier spécifié n'existe pas alors c'est qu'il n'est pas dans src/2.6.31 mais dans src///un.autre.version//. Pour ça, remonter à la fin du résultat de la commande ./configure et vous y verrez quelque chose comme : | autre => suggestions : [' autre']

65 Accord de nombre erroné : « sous » est au pluriel. => Il vous suffit de récupérer le sous dossier (ici src/2.6.30) et de le mettre dans la commande cp qui ne fonctionnait pas. Ce qui donne dans mon cas : | le => suggestions : ['les']
65 Accord de nombre erroné : « sous » devrait être au singulier. => Il vous suffit de récupérer le sous dossier (ici src/2.6.30) et de le mettre dans la commande cp qui ne fonctionnait pas. Ce qui donne dans mon cas : | sous => suggestions : ['sou']
