
5 Mot inconnu : Scribus => ======Scribus : logiciel de PAO ====== | scribus

8 Mot inconnu : Scribus => **Scribus** est un logiciel libre de Publication Assistée par Ordinateur, distribué sous licence GNU GPL. Il est encore perfectible mais Scribus convient plutôt pour la réalisation de plaquettes, de livres et de magazines. Scribus est multi-plateformes (Linux/UNIX, Windows, Mac OS X, OS/2 Warp 4/eComStation). | scribus
8 Mot inconnu : Scribus => **Scribus** est un logiciel libre de Publication Assistée par Ordinateur, distribué sous licence GNU GPL. Il est encore perfectible mais Scribus convient plutôt pour la réalisation de plaquettes, de livres et de magazines. Scribus est multi-plateformes (Linux/UNIX, Windows, Mac OS X, OS/2 Warp 4/eComStation). | scribus
8 Mot inconnu : Scribus => **Scribus** est un logiciel libre de Publication Assistée par Ordinateur, distribué sous licence GNU GPL. Il est encore perfectible mais Scribus convient plutôt pour la réalisation de plaquettes, de livres et de magazines. Scribus est multi-plateformes (Linux/UNIX, Windows, Mac OS X, OS/2 Warp 4/eComStation). | scribus
8 Mot inconnu : Warp => **Scribus** est un logiciel libre de Publication Assistée par Ordinateur, distribué sous licence GNU GPL. Il est encore perfectible mais Scribus convient plutôt pour la réalisation de plaquettes, de livres et de magazines. Scribus est multi-plateformes (Linux/UNIX, Windows, Mac OS X, OS/2 Warp 4/eComStation). | warp
8 Mot inconnu : eComStation => **Scribus** est un logiciel libre de Publication Assistée par Ordinateur, distribué sous licence GNU GPL. Il est encore perfectible mais Scribus convient plutôt pour la réalisation de plaquettes, de livres et de magazines. Scribus est multi-plateformes (Linux/UNIX, Windows, Mac OS X, OS/2 Warp 4/eComStation). | ecomstation

12 Mot inconnu : Scribus => D'après la [[http://docs.scribus.net/index.php?lang=fr|Documentation officielle de Scribus]] : | scribus

15 Mot inconnu : Scribus => >Sous son interface moderne et conviviale, Scribus offre un panel de fonctionnalités de publication professionnelle, comme le support des couleurs CMJN, les séparations, la gestion des profils ICC et la création de fichiers PDF. Scribus a été la toute première application de PAO de la planète à supporter l'exportation directe au format PDF/X-3, un standard ISO rigoureux. Parmi les autres fonctionnalités, on notera l'importation de fichiers PDF, l'importation et exportation des fichiers EPS, ou le support du texte Unicode, y compris pour les langues s'écrivant de droite à gauche comme l'arabe ou l'hébreu. | scribus
15 Mot inconnu : CMJN => >Sous son interface moderne et conviviale, Scribus offre un panel de fonctionnalités de publication professionnelle, comme le support des couleurs CMJN, les séparations, la gestion des profils ICC et la création de fichiers PDF. Scribus a été la toute première application de PAO de la planète à supporter l'exportation directe au format PDF/X-3, un standard ISO rigoureux. Parmi les autres fonctionnalités, on notera l'importation de fichiers PDF, l'importation et exportation des fichiers EPS, ou le support du texte Unicode, y compris pour les langues s'écrivant de droite à gauche comme l'arabe ou l'hébreu. | cmjn
15 Mot inconnu : ICC => >Sous son interface moderne et conviviale, Scribus offre un panel de fonctionnalités de publication professionnelle, comme le support des couleurs CMJN, les séparations, la gestion des profils ICC et la création de fichiers PDF. Scribus a été la toute première application de PAO de la planète à supporter l'exportation directe au format PDF/X-3, un standard ISO rigoureux. Parmi les autres fonctionnalités, on notera l'importation de fichiers PDF, l'importation et exportation des fichiers EPS, ou le support du texte Unicode, y compris pour les langues s'écrivant de droite à gauche comme l'arabe ou l'hébreu. | icc
15 Mot inconnu : Scribus => >Sous son interface moderne et conviviale, Scribus offre un panel de fonctionnalités de publication professionnelle, comme le support des couleurs CMJN, les séparations, la gestion des profils ICC et la création de fichiers PDF. Scribus a été la toute première application de PAO de la planète à supporter l'exportation directe au format PDF/X-3, un standard ISO rigoureux. Parmi les autres fonctionnalités, on notera l'importation de fichiers PDF, l'importation et exportation des fichiers EPS, ou le support du texte Unicode, y compris pour les langues s'écrivant de droite à gauche comme l'arabe ou l'hébreu. | scribus
