
5 Mot inconnu : DDNS [[27:31]] => ====== Les DNS Dynamiques (DDNS) ====== <|> ddns

9 Mot inconnu : Domain [[10:16]] => Un DNS //(Domain Name System)// est le processus qui permet de lier un nom de domaine à une adresse IP (« %%www.ubuntu.com%% » à « 91.189.88.180 » par exemple). <|> domain
9 Mot inconnu : Name [[17:21]] => Un DNS //(Domain Name System)// est le processus qui permet de lier un nom de domaine à une adresse IP (« %%www.ubuntu.com%% » à « 91.189.88.180 » par exemple). <|> name
9 Mot inconnu : System [[22:28]] => Un DNS //(Domain Name System)// est le processus qui permet de lier un nom de domaine à une adresse IP (« %%www.ubuntu.com%% » à « 91.189.88.180 » par exemple). <|> system
11 Mot inconnu : monserveur [[55:65]] => Les DNS Dynamiques sont des noms de domaine (du type « monserveur.com ») reliés à une adresse IP dynamique. Ce système est extrêmement pratique quand il s'agit de créer un serveur web personnel, accessible rapidement via un nom de domaine, alors que votre adresse IP change généralement toutes les 24 heures (pour des raisons de sécurité). <|> monserveur

19 Conjugaison erronée. Accord avec “les sites…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[41:48]] => C'est exactement ce genre de service que propose les sites de DNS dynamiques (citons No-IP et DynDNS). Je devrai donc installer une petite application qui enverra ma nouvelle adresse IP dès que cette dernière changera. Ainsi, la redirection sera modifiée automatiquement, et je n'aurai plus à changer sans cesse les informations de mon nom de domaine. <|> propose => suggestions : ['proposent']
19 Mot inconnu : DynDNS [[94:100]] => C'est exactement ce genre de service que propose les sites de DNS dynamiques (citons No-IP et DynDNS). Je devrai donc installer une petite application qui enverra ma nouvelle adresse IP dès que cette dernière changera. Ainsi, la redirection sera modifiée automatiquement, et je n'aurai plus à changer sans cesse les informations de mon nom de domaine. <|> dyndns
28 Il manque un espace. [[50:55]] =>   * obtenir un nouveau nom de domaine du type « %%http://monserveur.noip.com/%% » ; <|> http: => suggestions : [' __URL']
29 Il manque un espace. [[84:89]] =>   * garder votre nom de domaine et rediriger celui-ci vers une nouvelle adresse « %%http://monserveur.noip.com/%% ». <|> http: => suggestions : [' __URL']

79 Mot inconnu : no-ip [[77:82]] => Pour activer No-IP au démarrage de votre ordinateur, vérifiez que le service no-ip est lancé au démarrage. <|> no-ip

88 Mot inconnu : noip2 [[3:8]] => Si noip2 (//S20noip2//) apparaît dans la liste, c'est gagné, sinon il suffit de créer un lien du fichier « /etc/init.d/noip2 » vers « /etc/rc2.d/S20noip2 » en tapant la commande : <|> noip2
88 Mot inconnu : S20noip2 [[12:20]] => Si noip2 (//S20noip2//) apparaît dans la liste, c'est gagné, sinon il suffit de créer un lien du fichier « /etc/init.d/noip2 » vers « /etc/rc2.d/S20noip2 » en tapant la commande : <|> s20noip2
92 Mot inconnu : no-ip [[49:54]] => Note : L'ancienne version du client s'appelait « no-ip ». <|> no-ip

94 Mot inconnu : FreeDNS [[6:13]] => ===== FreeDNS ===== <|> freedns
100 Mot inconnu : FreeDNS [[68:75]] =>   * « offrir » votre nom de domaine et gérer les sous-domaines avec FreeDNS, pour vous ou en le partageant avec les autres utilisateurs. <|> freedns

111 Mot inconnu : DynDNS [[6:12]] => ===== DynDNS ===== <|> dyndns

113 Mot inconnu : DynDNS [[40:46]] => <note tip>La politique d'utilisation de DynDNS a changé : le service fourni est maintenant exclusivement payant. Il vous faudra donc choisir un autre fournisseur si vous souhaitez obtenir un service gratuit.</note> <|> dyndns

115 Mot inconnu : dyndns [[43:49]] => Nous prendrons dans cette partie le site //dyndns.org// comme fournisseur de DNS dynamiques. <|> dyndns
118 Il manque un espace. [[50:55]] =>   * obtenir un nouveau nom de domaine du type **%%http://votredomaine.dyndns.org/%%** ; <|> http: => suggestions : [' __URL']
119 Il manque un espace. [[84:89]] =>   * garder votre nom de domaine et rediriger celui-ci vers une nouvelle adresse **%%http://votredomaine.dyndns.org/%%**. <|> http: => suggestions : [' __URL']

123 Mot inconnu : ddclient [[22:30]] => ===== Installation de ddclient ===== <|> ddclient
