
5 Mot inconnu : trickle => ====== trickle : limitation de la bande passante ====== | trickle

7 Mot inconnu : Trickle => Trickle vous permet de limiter la bande passante d'un programme en envoi et en réception. Par exemple, si vous remarquez qu'il vous est impossible de surfer avec un navigateur internet alors que vous êtes en train d'uploader avec scp, il est utile de limiter légèrement la bande passante allouée à scp de façon à avoir le minimum de bande passante en upload pour pouvoir surfer en même temps. | trickle
7 Mot inconnu : uploader => Trickle vous permet de limiter la bande passante d'un programme en envoi et en réception. Par exemple, si vous remarquez qu'il vous est impossible de surfer avec un navigateur internet alors que vous êtes en train d'uploader avec scp, il est utile de limiter légèrement la bande passante allouée à scp de façon à avoir le minimum de bande passante en upload pour pouvoir surfer en même temps. | uploader
7 Mot inconnu : scp => Trickle vous permet de limiter la bande passante d'un programme en envoi et en réception. Par exemple, si vous remarquez qu'il vous est impossible de surfer avec un navigateur internet alors que vous êtes en train d'uploader avec scp, il est utile de limiter légèrement la bande passante allouée à scp de façon à avoir le minimum de bande passante en upload pour pouvoir surfer en même temps. | scp
7 Mot inconnu : scp => Trickle vous permet de limiter la bande passante d'un programme en envoi et en réception. Par exemple, si vous remarquez qu'il vous est impossible de surfer avec un navigateur internet alors que vous êtes en train d'uploader avec scp, il est utile de limiter légèrement la bande passante allouée à scp de façon à avoir le minimum de bande passante en upload pour pouvoir surfer en même temps. | scp
7 Mot inconnu : upload => Trickle vous permet de limiter la bande passante d'un programme en envoi et en réception. Par exemple, si vous remarquez qu'il vous est impossible de surfer avec un navigateur internet alors que vous êtes en train d'uploader avec scp, il est utile de limiter légèrement la bande passante allouée à scp de façon à avoir le minimum de bande passante en upload pour pouvoir surfer en même temps. | upload

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   trickle  -s -d VITESSE -u VITESSE PROGRAMME |    => suggestions : ['']
15 Mot inconnu : trickle =>   trickle  -s -d VITESSE -u VITESSE PROGRAMME | trickle
15 Espace(s) surnuméraire(s) à supprimer. =>   trickle  -s -d VITESSE -u VITESSE PROGRAMME |    => suggestions : [' ']
15 Il manque un espace à côté du tiret. =>   trickle  -s -d VITESSE -u VITESSE PROGRAMME |  - => suggestions : [' – ', ' — ']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour limiter le programme yafc à 150ko/s en réception et à 10ko/s pour l'envoi, saisissez dans un [[terminal]] la commande suivante : |    => suggestions : ['']
23 Mot inconnu : yafc =>   * pour limiter le programme yafc à 150ko/s en réception et à 10ko/s pour l'envoi, saisissez dans un [[terminal]] la commande suivante : | yafc
23 Écriture invariable. Utilisez un point médian. =>   * pour limiter le programme yafc à 150ko/s en réception et à 10ko/s pour l'envoi, saisissez dans un [[terminal]] la commande suivante : | 150ko/s => suggestions : ['150ko·s']
23 Écriture invariable. Utilisez un point médian. =>   * pour limiter le programme yafc à 150ko/s en réception et à 10ko/s pour l'envoi, saisissez dans un [[terminal]] la commande suivante : | 10ko/s => suggestions : ['10ko·s']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * pour limiter TOUTES les commandes que vous lancerez depuis un terminal, le plus simple est de lancer la commande |    => suggestions : ['']

27 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => celle-ci a pour effet de limiter à 70Ko/s la nouvelle session de bash que l'on crée. Ainsi, toute les commandes ultérieures lancées depuis ce terminal seront ainsi limitées en upload. C'est intéressant par exemple pour lancer des scripts que trickle ne reconnait pas comme des programmes et ne permet pas de limiter autrement.  | celle-ci => suggestions : ['Celle-ci']
27 Écriture invariable. Utilisez un point médian. => celle-ci a pour effet de limiter à 70Ko/s la nouvelle session de bash que l'on crée. Ainsi, toute les commandes ultérieures lancées depuis ce terminal seront ainsi limitées en upload. C'est intéressant par exemple pour lancer des scripts que trickle ne reconnait pas comme des programmes et ne permet pas de limiter autrement.  | 70ko/s => suggestions : ['70Ko·s']
27 Mot inconnu : bash => celle-ci a pour effet de limiter à 70Ko/s la nouvelle session de bash que l'on crée. Ainsi, toute les commandes ultérieures lancées depuis ce terminal seront ainsi limitées en upload. C'est intéressant par exemple pour lancer des scripts que trickle ne reconnait pas comme des programmes et ne permet pas de limiter autrement.  | bash
27 Erreur d’accord probable avec “les”. => celle-ci a pour effet de limiter à 70Ko/s la nouvelle session de bash que l'on crée. Ainsi, toute les commandes ultérieures lancées depuis ce terminal seront ainsi limitées en upload. C'est intéressant par exemple pour lancer des scripts que trickle ne reconnait pas comme des programmes et ne permet pas de limiter autrement.  | toute => suggestions : ['toutes']
27 Mot inconnu : upload => celle-ci a pour effet de limiter à 70Ko/s la nouvelle session de bash que l'on crée. Ainsi, toute les commandes ultérieures lancées depuis ce terminal seront ainsi limitées en upload. C'est intéressant par exemple pour lancer des scripts que trickle ne reconnait pas comme des programmes et ne permet pas de limiter autrement.  | upload
27 Mot inconnu : trickle => celle-ci a pour effet de limiter à 70Ko/s la nouvelle session de bash que l'on crée. Ainsi, toute les commandes ultérieures lancées depuis ce terminal seront ainsi limitées en upload. C'est intéressant par exemple pour lancer des scripts que trickle ne reconnait pas comme des programmes et ne permet pas de limiter autrement.  | trickle
27 Espace(s) en fin de ligne à supprimer. => celle-ci a pour effet de limiter à 70Ko/s la nouvelle session de bash que l'on crée. Ainsi, toute les commandes ultérieures lancées depuis ce terminal seront ainsi limitées en upload. C'est intéressant par exemple pour lancer des scripts que trickle ne reconnait pas comme des programmes et ne permet pas de limiter autrement.  |   => suggestions : ['']
