
13 Mot inconnu : Gnome-Specimen [[9:23]] => === Avec Gnome-Specimen === <|> gnome-specimen

23 Mot inconnu : Opcion [[9:15]] => === Avec Opcion === <|> opcion

28 Mot inconnu : Fonty [[9:14]] => === Avec Fonty Python === <|> fonty

48 Mot inconnu : re-writer [[10:19]] => avec //libre-writer// trouver la correspondance, puis les désinstaller: <|> re-writer

52 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[100:102]] => Pour exporter une police de caractère, le plus simple est de copier le fichier de la police (souvent .otf ou .ttf). La plupart se trouvent dans le dossier /usr/share/fonts/ ou dans votre dossier personnel ~/.local/share/fonts/. <|>  . => suggestions : ['. ', '.']
52 Mot inconnu : otf [[102:105]] => Pour exporter une police de caractère, le plus simple est de copier le fichier de la police (souvent .otf ou .ttf). La plupart se trouvent dans le dossier /usr/share/fonts/ ou dans votre dossier personnel ~/.local/share/fonts/. <|> otf
52 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[108:110]] => Pour exporter une police de caractère, le plus simple est de copier le fichier de la police (souvent .otf ou .ttf). La plupart se trouvent dans le dossier /usr/share/fonts/ ou dans votre dossier personnel ~/.local/share/fonts/. <|>  . => suggestions : ['. ', '.']
52 Mot inconnu : ttf [[110:113]] => Pour exporter une police de caractère, le plus simple est de copier le fichier de la police (souvent .otf ou .ttf). La plupart se trouvent dans le dossier /usr/share/fonts/ ou dans votre dossier personnel ~/.local/share/fonts/. <|> ttf
52 Mot inconnu : share [[214:219]] => Pour exporter une police de caractère, le plus simple est de copier le fichier de la police (souvent .otf ou .ttf). La plupart se trouvent dans le dossier /usr/share/fonts/ ou dans votre dossier personnel ~/.local/share/fonts/. <|> share
61 Mot inconnu : hardy [[12:17]] => Sous ubuntu hardy les programmes qt4 ne tiennent pas automatiquement compte des paramètres des polices configurés pour tout le système. En effet quand la police //Sans Serif// est défini comme la police par défaut, les programmes qt4 utilisent la police //Nimbus Sans L// et pas celle correspondant vraiment à //Sans Serif//. <|> hardy
61 Mot inconnu : qt4 [[33:36]] => Sous ubuntu hardy les programmes qt4 ne tiennent pas automatiquement compte des paramètres des polices configurés pour tout le système. En effet quand la police //Sans Serif// est défini comme la police par défaut, les programmes qt4 utilisent la police //Nimbus Sans L// et pas celle correspondant vraiment à //Sans Serif//. <|> qt4
61 Mot inconnu : qt4 [[230:233]] => Sous ubuntu hardy les programmes qt4 ne tiennent pas automatiquement compte des paramètres des polices configurés pour tout le système. En effet quand la police //Sans Serif// est défini comme la police par défaut, les programmes qt4 utilisent la police //Nimbus Sans L// et pas celle correspondant vraiment à //Sans Serif//. <|> qt4

63 Mot inconnu : qt4 [[23:26]] => Exemples de programmes qt4 : speedcrunch, vym, qtassisant, qtdesigner... <|> qt4
63 Mot inconnu : speedcrunch [[29:40]] => Exemples de programmes qt4 : speedcrunch, vym, qtassisant, qtdesigner... <|> speedcrunch
63 Mot inconnu : vym [[42:45]] => Exemples de programmes qt4 : speedcrunch, vym, qtassisant, qtdesigner... <|> vym
63 Mot inconnu : qtassisant [[47:57]] => Exemples de programmes qt4 : speedcrunch, vym, qtassisant, qtdesigner... <|> qtassisant
63 Mot inconnu : qtdesigner [[59:69]] => Exemples de programmes qt4 : speedcrunch, vym, qtassisant, qtdesigner... <|> qtdesigner
63 Typographie : points de suspension. Utilisez le caractère dédié. [[69:72]] => Exemples de programmes qt4 : speedcrunch, vym, qtassisant, qtdesigner... <|> ... => suggestions : ['…']

76 Mot inconnu : Trolltech [[107:116]] => Il est possible de faire la même modification que précédemment en éditant directement le fichier ~/.config/Trolltech.conf. Une fois ouvert avec l'éditeur de texte gedit, kate ou vi, vous pouvez modifier l'option //font// de la section //Qt// : <|> trolltech
76 Il manque un espace. [[117:121]] => Il est possible de faire la même modification que précédemment en éditant directement le fichier ~/.config/Trolltech.conf. Une fois ouvert avec l'éditeur de texte gedit, kate ou vi, vous pouvez modifier l'option //font// de la section //Qt// : <|> conf => suggestions : [' conf']
76 Mot inconnu : kate [[170:174]] => Il est possible de faire la même modification que précédemment en éditant directement le fichier ~/.config/Trolltech.conf. Une fois ouvert avec l'éditeur de texte gedit, kate ou vi, vous pouvez modifier l'option //font// de la section //Qt// : <|> kate
76 Mot inconnu : vi [[178:180]] => Il est possible de faire la même modification que précédemment en éditant directement le fichier ~/.config/Trolltech.conf. Une fois ouvert avec l'éditeur de texte gedit, kate ou vi, vous pouvez modifier l'option //font// de la section //Qt// : <|> vi

80 Typographie : points de suspension. Utilisez le caractère dédié. [[0:3]] => ... remplacé par : <|> ... => suggestions : ['…']

83 Mot inconnu : Kde4 [[11:15]] => == Méthode Kde4 == <|> kde4

