
5 Mot inconnu : FCRON => ====== Programmer des tâches avec FCRON ====== | fcron

7 Mot inconnu : FCron => ===== Qu'est-ce que FCron ? ===== | fcron

9 Mot inconnu : FCron => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. | fcron
9 Mot inconnu : daemon => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. | daemon
9 Espace(s) surnuméraire(s) à supprimer. => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. |    => suggestions : [' ']
9 Mot inconnu : fcrontab => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. | fcrontab
9 Espace(s) surnuméraire(s) à supprimer. => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. |    => suggestions : [' ']
9 Mot inconnu : FCron => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. | fcron
9 Mot inconnu : Cron => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. | cron
9 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. |  -  => suggestions : [' – ', ' — ', ' − ']
9 Mot inconnu : Anacron => **FCron** est un //daemon// utilisé pour programmer des tâches devant être exécutées à un moment précis ou au contraire périodiquement.  Chaque utilisateur a un fichier fcrontab, lui permettant d'indiquer les actions et à quelles  périodes elles devront être exécutées. FCron a pour but de remplacer le couple [[Cron]] - [[Anacron]], et d'en faire un unique logiciel intégré. | anacron

13 Mot inconnu : FCron => ===== Avantages de FCron par rapport à Cron et Anacron ===== | fcron
13 Mot inconnu : Cron => ===== Avantages de FCron par rapport à Cron et Anacron ===== | cron
13 Mot inconnu : Anacron => ===== Avantages de FCron par rapport à Cron et Anacron ===== | anacron

15 Mot inconnu : FCron => FCron permet de pallier les défauts de Cron et d'Anacron : contrairement à eux si jamais l'ordinateur est éteint FCron relance la tâche au démarrage (ce que ne permet pas Cron) et si l'ordinateur est allumé il la lance (ce que ne permet pas Anacron). | fcron
15 Mot inconnu : Cron => FCron permet de pallier les défauts de Cron et d'Anacron : contrairement à eux si jamais l'ordinateur est éteint FCron relance la tâche au démarrage (ce que ne permet pas Cron) et si l'ordinateur est allumé il la lance (ce que ne permet pas Anacron). | cron
15 Mot inconnu : Anacron => FCron permet de pallier les défauts de Cron et d'Anacron : contrairement à eux si jamais l'ordinateur est éteint FCron relance la tâche au démarrage (ce que ne permet pas Cron) et si l'ordinateur est allumé il la lance (ce que ne permet pas Anacron). | anacron
15 Mot inconnu : FCron => FCron permet de pallier les défauts de Cron et d'Anacron : contrairement à eux si jamais l'ordinateur est éteint FCron relance la tâche au démarrage (ce que ne permet pas Cron) et si l'ordinateur est allumé il la lance (ce que ne permet pas Anacron). | fcron
15 Mot inconnu : Cron => FCron permet de pallier les défauts de Cron et d'Anacron : contrairement à eux si jamais l'ordinateur est éteint FCron relance la tâche au démarrage (ce que ne permet pas Cron) et si l'ordinateur est allumé il la lance (ce que ne permet pas Anacron). | cron
15 Mot inconnu : Anacron => FCron permet de pallier les défauts de Cron et d'Anacron : contrairement à eux si jamais l'ordinateur est éteint FCron relance la tâche au démarrage (ce que ne permet pas Cron) et si l'ordinateur est allumé il la lance (ce que ne permet pas Anacron). | anacron

17 Mot inconnu : FCron => De plus la syntaxe de FCron, bien que compatible avec celle de Cron et d'Anacron, est bien plus évoluée et ajoute de nouvelles possibilités pour paramétrer le comportement du planificateur de tâches.. | fcron
17 Mot inconnu : Cron => De plus la syntaxe de FCron, bien que compatible avec celle de Cron et d'Anacron, est bien plus évoluée et ajoute de nouvelles possibilités pour paramétrer le comportement du planificateur de tâches.. | cron
17 Mot inconnu : Anacron => De plus la syntaxe de FCron, bien que compatible avec celle de Cron et d'Anacron, est bien plus évoluée et ajoute de nouvelles possibilités pour paramétrer le comportement du planificateur de tâches.. | anacron
17 Typographie : un ou trois points ? => De plus la syntaxe de FCron, bien que compatible avec celle de Cron et d'Anacron, est bien plus évoluée et ajoute de nouvelles possibilités pour paramétrer le comportement du planificateur de tâches.. | .. => suggestions : ['…', '.']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée ; |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir activé désinstallé anacron. (?) |    => suggestions : ['']
24 Mot inconnu : anacron =>   * Avoir activé désinstallé anacron. (?) | anacron

29 Mot inconnu : sendmail => Compilez le paquet à partir des sources disponibles [[http://fcron.free.fr/download.php|ici]]. (une installation de sendmail pourra être nécessaire). | sendmail
33 Avec une unité de mesure, mettez un espace insécable. => Ex : pour lancer un script toutes les 10 heures :  | 10 heures => suggestions : ['10\xa0heures']
33 Espace(s) en fin de ligne à supprimer. => Ex : pour lancer un script toutes les 10 heures :  |   => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fcrontab -e |    => suggestions : ['']
35 Mot inconnu : fcrontab =>   fcrontab -e | fcrontab
35 Il manque un espace à côté du tiret. =>   fcrontab -e |  - => suggestions : [' – ', ' — ']

37 Mot inconnu : Ecrivez => Ecrivez dedans : | ecrivez

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   @ 10h /home/utilisateur/script.sh |    => suggestions : ['']
39 Avec une unité de mesure, mettez un espace insécable. =>   @ 10h /home/utilisateur/script.sh | 10h => suggestions : ['10\xa0h']

43 Mot inconnu : FCron => ===== Commandes pour FCron ===== | fcron

45 Mot inconnu : fcrontab => Pour éditer le fichier de votre **fcrontab**, tapez : | fcrontab

49 Mot inconnu : fcrontab => Pour regarder le contenu de votre **fcrontab**, tapez : | fcrontab

53 Mot inconnu : fcron => Quand vous sortez de l'éditeur, le nouveau fichier pour **fcron** sera installé. Les instructions générées avec **fcrontab** sont stockées sous la forme de 2 fichiers. Le répertoire d'accueil des fichiers est indiqué dans /etc/fcron.conf, c'est habituellement ///var/spool/fcron// . | fcron
53 Mot inconnu : fcrontab => Quand vous sortez de l'éditeur, le nouveau fichier pour **fcron** sera installé. Les instructions générées avec **fcrontab** sont stockées sous la forme de 2 fichiers. Le répertoire d'accueil des fichiers est indiqué dans /etc/fcron.conf, c'est habituellement ///var/spool/fcron// . | fcrontab

54 Mot inconnu : orig => L'un des fichiers est écrit au format texte et il est nommé <user>.orig (<user> étant le nom de l'utilisateur qui lance **fcrontab**), mais doit seulement être édité par l'intermédiaire de la commande **fcrontab**. | orig
54 Mot inconnu : fcrontab => L'un des fichiers est écrit au format texte et il est nommé <user>.orig (<user> étant le nom de l'utilisateur qui lance **fcrontab**), mais doit seulement être édité par l'intermédiaire de la commande **fcrontab**. | fcrontab
54 Mot inconnu : fcrontab => L'un des fichiers est écrit au format texte et il est nommé <user>.orig (<user> étant le nom de l'utilisateur qui lance **fcrontab**), mais doit seulement être édité par l'intermédiaire de la commande **fcrontab**. | fcrontab
55 Mot inconnu : fcron => L'autre fichier est nommé <user> et n'est pas éditable ; il est réservé à **fcron**. | fcron

58 Mot inconnu : fcrontab => L'éditeur utilisé pour modifier la fcrontab peut être modifié par la commande : | fcrontab

60 Mot inconnu : VISUAL => ou, provisoirement, en modifiant la variable d'environnement VISUAL, par exemple : | visual

63 Mot inconnu : nano => L'éditeur par défaut est nano. Pendant l'édition avec **fcrontab**, nano utilise un fichier temporaire de la forme /tmp/wxyz1234. | nano
63 Mot inconnu : fcrontab => L'éditeur par défaut est nano. Pendant l'édition avec **fcrontab**, nano utilise un fichier temporaire de la forme /tmp/wxyz1234. | fcrontab
63 Mot inconnu : nano => L'éditeur par défaut est nano. Pendant l'édition avec **fcrontab**, nano utilise un fichier temporaire de la forme /tmp/wxyz1234. | nano

64 Mot inconnu : fcrontab => Il est inutile de se préoccuper de ce fichier temporaire et on peut sauver les modifications sous ce nom, lorsqu'on quitte **fcrontab**, celui-ci génère bien les fichiers comme indiqué ci-dessus suivant /etc/fcron.conf .  | fcrontab
64 Pas d’espace avant un point. => Il est inutile de se préoccuper de ce fichier temporaire et on peut sauver les modifications sous ce nom, lorsqu'on quitte **fcrontab**, celui-ci génère bien les fichiers comme indiqué ci-dessus suivant /etc/fcron.conf .  |  . => suggestions : ['.']
64 Espace(s) en fin de ligne à supprimer. => Il est inutile de se préoccuper de ce fichier temporaire et on peut sauver les modifications sous ce nom, lorsqu'on quitte **fcrontab**, celui-ci génère bien les fichiers comme indiqué ci-dessus suivant /etc/fcron.conf .  |   => suggestions : ['']

67 Mot inconnu : FCron => ===== Comment fonctionne FCron ? ===== | fcron

69 Mot inconnu : fcrontab => La syntaxe de fcrontab définit 3 types de ligne d'exécution. Chacune correspond à une manière de décrire une tâche à exécuter. Il y a ainsi les &-lignes, les %-lignes et les @-lignes. | fcrontab

74 Guillemets typographiques ouvrants. => Les &-lignes sont les entrées basées sur une date et une heure (c'est le mode "Cron" de FCron), leur syntaxe est de la forme : | " => suggestions : ['«\xa0', '“']
74 Mot inconnu : Cron => Les &-lignes sont les entrées basées sur une date et une heure (c'est le mode "Cron" de FCron), leur syntaxe est de la forme : | cron
74 Guillemets typographiques fermants. => Les &-lignes sont les entrées basées sur une date et une heure (c'est le mode "Cron" de FCron), leur syntaxe est de la forme : | " => suggestions : ['\xa0»', '”']
74 Mot inconnu : FCron => Les &-lignes sont les entrées basées sur une date et une heure (c'est le mode "Cron" de FCron), leur syntaxe est de la forme : | fcron

78 Guillemets typographiques ouvrants. => Les valeurs permises pour les différents champs "min", "hrs", etc. sont : | " => suggestions : ['«\xa0', '“']
78 Guillemets typographiques fermants. => Les valeurs permises pour les différents champs "min", "hrs", etc. sont : | " => suggestions : ['\xa0»', '”']
78 Guillemets typographiques ouvrants. => Les valeurs permises pour les différents champs "min", "hrs", etc. sont : | " => suggestions : ['«\xa0', '“']
78 Mot inconnu : hrs => Les valeurs permises pour les différents champs "min", "hrs", etc. sont : | hrs
78 Guillemets typographiques fermants. => Les valeurs permises pour les différents champs "min", "hrs", etc. sont : | " => suggestions : ['\xa0»', '”']

80 Espace(s) surnuméraire(s) à supprimer. => ^ Champ               ^ Valeurs permises     ^ |                 => suggestions : [' ']
80 Espace(s) surnuméraire(s) à supprimer. => ^ Champ               ^ Valeurs permises     ^ |       => suggestions : [' ']

81 Espace(s) surnuméraire(s) à supprimer. => | minutes              | 0-59                 | |                => suggestions : [' ']
81 Espace(s) surnuméraire(s) à supprimer. => | minutes              | 0-59                 | |                   => suggestions : [' ']

82 Espace(s) surnuméraire(s) à supprimer. => | heures              | 0-23                 | |                => suggestions : [' ']
82 Espace(s) surnuméraire(s) à supprimer. => | heures              | 0-23                 | |                   => suggestions : [' ']

83 Espace(s) surnuméraire(s) à supprimer. => | jour du mois        | 1-31                 | |          => suggestions : [' ']
83 Espace(s) surnuméraire(s) à supprimer. => | jour du mois        | 1-31                 | |                   => suggestions : [' ']

84 Espace(s) surnuméraire(s) à supprimer. => | mois                | 1-12 (ou leurs noms) | |                  => suggestions : [' ']

85 Espace(s) surnuméraire(s) à supprimer. => | jours de la semaine | 0-7  (ou leurs noms) | |    => suggestions : [' ']

87 Confusion probable : “a” est la conjugaison du verbe “avoir”. Utilisez la préposition “à”. => **A noter que pour les jours de la semaine 0 et 7 signifient tous les deux le dimanche.** | a => suggestions : ['À']

