7 Mot inconnu : Photorec => ====== Récupération de données effacées : Photorec ====== | photorec

25 Mot inconnu : Libreoffice => <note tip>Vos documents [[Libreoffice]]  peuvent se retrouver en sélectionnant seulement le format **zip**.</note> | libreoffice

47 Espace(s) en fin de ligne à supprimer. => </note>  |   => suggestions : ['']

53 Mot inconnu : PhotoRec => Pour plus de sécurité, **PhotoRec** utilise un accès en lecture seule au lecteur que vous essayez de récupérer. L'écriture des fichiers récupérés sera faite sur une autre unité. **PhotoRec** vous demandera où créer un dossier **Recup_dir** dans lequel il mettra les fichiers récupérés lors du scan. | photorec
53 Mot inconnu : PhotoRec => Pour plus de sécurité, **PhotoRec** utilise un accès en lecture seule au lecteur que vous essayez de récupérer. L'écriture des fichiers récupérés sera faite sur une autre unité. **PhotoRec** vous demandera où créer un dossier **Recup_dir** dans lequel il mettra les fichiers récupérés lors du scan. | photorec
53 Mot inconnu : Recup_dir => Pour plus de sécurité, **PhotoRec** utilise un accès en lecture seule au lecteur que vous essayez de récupérer. L'écriture des fichiers récupérés sera faite sur une autre unité. **PhotoRec** vous demandera où créer un dossier **Recup_dir** dans lequel il mettra les fichiers récupérés lors du scan. | recup_dir

54 Mot inconnu : PhotoRec => <note important>**Attention**, avant de lancer PhotoRec, assurez-vous qu'il y a suffisamment d'espace libre sur l'unité qui accueillera les fichiers récupérés. </note> | photorec

62 Espace(s) surnuméraire(s) à supprimer. => <note tip>Si vos données sont chiffrées, les signatures en clair ne sont plus valables. Il faudrait  introduire les signatures chiffrées !LOL </note> |    => suggestions : [' ']
62 Il manque un espace. => <note tip>Si vos données sont chiffrées, les signatures en clair ne sont plus valables. Il faudrait  introduire les signatures chiffrées !LOL </note> | lol => suggestions : [' LOL']

75 Mot inconnu : PhotoRec => 4. Pour récupérer les fichiers, il est possible que PhotoRec vous demande le type de système de fichiers où les fichiers perdus étaient stockées: | photorec
75 Accord erroné : “fichiers” et “stockées” ne sont pas accordés. Mettez au masculin pluriel. => 4. Pour récupérer les fichiers, il est possible que PhotoRec vous demande le type de système de fichiers où les fichiers perdus étaient stockées: | stockées => suggestions : ['stockés']

78 Mot inconnu : Photorec => 5. **Photorec** vous demandera alors dans quel dossier mettre les fichiers récupérés. Si possible, en utilisant un autre terminal,  créer un dossier nommé "RECUP" que vous pourrez alors sélectionner en toute tranquillité. | photorec
78 Espace(s) surnuméraire(s) à supprimer. => 5. **Photorec** vous demandera alors dans quel dossier mettre les fichiers récupérés. Si possible, en utilisant un autre terminal,  créer un dossier nommé "RECUP" que vous pourrez alors sélectionner en toute tranquillité. |    => suggestions : [' ']
78 Guillemets typographiques ouvrants. => 5. **Photorec** vous demandera alors dans quel dossier mettre les fichiers récupérés. Si possible, en utilisant un autre terminal,  créer un dossier nommé "RECUP" que vous pourrez alors sélectionner en toute tranquillité. | " => suggestions : ['«\xa0', '“']
78 Mot inconnu : RECUP => 5. **Photorec** vous demandera alors dans quel dossier mettre les fichiers récupérés. Si possible, en utilisant un autre terminal,  créer un dossier nommé "RECUP" que vous pourrez alors sélectionner en toute tranquillité. | recup
78 Guillemets typographiques fermants. => 5. **Photorec** vous demandera alors dans quel dossier mettre les fichiers récupérés. Si possible, en utilisant un autre terminal,  créer un dossier nommé "RECUP" que vous pourrez alors sélectionner en toute tranquillité. | " => suggestions : ['\xa0»', '”']

82 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  (Il y créera un dossier nommé **recup-dir** pour y mettre les fichiers récupérés). Si vous souhaitez sauvegarder les fichiers sur un autre disque (un disque dur externe par exemple), le disque se trouvera dans /media/[nom de l'utilisateur]/[nom du disque], ou dans /mnt ou dans /run/media. Le disque de destination doit être monté. |   => suggestions : ['']
82 Mot inconnu : recup-dir =>  (Il y créera un dossier nommé **recup-dir** pour y mettre les fichiers récupérés). Si vous souhaitez sauvegarder les fichiers sur un autre disque (un disque dur externe par exemple), le disque se trouvera dans /media/[nom de l'utilisateur]/[nom du disque], ou dans /mnt ou dans /run/media. Le disque de destination doit être monté. | recup-dir
82 Mot inconnu : run =>  (Il y créera un dossier nommé **recup-dir** pour y mettre les fichiers récupérés). Si vous souhaitez sauvegarder les fichiers sur un autre disque (un disque dur externe par exemple), le disque se trouvera dans /media/[nom de l'utilisateur]/[nom du disque], ou dans /mnt ou dans /run/media. Le disque de destination doit être monté. | run
84 Mot inconnu : search => 6. Puis je lance le scan en validant avec « search » (bouton flèche gauche flèche droite) | search

93 Mot inconnu : recup_dir => //(Remplacer "<utilisateur>" par votre nom d'utilisateur et modifier éventuellement le chemin si vous aviez choisi un autre emplacement que votre dossier personnel pour créer le dossier **recup_dir**)// \\ | recup_dir

95 Mot inconnu : Recup_dir => Il est également possible d'afficher les dossiers cachés avec la commande Ctrl + H, le dossier Recup_dir est ainsi accessible directement dans votre gestionnaire de fichiers. | recup_dir
